Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID4 1),W.2 (ID11 0.998),W.3 (ID8 0.998),W.4 (ID6 0.996),W.5 (ID5 0.993),W.6 (False Positive) (ID14 0.888),W.7 (ID9 0.994),W.8 (ID3 0.991),W.9 (ID1 1),W.10 (ID2 1),W.11 (ID13 0.984)
DEL,C,1,0,0.00586466253722001,1.35346184807394e-85,0.0364275560615272,0.0246813895337684,0.0217535519004932,0.00138491384700657,0.375891242511371,0.110591612485315,1.16269356653661e-115,0.0047724546954875,1.64244014595601e-90
DEL,C,1,1,8.26334658692045e-50,0,0.0215515883617209,0.00049427733918298,0.0271878444346828,0,0.107646316179354,0.233954334243427,0.000629693019644285,3.05128941154735e-05,4.58532085566969e-163
DEL,C,1,2,0,0,1.79417400225915e-53,0.0073868213706315,0.0259966379618502,3.92726614961031e-158,0,0.206144453909928,0,0,0.0053060903334726
DEL,C,1,3,0.000229800628057292,2.47787533707077e-291,0.0046748460415475,3.12381802702669e-114,0.0141727448677229,0,0.01058353946896,0.0737570982029566,0.00187947584530163,0.00248280139393369,0.00371474724383642
DEL,C,1,4,0.00058397086645145,0,0.000399348383147288,0.00206271072574539,0.00235368837196291,0.00182428182927039,0.0137314842515814,0.0499413097313503,0.000615828987073014,0.00388743135448132,0.00261653722942198
DEL,C,1,5+,0.0019851227585211,1.03566046563928e-228,0.000428026326274418,0.0010202650390616,0.00298410865302662,0.000232022365982952,5.7583213391665e-267,0.0255056981057607,0.00338309386435782,0.0146297467978769,0.000277672125445013
DEL,T,1,0,0.00270985677983881,0.00024126869464633,0.0342967595812899,2.07729629174563e-110,0.108833381772345,0.0211688568309752,0.11443056764946,0.0326280252491325,0.0012252419649664,0.00791290736651579,0.0340582337776155
DEL,T,1,1,0,0,3.32194770281978e-42,0,0.0881859074794248,0,1.34958175381672e-53,1.56464454583723e-12,0,0,0.712981511889504
DEL,T,1,2,0,1.57544704569897e-192,0.00774859504104403,0.0108818898760319,0.124153055049789,0.0116432339703416,0.0952488905934869,0.010948182335821,0.000841537773458787,0.00705802566947024,3.57467809471359e-47
DEL,T,1,3,0,6.25086583454624e-133,0.00763465086438336,0.0223105286228063,0.094959261138919,0.0181562476801057,0.123065494373261,0.011223099542476,0.00223707125838037,0.0202523094811126,0.0480784738887715
DEL,T,1,4,5.72323135632152e-216,0.000242946097659337,5.47887796617898e-35,0.0178075090630695,0.0571848530222549,0.00911909038438686,0.105017133172496,0.0086171868493001,0.00431840227361691,0.0471402031960622,1.09570356737389e-28
DEL,T,1,5+,2.89688010062894e-131,6.69156808418882e-119,0.0111504784328333,2.67524177532798e-15,0.0317498872421778,3.1237897728811e-214,1.82874758529155e-74,0.00852473022925452,1.18139559106843e-31,0.815045678886116,2.86672680507605e-85
INS,C,1,0,0,0,0,0,0,0.702695711520594,0,0,0,0,0
INS,C,1,1,1.40471261342164e-273,0.177689883201853,6.0077019301631e-134,0.00190650993357572,0,0.0179523774039451,0,0,0,0.000209423320259965,2.27264011664098e-144
INS,C,1,2,0,0.100077060048961,0,0,0.00298625140684291,0,0,0.00085509495461441,0,1.93394204348039e-05,0
INS,C,1,3,0.000214912623419194,0.0376278604183907,0,0,0,0.00193490605039005,0,0.00672445741214746,0.000606885568435266,0.000478516733864281,0
INS,C,1,4,0,0.0118894927656793,0,0.000158257362805216,0,0.00111315291187126,0,0.00826178170909615,0.0017365167674922,0.00293139105272766,0
INS,C,1,5+,7.74950023410001e-05,0.00146040383952393,2.98835999683928e-121,0,0.000355210818717035,0,2.20278460755894e-96,0.00769790844132814,0.0244067734845316,0.0090475626395861,0.000154049701733388
INS,T,1,0,2.20914902335875e-69,0.000380634524551749,0.00331443133073819,0.00634788158015119,0.00447175537760654,0.0489371753306767,0.0103615861456133,0.0192941953101315,0.00231007485138486,0.0013246704507083,0.0555783751659675
INS,T,1,1,1.66880539399937e-308,0.327797229776274,0.00239827734187129,6.22770611098918e-116,0.0121331709831959,0.00104651594876103,0.0112705027395995,0.0451165810848644,0,0,1.39623470828495e-183
INS,T,1,2,0,0.169505513870088,0,0.000101736204628148,0.0305770722975523,0.00104329593290393,0.000487398230377256,0.0451054053481019,6.69180816781493e-05,0.000672736335216293,3.41068420046983e-136
INS,T,1,3,0,0.112525906935658,4.73293277495865e-47,0.000577994142118496,0.0189496190043881,0,0.000405506043180825,0.0276273951611403,0.00426488459795247,0.00108824718444136,0.00976431575136976
INS,T,1,4,8.63721576252923e-255,0.0503482080179549,4.73457748061218e-39,0.00102703090141302,0.0113066790245911,1.90844665800636e-210,2.91401886502706e-22,0.00612139472888414,0.0168504288091261,0.00348594971825164,0.0148318309241263
INS,T,1,5+,2.24438999579785e-117,1.41701079258627e-149,0.000163211696065093,5.64651130998256e-20,7.43105635945528e-09,6.95265834592553e-160,2.52721629836801e-38,3.91500129264756e-18,0.900551145368495,0.00316299869725472,9.39625027606681e-92
DEL,repeats,2,0,0.0745215252729891,0,0.00936988224666544,0.000816122747077723,0.0291704102825331,0,0.0120778242938733,0.0064011790573088,0.000171917352750452,0.000106038888596168,0.0254985529555881
DEL,repeats,2,1,0.237056193636848,0.00203743123354073,0.0118906883573461,0.00123765766997434,0.0255585153203206,0.00561242794836525,0.000360496253658595,0.0100954507443894,0.000106805006155635,0.00330591676949372,0.00290571993667494
DEL,repeats,2,2,0.0577473245055457,0,1.66880542490078e-308,0.00232399232532908,0.00468381044297772,0.00310790011918847,0,0.0139820856885152,5.56477804274752e-09,0.00184228879877375,0.00379035820433178
DEL,repeats,2,3,0.014185321088589,0,0,0.000199099342059814,0,0.000680041137734147,0,0.00813022330578822,0.000101983303708293,0.000779330224429653,0
