Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.999),hdp.2 (False Positive) (ID5 0.322),hdp.3 (ID5 0.999),hdp.4 (ID3 0.999),hdp.5 (ID6 0.999),hdp.6 (ID1 1),hdp.7 (ID14 0.918),hdp.8 (ID11 0.999),hdp.9 (ID4 0.997),hdp.10 (ID13 0.999),hdp.11 (ID9 0.998),hdp.12 (ID8 0.999),hdp.13 (ID12 0.993),hdp.14 (ID10 0.987)
DEL,C,1,0,0.00259314143631049,0.0160914194430724,0.0192954814033659,0.121817684586837,0.0284492319763216,0.000296080448892283,0.0131669709317955,0.00296130071394975,0.0086227343351201,0.049417393919886,0.32771248344547,0.0385951394218151,0.0466891161189999,0.00939219366568977
DEL,C,1,1,4.44461691784158e-05,0.000494179946136,0.028711644388111,0.213010656459326,0.00577925003916204,0.000728079861969999,0.0019970090319788,0.00117965265162998,0.0022019622477253,0.0153080543245939,0.0945461024283851,0.0220588874201231,0.0121853376832144,0.0238157028045353
DEL,C,1,2,7.07099066083228e-07,7.74367063950134e-06,0.0271189599470446,0.18906082935109,0.00782870532870114,1.76667222300765e-06,0.00114824454778893,0.000206534178678271,0.00144516553500936,0.00688527915051837,0.00264093898355074,0.00294153413877648,0.00204815595143959,0.0174803349170121
DEL,C,1,3,0.00155325280696111,0.00494219742302027,0.0145551005604792,0.0616874517936914,0.000898700423205651,0.0017880841969111,0.000408458640160668,0.000403961650220956,0.00116779570887307,0.00601065864577964,0.00944297092144553,0.0056993405542594,0.00537760516219246,0.00734876037654954
DEL,C,1,4,0.00220599025877494,0.0160670940365882,0.00247658048012604,0.0439717672652511,0.00278974308740605,0.000820674977519288,0.00268328661820759,0.000278633067916127,0.00168093474332845,0.00318258471911183,0.0115513935794491,0.0010039686545909,0.0029734932178889,0.00418714816977282
DEL,C,1,5+,0.00955896460531987,0.0300799210373317,0.00217102118855983,0.0234457774076278,0.00167396202672509,0.00314124666328002,0.00481088971791237,0.000835441393742923,0.00231860584772169,0.00143541697805302,0.00137158530499407,0.000498259199338409,0.0346773811398052,0.00704164800260419
DEL,T,1,0,0.00552375048995657,0.0325134897533799,0.102352259728585,0.034158886433393,0.0041396153252261,0.000864081920485528,0.0236996921828586,0.000817116620281233,0.00520718872057143,0.0496730215784057,0.0968213270500584,0.0359415296720171,0.024869087913937,0.0328741467985396
DEL,T,1,1,2.78926291907258e-07,1.82951818820481e-06,0.0993218019903731,0.0107047332946865,0.000321822203034725,1.51905779356457e-06,0.000502357702569633,0.00102509846843622,0.000773469333864469,0.521711208032034,0.0450849559119508,0.0096105993239743,0.00379048637901022,0.00115637210189628
DEL,T,1,2,0.00398997003076929,0.0184936707873552,0.120653427014455,0.0147044745269237,0.0120026333841706,0.000757951105646966,0.0119144245100187,0.000695759849104832,0.00136747867439561,0.0213120767007191,0.0776502435732095,0.00810117238448974,0.0200182976211832,0.00248980388877126
DEL,T,1,3,0.0109340179221076,0.0464442482161825,0.0847906199511313,0.0135655546717727,0.0202203791607245,0.00240182192241063,0.0205308497715722,0.00168439436926854,0.000917468982153098,0.0609942350553494,0.112895114894361,0.00884653909239903,0.0162976676057725,0.00816158968259114
DEL,T,1,4,0.0304187428983318,0.467573124943805,0.0524616435970234,0.013275166920881,0.0174137519157182,0.00461108391418114,0.0195732778096953,0.00120510441328474,0.00130443566290714,0.0174834470566329,0.0876053194417303,0.000833289910277603,0.0381743521396997,0.00941765578852963
DEL,T,1,5+,0.86035848142488,0.0174855012479939,0.026870773567377,0.00750276954514814,0.00506706280703201,0.000512235832158008,0.0484130197255216,0.00684539791998107,0.00561814455136637,0.008551227280294,0.00194230337631345,0.00841976161950737,0.0057010801707076,0.00296065729882524
