MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	0.00218702	0.00000337	0.00229653	0.02956796	0.08681746	0.00392805	0.02358345	0.37157140	0.01258252	0.00285740
1:Del:C:1	0.00000000	0.00003212	0.00322453	0.01888080	0.23200223	0.00556535	0.00161019	0.09517813	0.00067951	0.00009279
1:Del:C:2	0.00000000	0.00000000	0.00335257	0.00007549	0.21195122	0.00818138	0.00360797	0.00000000	0.00136890	0.00000000
1:Del:C:3	0.00204548	0.00180134	0.00888570	0.00522692	0.07496326	0.00606347	0.00006732	0.01040750	0.00088047	0.00055330
1:Del:C:4	0.00320675	0.00048726	0.00534824	0.00105929	0.04414260	0.00031283	0.00163472	0.01422248	0.00218236	0.00132089
1:Del:C:5	0.01411518	0.00188325	0.01624327	0.00264017	0.02617640	0.00024416	0.00093674	0.00022788	0.00254638	0.00356702
1:Del:T:0	0.00505917	0.00084201	0.10770799	0.03421231	0.02428125	0.07784691	0.00084025	0.11760748	0.00486395	0.01644053
1:Del:T:1	0.00000000	0.00000000	0.00447957	0.01045776	0.00348814	0.35754754	0.00002151	0.00814225	0.01005887	0.00000506
1:Del:T:2	0.00611790	0.00005576	0.12051099	0.00452828	0.00319945	0.07748694	0.00791461	0.09060014	0.00179246	0.00549044
1:Del:T:3	0.01663618	0.00121451	0.10706187	0.00609569	0.00325027	0.07869190	0.01909815	0.11580810	0.00514933	0.01287713
1:Del:T:4	0.03651990	0.00244708	0.13663660	0.00887314	0.00262547	0.02465327	0.01370839	0.10517252	0.00524532	0.01040363
1:Del:T:5	0.84942602	0.00035755	0.01180124	0.00033150	0.00080397	0.00284853	0.00015950	0.01022879	0.00039327	0.06040215
1:Ins:C:0	0.00000000	0.00000000	0.00000026	0.00000012	0.00000014	0.00000006	0.00000002	0.00000022	0.00000011	0.53020249
1:Ins:C:1	0.00018906	0.00000384	0.00748429	0.00197540	0.00488061	0.00340026	0.00140969	0.00000000	0.00002268	0.01445937
1:Ins:C:2	0.00001602	0.00000142	0.00546256	0.00158477	0.00379318	0.00399448	0.00003280	0.00001138	0.00002182	0.00051226
1:Ins:C:3	0.00035213	0.00075227	0.00173443	0.00028663	0.00858440	0.00040111	0.00000000	0.00000377	0.00074122	0.00076949
1:Ins:C:4	0.00242728	0.00119859	0.00501776	0.00097519	0.00820348	0.00000692	0.00020661	0.00008472	0.00047100	0.00074714
1:Ins:C:5	0.00661834	0.01984396	0.03324693	0.01064820	0.00807185	0.00000000	0.00000697	0.00004466	0.00182591	0.00219479
1:Ins:T:0	0.00091129	0.00223829	0.00243156	0.00405509	0.01702281	0.02061272	0.00630663	0.01395298	0.00498524	0.03856686
1:Ins:T:1	0.00000008	0.00000090	0.01064648	0.00366764	0.06411435	0.01237287	0.00018120	0.00566605	0.00022758	0.00290250
1:Ins:T:2	0.00041896	0.00000112	0.02988187	0.00037732	0.05514048	0.01869957	0.00000000	0.00001684	0.00004157	0.00139833
1:Ins:T:3	0.00085119	0.00333104	0.02403641	0.00164326	0.03120629	0.01801779	0.00001873	0.00008084	0.00062408	0.00025424
1:Ins:T:4	0.00273131	0.01405619	0.02687807	0.00438612	0.00820934	0.01272275	0.00037674	0.00210122	0.00261987	0.00487442
1:Ins:T:5	0.00236748	0.91903958	0.03655390	0.02638877	0.00265713	0.00048764	0.00639828	0.00504901	0.01077749	0.16914452
2:Del:R:0	0.00002059	0.00015168	0.01513045	0.00718143	0.00877315	0.02712848	0.00024685	0.01244485	0.09034433	0.00111179
2:Del:R:1	0.00266089	0.00007867	0.01648776	0.00751058	0.01184784	0.01137070	0.00049047	0.00076011	0.19369792	0.00705263
2:Del:R:2	0.00155775	0.00039008	0.00301672	0.00017832	0.01334508	0.00223245	0.00154607	0.00000208	0.04547864	0.00236228
2:Del:R:3	0.00093102	0.00014458	0.00040021	0.00003632	0.00612374	0.00003754	0.00034306	0.00000776	0.01021855	0.00018685
2:Del:R:4	0.00088498	0.00000498	0.00082756	0.00022254	0.00326157	0.00017916	0.00012238	0.00019761	0.00324591	0.00034424
2:Del:R:5	0.00000000	0.00000000	0.01126488	0.00015048	0.00144564	0.02461522	0.00000351	0.00006351	0.00096628	0.00000000
3:Del:R:0	0.00000944	0.00001786	0.01357743	0.01308479	0.00143067	0.01382801	0.00104436	0.00136628	0.00490065	0.00147247
3:Del:R:1	0.00359458	0.00347842	0.01370056	0.00260669	0.00000282	0.00054967	0.00385721	0.00113977	0.10403953	0.00491027
3:Del:R:2	0.00183733	0.00050284	0.00311740	0.00046323	0.00000365	0.00054602	0.00049384	0.00052749	0.01388285	0.00158142
3:Del:R:3	0.00040259	0.00024234	0.00164808	0.00047544	0.00002833	0.00020077	0.00010076	0.00024609	0.00367543	0.00034875
3:Del:R:4	0.00000000	0.00000001	0.00459996	0.00002177	0.00003148	0.00464780	0.00000001	0.00001019	0.00045789	0.00000612
3:Del:R:5	0.00000000	0.00000001	0.00626369	0.00002523	0.00042990	0.00760332	0.00004655	0.00001986	0.00033403	0.00003020
4:Del:R:0	0.00000082	0.00004913	0.00826364	0.00682755	0.00018532	0.00984813	0.00247692	0.00051223	0.00580683	0.00022691
4:Del:R:1	0.00161369	0.00039330	0.00391386	0.00101690	0.00102389	0.00026950	0.00241555	0.00236111	0.05568856	0.00060635
4:Del:R:2	0.00044624	0.00000000	0.00016657	0.00000004	0.00000000	0.00004823	0.00051914	0.00003510	0.01072460	0.00048245
4:Del:R:3	0.00000012	0.00000000	0.00224118	0.00001863	0.00010842	0.00372047	0.00010823	0.00000598	0.00366336	0.00004009
4:Del:R:4	0.00000000	0.00000004	0.00290222	0.00014657	0.00034374	0.00466542	0.00000407	0.00000366	0.00013325	0.00000000
4:Del:R:5	0.00014672	0.00002220	0.00153879	0.00001446	0.00007601	0.00109972	0.00008037	0.00000478	0.00075573	0.00004330
5:Del:R:0	0.00000000	0.00000000	0.00458905	0.28205260	0.00110994	0.02590126	0.02141218	0.00014779	0.00244157	0.00094436
5:Del:R:1	0.00316261	0.00000012	0.00062508	0.00006852	0.00000000	0.00056126	0.00729028	0.00018015	0.01231613	0.00036986
