"ex.sig","gt.sig","sim"
"W.1","SBS40",0.91917266697862
"W.2","SBS7c",0.999219820119813
"W.5","SBS38",0.979507842150446
"W.6","SBS28",0.977010867414471
"W.7","SBS36",0.991019209441059
"W.8","SBS7b",0.999633008820299
"W.9","SBS7a",0.999998290200669
"W.10","SBS17a",0.999805802046187
"W.11","SBS4",0.9989897208329
"W.12","SBS13",0.999983400598209
"W.13","SBS26",0.993339234360837
"W.16","SBS22",0.999057582644464
"W.18","SBS2",0.999643105890471
"W.19","SBS17b",0.999994619653875
"W.20","SBS7d",0.99961489373627
"W.21","SBS34",0.985630209981484
"W.22","SBS44",0.998248827183472
"W.24","SBS1",0.999977718688292
"W.25","SBS5",0.920062020756485
