MutationsType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
1:Del:C:0	0.00217108	0.00000407	0.00478812	0.03202926	0.09267533	0.02513065	0.35070816	0.01556394	0.00320392
1:Del:C:1	0.00000079	0.00001826	0.00719407	0.01926652	0.22582528	0.00214917	0.09074676	0.00107951	0.00009817
1:Del:C:2	0.00000000	0.00000000	0.00907853	0.00133458	0.20052308	0.00337931	0.00056313	0.00130688	0.00000000
1:Del:C:3	0.00239652	0.00201151	0.00699004	0.00551562	0.07282962	0.00015594	0.01046751	0.00107586	0.00054048
1:Del:C:4	0.00370377	0.00065538	0.00022214	0.00101911	0.04286369	0.00163120	0.01427806	0.00240672	0.00129054
1:Del:C:5	0.01551303	0.00255906	0.00014667	0.00186990	0.02561724	0.00095004	0.00091487	0.00285645	0.00350515
1:Del:T:0	0.00674262	0.00160156	0.11020429	0.04283247	0.02946888	0.00206293	0.11482487	0.00640342	0.01625910
1:Del:T:1	0.00000000	0.00000000	0.20402226	0.02240218	0.00301711	0.00007438	0.00530596	0.02027688	0.00001868
1:Del:T:2	0.00731364	0.00032382	0.12474201	0.01681826	0.00760200	0.00853812	0.08683845	0.00303159	0.00597169
1:Del:T:3	0.02024748	0.00205628	0.10051862	0.01374954	0.00753549	0.01942804	0.11318554	0.00713558	0.01283682
1:Del:T:4	0.04728448	0.00448533	0.04829726	0.00892983	0.00698274	0.01448440	0.10827448	0.00765271	0.01070007
1:Del:T:5	0.81666191	0.00051082	0.00397284	0.00064052	0.00109181	0.00003496	0.01149823	0.00114225	0.06479286
1:Ins:C:0	0.00000000	0.00000000	0.00000005	0.00000011	0.00000014	0.00000002	0.00000018	0.00000013	0.51149060
1:Ins:C:1	0.00022501	0.00000442	0.00583924	0.00259794	0.00637879	0.00142442	0.00032346	0.00012314	0.01401853
1:Ins:C:2	0.00002326	0.00000346	0.00554975	0.00221184	0.00407597	0.00005937	0.00026180	0.00009965	0.00048996
1:Ins:C:3	0.00041767	0.00079171	0.00057687	0.00034390	0.00855397	0.00000000	0.00014205	0.00068466	0.00072685
1:Ins:C:4	0.00288623	0.00145901	0.00000298	0.00087241	0.00801168	0.00025515	0.00032715	0.00025036	0.00073536
1:Ins:C:5	0.00874807	0.02220764	0.00001134	0.00949869	0.00829446	0.00003904	0.00183159	0.00327835	0.00256113
1:Ins:T:0	0.00108760	0.00231764	0.01175064	0.00489751	0.01595897	0.00604203	0.01408163	0.00568836	0.03682919
1:Ins:T:1	0.00000020	0.00000389	0.01445872	0.00599943	0.06195969	0.00028789	0.00506676	0.00047781	0.00281456
1:Ins:T:2	0.00064412	0.00002926	0.02946442	0.00345367	0.05559838	0.00000000	0.00136590	0.00052641	0.00142451
1:Ins:T:3	0.00116021	0.00371371	0.02308703	0.00392606	0.03111949	0.00003348	0.00114951	0.00096158	0.00026250
1:Ins:T:4	0.00374851	0.01513628	0.01462603	0.00620372	0.00838074	0.00049895	0.00328268	0.00208072	0.00487300
