Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J
DEL,C,1,0,0.00220046,9.9e-07,0.00343711,0.02954825,0.08628116,0.00420005,0.02300356,0.37293651,0.01130159,0.0030059
DEL,C,1,1,9e-08,1.937e-05,0.00392167,0.01936493,0.23184816,0.00546321,0.00144762,0.0953155,0.00069004,0.00011363
DEL,C,1,2,0,0,0.00398426,0,0.21204966,0.00851683,0.00379703,0,0.00144314,0
DEL,C,1,3,0.00213097,0.00172551,0.00867433,0.00486907,0.07525567,0.00577458,2.795e-05,0.01052321,0.00153774,0.00047726
DEL,C,1,4,0.00334739,0.00045634,0.00387434,0.00068186,0.0443055,0.00045017,0.00166532,0.01424032,0.00285888,0.00135218
DEL,C,1,5+,0.01436532,0.00181146,0.01217002,0.00160346,0.02629898,0.00028089,0.00102503,0.00027786,0.00532564,0.00354569
DEL,T,1,0,0.00539115,0.00081781,0.11221568,0.03359465,0.02396574,0.07386491,0.00046853,0.11750309,0.00584361,0.01600557
DEL,T,1,1,0,0,0.00444454,0.00210122,0.00345385,0.38150608,7.8e-07,0.00820028,0.00876346,1e-08
DEL,T,1,2,0.00632308,6.463e-05,0.12752086,0.0038718,0.0031162,0.07221837,0.00802781,0.08864602,0.00193045,0.00529345
DEL,T,1,3,0.01769817,0.00132832,0.10462369,0.00294756,0.00310204,0.07559766,0.01958115,0.11655032,0.00686983,0.01265414
DEL,T,1,4,0.03993048,0.00261733,0.11040959,0.00414918,0.00281014,0.02322023,0.01404874,0.10568176,0.01377391,0.00988042
DEL,T,1,5+,0.8412904,0.00031056,0.01086057,0.00034395,0.00084164,0.00203077,0.000163,0.00972498,0.00080307,0.06125943
INS,C,1,0,0,0,2e-08,1.3e-07,1.4e-07,6e-08,2e-08,2.2e-07,1e-07,0.5257101
INS,C,1,1,0.00019764,2.48e-06,0.00720805,0.00206703,0.00511793,0.00339257,0.00139159,0,2.57e-05,0.01416674
INS,C,1,2,1.511e-05,1.49e-06,0.00569293,0.00156027,0.00376136,0.00356832,2.07e-05,8.3e-07,2.307e-05,0.00048793
INS,C,1,3,0.00035954,0.00070654,0.00176107,0.00025054,0.00850705,0.00041592,0,6.33e-06,0.00085036,0.00072359
INS,C,1,4,0.00252956,0.00120113,0.00412656,0.00065234,0.00815632,8.54e-06,0.0002502,0.00010064,0.0010203,0.00070573
INS,C,1,5+,0.00697528,0.01928383,0.03074408,0.00728253,0.00825491,2.65e-06,1.945e-05,0.00013383,0.00764962,0.0023288
INS,T,1,0,0.00097275,0.00220018,0.00228159,0.00355535,0.01715229,0.02205152,0.00628433,0.01414146,0.00471183,0.03835115
INS,T,1,1,1.8e-07,1.76e-06,0.01110909,0.00397563,0.06443135,0.01179465,0.00016,0.00519122,0.0001975,0.0028486
INS,T,1,2,0.00044976,8.23e-06,0.03121775,0.00017952,0.05527667,0.01732815,0,5.59e-06,0.00018225,0.00129716
INS,T,1,3,0.0008942,0.0032941,0.02456299,0.00109413,0.0313888,0.01745881,4.001e-05,7.978e-05,0.00111011,0.00017405
INS,T,1,4,0.00297195,0.01378356,0.02624686,0.00388773,0.00826833,0.01263127,0.0004327,0.00190835,0.00367361,0.00475319
INS,T,1,5+,0.00237834,0.92097772,0.05703989,0.01449396,0.0021413,0.00059837,0.00568484,0.00630043,0.0106017,0.16810035
DEL,repeats,2,0,1.864e-05,0.00015318,0.01567679,0.00713747,0.00885159,0.02840596,0.00015811,0.01218913,0.08758389,0.00182648
DEL,repeats,2,1,0.0027741,0.00010865,0.01557143,0.00770266,0.01193868,0.01292543,0.00052425,0.00061535,0.18743048,0.00860335
DEL,repeats,2,2,0.00162894,0.00042146,0.00244604,0.00013133,0.01323135,0.00280364,0.00161055,4.053e-05,0.04360098,0.00281176
DEL,repeats,2,3,0.00093443,0.00011881,0.00029437,0,0.00619329,0.0001137,0.00036481,1.216e-05,0.00985717,0.00028981
DEL,repeats,2,4,0.00088359,7.76e-06,0.00072539,0.00021697,0.0032312,0.0002251,0.00012767,0.00018836,0.00320508,0.000346
DEL,repeats,2,5+,0,1e-08,0.01320628,7.712e-05,0.00128523,0.02260045,1.35e-06,1.18e-06,0.00093776,1.06e-06
DEL,repeats,3,0,1.145e-05,1.818e-05,0.01405802,0.01371229,0.0015146,0.01363207,0.00079294,0.00112277,0.00455146,0.00143822
DEL,repeats,3,1,0.00381577,0.00328543,0.01236339,0.00225952,9.73e-06,0.00127789,0.00400844,0.00100167,0.1016602,0.00599312
DEL,repeats,3,2,0.00191315,0.00050767,0.00227856,0.0003508,1.02e-06,0.00065445,0.00052073,0.00055237,0.01389794,0.00171807
DEL,repeats,3,3,0.00043866,0.00023506,0.00136661,0.00044991,4.316e-05,0.00022409,0.00011512,0.00020926,0.00377366,0.00037134
DEL,repeats,3,4,0,1e-08,0.00501434,1e-08,1.799e-05,0.00415071,1e-08,0,0.00045138,9.16e-06
DEL,repeats,3,5+,0,1e-08,0.00724332,0,0.00035719,0.00668163,2.653e-05,5.31e-06,0.00031084,2.182e-05
DEL,repeats,4,0,9.4e-07,4.05e-05,0.0086774,0.0070727,0.00020156,0.00979317,0.00236678,0.00053705,0.00564988,0.00026941
DEL,repeats,4,1,0.00172785,0.00038873,0.00286882,0.00074395,0.00099591,0.00068731,0.00253103,0.00243785,0.05486474,0.00114858
DEL,repeats,4,2,0.00046408,0,6.112e-05,8.49e-06,0,0.00012128,0.00051293,3.602e-05,0.01040712,0.00063497
DEL,repeats,4,3,2.2e-07,0,0.00257343,6.47e-06,6.951e-05,0.00335765,0.00011234,0,0.00350976,7.52e-05
DEL,repeats,4,4,0,4e-08,0.00305823,0.00014611,0.00034667,0.00453648,9.38e-06,0,9.798e-05,0
DEL,repeats,4,5+,0.0001574,2.04e-05,0.00158757,3.06e-06,7.625e-05,0.00097017,8.048e-05,2.9e-07,0.00073841,5.242e-05
DEL,repeats,5+,0,0,0,0.00532801,0.29559793,0.00110113,0.02156648,0.01554475,9.205e-05,0.00208905,0.00062253
DEL,repeats,5+,1,0.00319098,7.4e-07,0.00042822,0,0,0.00064355,0.00747855,0.00018067,0.01213755,0.00052692
DEL,repeats,5+,2,0.00038475,8.783e-05,0.00048938,0.00033528,1.812e-05,0.00028004,0.00044137,5.027e-05,0.00270558,3.984e-05
DEL,repeats,5+,3,0.00012054,8.15e-06,0.00035857,5.6e-07,2.397e-05,9.779e-05,0.00018176,8.964e-05,0.00091921,9.621e-05
DEL,repeats,5+,4,7.737e-05,1.63e-06,0.0001446,2.39e-06,4.086e-05,3.835e-05,7.83e-05,6.06e-05,0.00014665,1.255e-05
DEL,repeats,5+,5+,4.293e-05,1.534e-05,0.00055889,3.85e-06,3.47e-06,0.00058576,0,3.214e-05,0.00010377,2.908e-05
INS,repeats,2,0,0.00021283,0.00055215,0.00462089,0.00173819,0.00218066,0.00965972,0.00195264,0.00093052,0.0009697,0.02544682
INS,repeats,2,1,0.00022967,4.36e-06,0.0180316,0.00124214,0.00316931,0.01290142,9.294e-05,0.00107728,0.00015558,1.322e-05
INS,repeats,2,2,0.00093227,0.00021109,0.00785331,0.00028162,0.00136836,0.00442209,0.00039735,0.00039995,0.00017289,0.00110726
INS,repeats,2,3,0.0004044,0.00041518,0.00181728,0.00040477,0.00087453,0.00098482,0.00036622,0.0004427,0.00038036,0.00091903
INS,repeats,2,4,0.00193155,0.00226812,0.00387173,0.00091425,0.00024983,1.34e-05,3.73e-05,0.0001032,0.00108968,0.0035295
INS,repeats,2,5+,0.01366215,0.01310666,0.03876771,0.00960221,1.91e-06,0.00036702,2.898e-05,9.777e-05,0.01009888,0.00019695
INS,repeats,3,0,1.813e-05,4.016e-05,0.00403491,0.00032686,0.00017665,0.00241683,0.00101947,0.00044545,0.00010709,0.00765667
INS,repeats,3,1,0.00099854,0.00029685,0.00662189,0.00047428,0.00034589,0.00567574,6.625e-05,0.0006316,0.00064436,0.00292691
INS,repeats,3,2,0.00016183,3.671e-05,0.00152478,1.769e-05,0.00014108,0.00088725,0.00081024,2.66e-06,0.00106739,0.00028937
INS,repeats,3,3,1.682e-05,0.00013947,0.00015809,4.46e-05,1.74e-06,5.005e-05,0.00030799,2.462e-05,2.217e-05,0.00025991
INS,repeats,3,4,0.00011597,9.21e-05,0.00019174,0.00013519,2.045e-05,2.87e-06,0.00015653,4.701e-05,0.00015734,0.00087454
INS,repeats,3,5+,0.00202477,0.0009463,0.00262799,0.00040795,4.58e-06,4e-07,1.9e-07,1.292e-05,0.00068495,0.00192969
INS,repeats,4,0,2.05e-05,7.7e-07,0.00191722,0.00058678,6.002e-05,0.00258555,0.00170059,9.6e-07,0.00041337,0.00507518
INS,repeats,4,1,0.00105892,0.00053954,0.00484663,0.00094697,2.089e-05,0.00486556,0.00068149,0.0010773,0.00194201,0.00184273
INS,repeats,4,2,4.35e-06,4.26e-05,0.00032211,0.00014535,0.00012858,0.00020301,0.00044114,2.109e-05,4.072e-05,5.86e-05
INS,repeats,4,3,0.0002477,5.238e-05,0.0001259,4.77e-06,4.79e-06,1.23e-06,0.00037989,1.65e-06,6.813e-05,0.00079631
INS,repeats,4,4,0.00014257,0.00036167,0.00033404,0.00017616,1.97e-06,1.829e-05,2.99e-06,0.00015555,0.00036517,0.00139088
INS,repeats,4,5+,0.00207616,0.00071906,0.003058,0.0013421,3.74e-06,0.00079653,4.105e-05,1.21e-06,0.00071426,0.00016706
INS,repeats,5+,0,0,2e-08,0.00325341,0,0.00011244,0.00460537,0.00879899,1.9e-06,3.709e-05,0.00276455
