Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3222
low confidence hdp.3,3200
low confidence hdp.4,2447
low confidence hdp.5,2000
low confidence hdp.6,1796
low confidence hdp.7,1600
low confidence hdp.8,1251
low confidence hdp.9,800
low confidence hdp.10,799
low confidence hdp.11,400
low confidence hdp.12,397
low confidence hdp.13,376
low confidence hdp.14,191
low confidence hdp.15,170
low confidence hdp.16,144
low confidence hdp.17,33
low confidence hdp.18,8
low confidence hdp.19,8
low confidence hdp.20,3
low confidence hdp.21,2
