Signature,NumberOfPostSamples
low confidence hdp.1,2363
low confidence hdp.2,2160
low confidence hdp.3,2145
low confidence hdp.4,2128
low confidence hdp.5,2000
low confidence hdp.6,1800
low confidence hdp.7,1800
low confidence hdp.8,1722
low confidence hdp.9,1626
low confidence hdp.10,1210
low confidence hdp.11,1200
low confidence hdp.12,1200
low confidence hdp.13,991
low confidence hdp.14,967
low confidence hdp.15,804
low confidence hdp.16,802
low confidence hdp.17,600
low confidence hdp.18,540
low confidence hdp.19,492
low confidence hdp.20,485
low confidence hdp.21,484
low confidence hdp.22,427
low confidence hdp.23,361
low confidence hdp.24,347
low confidence hdp.25,321
low confidence hdp.26,287
low confidence hdp.27,285
low confidence hdp.28,275
low confidence hdp.29,249
low confidence hdp.30,229
low confidence hdp.31,228
low confidence hdp.32,200
low confidence hdp.33,200
low confidence hdp.34,200
low confidence hdp.35,200
low confidence hdp.36,200
low confidence hdp.37,200
low confidence hdp.38,199
low confidence hdp.39,185
low confidence hdp.40,183
low confidence hdp.41,180
low confidence hdp.42,177
low confidence hdp.43,175
low confidence hdp.44,160
low confidence hdp.45,151
low confidence hdp.46,145
low confidence hdp.47,133
low confidence hdp.48,130
low confidence hdp.49,128
low confidence hdp.50,117
low confidence hdp.51,92
low confidence hdp.52,92
low confidence hdp.53,90
low confidence hdp.54,59
low confidence hdp.55,58
low confidence hdp.56,50
low confidence hdp.57,44
low confidence hdp.58,42
low confidence hdp.59,40
low confidence hdp.60,38
low confidence hdp.61,36
low confidence hdp.62,35
low confidence hdp.63,29
low confidence hdp.64,29
low confidence hdp.65,25
low confidence hdp.66,24
low confidence hdp.67,22
low confidence hdp.68,21
low confidence hdp.69,17
low confidence hdp.70,16
low confidence hdp.71,13
low confidence hdp.72,10
low confidence hdp.73,10
low confidence hdp.74,9
low confidence hdp.75,8
low confidence hdp.76,8
low confidence hdp.77,8
low confidence hdp.78,6
low confidence hdp.79,6
low confidence hdp.80,6
low confidence hdp.81,6
low confidence hdp.82,4
low confidence hdp.83,4
low confidence hdp.84,4
low confidence hdp.85,4
low confidence hdp.86,4
low confidence hdp.87,4
low confidence hdp.88,4
low confidence hdp.89,4
low confidence hdp.90,4
low confidence hdp.91,4
low confidence hdp.92,4
low confidence hdp.93,4
low confidence hdp.94,3
low confidence hdp.95,3
low confidence hdp.96,3
low confidence hdp.97,2
low confidence hdp.98,2
low confidence hdp.99,2
low confidence hdp.100,2
low confidence hdp.101,2
low confidence hdp.102,2
low confidence hdp.103,2
low confidence hdp.104,2
low confidence hdp.105,2
low confidence hdp.106,2
low confidence hdp.107,2
low confidence hdp.108,2
low confidence hdp.109,2
low confidence hdp.110,2
low confidence hdp.111,2
low confidence hdp.112,2
low confidence hdp.113,2
low confidence hdp.114,2
low confidence hdp.115,2
low confidence hdp.116,2
low confidence hdp.117,2
low confidence hdp.118,2
low confidence hdp.119,2
low confidence hdp.120,2
low confidence hdp.121,2
low confidence hdp.122,2
low confidence hdp.123,2
low confidence hdp.124,2
low confidence hdp.125,2
low confidence hdp.126,2
low confidence hdp.127,2
low confidence hdp.128,2
low confidence hdp.129,2
low confidence hdp.130,2
low confidence hdp.131,2
