Signature,NumberOfPostSamples
low confidence hdp.1,3000
low confidence hdp.2,3000
low confidence hdp.3,2800
low confidence hdp.4,2212
low confidence hdp.5,1997
low confidence hdp.6,1993
low confidence hdp.7,1800
low confidence hdp.8,1796
low confidence hdp.9,1401
low confidence hdp.10,1328
low confidence hdp.11,1249
low confidence hdp.12,1000
low confidence hdp.13,990
low confidence hdp.14,976
low confidence hdp.15,600
low confidence hdp.16,400
low confidence hdp.17,200
low confidence hdp.18,195
low confidence hdp.19,64
low confidence hdp.20,26
low confidence hdp.21,20
low confidence hdp.22,2
low confidence hdp.23,2
low confidence hdp.24,2
