Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (False Positive) (ID5 0.86),ID83D (ID8 0.99),ID83E (ID3 0.977),ID83F (ID6 0.998),ID83G (ID13 0.984),ID83H (ID9 0.994),ID83I (ID4 0.993),ID83J (ID14 0.987)
DEL,C,1,0,0.0021832,0,0.00215731,0.0295363,0.0840014,0.02215825,0.00414836,0.37380801,0.01004993,0.00291769
DEL,C,1,1,0,1.02e-06,0.00534974,0.01917114,0.23432509,0.0009939,0.003682,0.09734822,0.00075138,6.637e-05
DEL,C,1,2,0,0,0.00637764,3.599e-05,0.21193288,0.00391351,0.00701664,0,0.00139585,0
DEL,C,1,3,0.002294,0.00188063,0.00837184,0.00461971,0.07543268,2.585e-05,0.0054844,0.01062732,0.0016388,0.00056258
DEL,C,1,4,0.00357687,0.0006208,0.00159862,0.00028838,0.04453935,0.00166497,0.00125108,0.01414355,0.00248226,0.00122324
DEL,C,1,5+,0.01487621,0.00217131,0.00541581,0.00042875,0.02658466,0.00113326,0.0022244,0.00022665,0.0038668,0.00342995
DEL,T,1,0,0.00605868,0.00095816,0.13081743,0.03430111,0.02258078,0.0001923,0.06223516,0.1184084,0.00525698,0.0160869
DEL,T,1,1,0,1e-08,0.01014007,0.01160565,0.00418791,1.1e-06,0.42923527,0.00577829,0.00595472,1e-08
DEL,T,1,2,0.00662589,5.196e-05,0.15425692,0.00405452,0.00168927,0.00767293,0.05581375,0.08965325,0.00146224,0.00556433
DEL,T,1,3,0.01934877,0.00131711,0.11320013,0.0033571,0.00195823,0.01935655,0.07027615,0.11586827,0.00574123,0.01320851
DEL,T,1,4,0.0450116,0.00303305,0.08428774,0.00135014,0.00191827,0.01410158,0.02573285,0.10627644,0.00829588,0.01011241
DEL,T,1,5+,0.82696214,0.0002387,0.00976636,0.00039586,0.00082852,0.00015714,0.00213566,0.00806768,0.00074821,0.06173551
INS,C,1,0,1e-08,2e-08,4e-08,1.4e-07,1.2e-07,1e-08,6e-08,2.4e-07,8e-08,0.52403422
INS,C,1,1,0.00018674,7.95e-06,0.00800901,0.00206811,0.00518981,0.00137422,0.00262464,0,0.00152812,0.01389918
INS,C,1,2,5.08e-06,0,0.00571973,0.00175201,0.0041496,1.65e-05,0.003537,3.27e-06,0.00075761,0.00048454
INS,C,1,3,0.00040747,0.00070203,0.00138053,7.221e-05,0.00871886,2.3e-07,0.00049334,5.37e-06,0.00104675,0.00074095
INS,C,1,4,0.00271432,0.0012949,0.00200022,0.0002041,0.00820961,0.00028606,0.00053184,0.00010035,0.00066973,0.00066664
