Signature,NumberOfPostSamples
low confidence hdp.1,2794
low confidence hdp.2,2575
low confidence hdp.3,2400
low confidence hdp.4,2196
low confidence hdp.5,1629
low confidence hdp.6,1528
low confidence hdp.7,1294
low confidence hdp.8,1200
low confidence hdp.9,1195
low confidence hdp.10,987
low confidence hdp.11,897
low confidence hdp.12,800
low confidence hdp.13,799
low confidence hdp.14,600
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,199
low confidence hdp.18,182
low confidence hdp.19,2
low confidence hdp.20,2
