"ex.sig","gt.sig","sim"
"ID83A","ID2",0.999960241290869
"ID83B","ID1",0.999969726331444
"ID83D","ID8",0.990713262286196
"ID83E","ID3",0.975582745117657
"ID83F","ID13",0.975865934131601
"ID83G","ID6",0.99780732203709
"ID83H","ID9",0.994712641659779
"ID83I","ID4",0.993387942360896
"ID83J","ID14",0.986986155687073
