num.sigs,46
likelihood,42378.6
evidence,75406.94
relevance,4.21647433992801,0.735394253882363,3.39576206874196,2.43504585982256,1.75631005911049,2.63676870738231,5.58191519325706,23.5757697172146,0.727526554770325,0.852359969883814,3.75178751575402,4.64735048676691,0.873053771339265,9.71222859985459,1.58967221454714,0.832552236410894,2.04770314629189,1.11634036856557,1.3994915933943,1.19155972198398,1.16603343120846,4.10545821760478,20.1688766814694,1.66716167319827,7.10375034660296,1.2061677140307,5.64038737078991,6.12452314189176,2.08191510936048,1.30186424677735,9.40480961716968,8.07409435737322,1.1992347872651,1.53557658523941,12.2316080381542,2.59818581894304,0.969605180169468,2.58545561357504,3.71599995470912,1.38089141410377,4.95313351212269,1.06657372997998,2.42918763921543,0.908445017856354,2.5161966117992,1.198560598731
error,34347309
