Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17,low confidence hdp.18,low confidence hdp.19,low confidence hdp.20,low confidence hdp.21
DEL,C,1,0,0.00253851430278409,0.012687998379492,0.0192662735362987,0.0160856095923623,0.00909852234122986,0.0147650963013935,0.201460225276734,0.00228379267944307,0.0176365288594533,0.027413381767434,0.333850493062319,0.031105224331507,0.00545626805647193,0.0103141401924123,0.0204431281916439,0.0179760809915077,0.00520519157050846,0.0140720168286747,0.0471810146789705,0.00508845829823083,0.00915497595995521
DEL,C,1,1,0.000416896325065578,0.00707561031152022,0.0312062132993244,0.0314645825103793,0.000727885288009164,0.0151833722810345,0.120076688108678,0.00662211899527613,0.0237784714314137,0.0212831719027699,0.012599835172787,0.0127045807775898,0.0103318525603111,0.00230251112418025,0.0719107654409831,0.0165219805226075,0.0084645171333502,0.0127589952291257,0.00202468558968968,0.00363942712721146,0.00230520977408944
DEL,C,1,2,1.08735817797454e-05,0.00726114523115941,0.0250891376370078,0.01355729850111,7.82408858338575e-05,0.0301658723933225,0.11474161016516,0.000610149913678536,0.0210527154627296,0.0178582812977893,0.00904827873761527,0.00187522764725804,0.0118401915716389,0.00392259124047093,0.372957001895958,0.00458513758245411,0.0134994454281878,0.0236034537280189,0.000116808784020558,0.00138163437236731,0.00131726272805111
DEL,C,1,3,0.0026992415299978,0.00119627637076001,0.0141351197029771,0.0126000324570136,0.00447784667079342,0.0116996211812352,0.0616293375107256,0.017865644885505,0.0138494934531015,0.0227107476521127,0.0568286257682358,0.00598423846711478,0.00622931427205114,0.00176988204485181,0.0506552816950138,0.0100559545414201,0.00863478040902104,0.0155139345276559,0.00804033796674843,0.00296545914069082,0.00731080814068366
DEL,C,1,4,0.00216684371759834,0.00125591347760554,0.00306042142637653,0.00468860595949231,0.0165443591253159,0.00221635911284392,0.0489008726315926,0.00258809136412753,0.00256757212638663,0.00306658442481771,0.049821840489884,0.00112208354130737,0.0208147187999446,0.00186974999722589,0.0228262223390858,0.00829403799923329,0.0100309392695219,0.0029285193790989,0.0178133395631351,0.0267565290648694,0.012448132780083
DEL,C,1,5+,0.00819124410220111,0.000991191947799317,0.00147175914668327,0.00177026125148671,0.0353802835243161,0.0032733668784938,0.0264398569980841,0.0144371095351061,0.00291140615740235,0.00401372861427237,0.0333796047032063,0.00151445333772593,0.00569896861252587,0.0023247040024856,0.0131263925600963,0.00119160700763119,0.0041446945963301,0.00180454539205038,0.226093135537126,0.00859309182813816,0.00764012382269644
DEL,T,1,0,0.00590714942207984,0.0103760162837724,0.0815480808218647,0.0660763964316124,0.0388991104781437,0.220414553562495,0.0415343169006429,0.00746308049631737,0.110992462161389,0.00723740824120354,0.039500827626195,0.0282090009507047,0.249021557202723,0.020406351601771,0.053443861664291,0.138794833977607,0.0100358039345411,0.15601240152338,0.0913444691040766,0.155349620893008,0.129289336758216
DEL,T,1,1,9.37698058557066e-06,0.00218657858136644,0.0626114665061202,0.00673068979395683,0.000111497638201716,0.0283217041284699,0.0108473711448368,0.000469903411043351,0.0973590603215688,0.152366744129307,0.0103354387349535,0.00735491458923382,0.00521536528231468,0.0143144065069519,0.0438519769163703,0.00429431748867407,0.0187143663287346,0.00531051929660539,0.000204415372035977,0.00121314237573715,0.000526905091220444
DEL,T,1,2,0.00568741998295923,0.0124450506959895,0.0871193647314629,0.0168969564387238,0.016538757988075,0.116268514358291,0.0107728256533212,0.00409509437399343,0.0780785085933273,0.0962369512125248,0.00502811416169168,0.00678566331707172,0.0665107390501599,0.01237807787481,0.0211613778214478,0.208402812268076,0.101642310910471,0.344353663399007,0.00741735778530545,0.0208930075821398,0.0185075413291181
DEL,T,1,3,0.0120558786607152,0.0104365431278108,0.158914189513524,0.289073269843961,0.0931040286092087,0.00837197964990458,0.0147306869554538,0.0072224361283271,0.0628020667230338,0.0387075584043109,0.013179196776795,0.01009103050278,0.291249656174212,0.00571466616362809,0.0183949404226463,0.00876803698325141,0.335749450292853,0.0107997745177567,0.114453140209477,0.356967144060657,0.277020351709148
