Signature,NumberOfPostSamples
low confidence hdp.1,2800
low confidence hdp.2,2600
low confidence hdp.3,2000
low confidence hdp.4,1998
low confidence hdp.5,1966
low confidence hdp.6,1169
low confidence hdp.7,1000
low confidence hdp.8,597
low confidence hdp.9,420
low confidence hdp.10,257
low confidence hdp.11,200
low confidence hdp.12,200
low confidence hdp.13,160
low confidence hdp.14,158
low confidence hdp.15,152
low confidence hdp.16,116
low confidence hdp.17,90
low confidence hdp.18,69
low confidence hdp.19,64
low confidence hdp.20,16
low confidence hdp.21,8
