Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,2800
low confidence hdp.3,2697
low confidence hdp.4,1594
low confidence hdp.5,1592
low confidence hdp.6,1200
low confidence hdp.7,988
low confidence hdp.8,800
low confidence hdp.9,584
low confidence hdp.10,400
low confidence hdp.11,400
low confidence hdp.12,310
low confidence hdp.13,200
low confidence hdp.14,200
low confidence hdp.15,179
low confidence hdp.16,102
low confidence hdp.17,55
low confidence hdp.18,50
low confidence hdp.19,46
low confidence hdp.20,33
low confidence hdp.21,13
low confidence hdp.22,7
low confidence hdp.23,2
low confidence hdp.24,2
low confidence hdp.25,2
low confidence hdp.26,2
low confidence hdp.27,2
low confidence hdp.28,2
low confidence hdp.29,2
low confidence hdp.30,2
low confidence hdp.31,2
low confidence hdp.32,2
