Signature,NumberOfPostSamples
low confidence hdp.1,1006
low confidence hdp.2,1003
low confidence hdp.3,1000
low confidence hdp.4,1000
low confidence hdp.5,997
low confidence hdp.6,991
low confidence hdp.7,802
low confidence hdp.8,800
low confidence hdp.9,800
low confidence hdp.10,800
low confidence hdp.11,800
low confidence hdp.12,797
low confidence hdp.13,776
low confidence hdp.14,669
low confidence hdp.15,610
low confidence hdp.16,600
low confidence hdp.17,600
low confidence hdp.18,559
low confidence hdp.19,402
low confidence hdp.20,400
low confidence hdp.21,400
low confidence hdp.22,400
low confidence hdp.23,400
low confidence hdp.24,400
low confidence hdp.25,400
low confidence hdp.26,400
low confidence hdp.27,400
low confidence hdp.28,400
low confidence hdp.29,398
low confidence hdp.30,397
low confidence hdp.31,396
low confidence hdp.32,393
low confidence hdp.33,389
low confidence hdp.34,389
low confidence hdp.35,387
low confidence hdp.36,380
low confidence hdp.37,374
low confidence hdp.38,329
low confidence hdp.39,305
low confidence hdp.40,302
low confidence hdp.41,298
low confidence hdp.42,298
low confidence hdp.43,295
low confidence hdp.44,289
low confidence hdp.45,276
low confidence hdp.46,247
low confidence hdp.47,222
low confidence hdp.48,204
low confidence hdp.49,202
low confidence hdp.50,200
low confidence hdp.51,200
low confidence hdp.52,200
low confidence hdp.53,200
low confidence hdp.54,200
low confidence hdp.55,200
low confidence hdp.56,200
low confidence hdp.57,200
low confidence hdp.58,200
low confidence hdp.59,200
low confidence hdp.60,200
low confidence hdp.61,200
low confidence hdp.62,200
low confidence hdp.63,200
low confidence hdp.64,200
low confidence hdp.65,200
low confidence hdp.66,200
low confidence hdp.67,200
low confidence hdp.68,200
low confidence hdp.69,200
low confidence hdp.70,200
low confidence hdp.71,200
low confidence hdp.72,200
low confidence hdp.73,200
low confidence hdp.74,200
low confidence hdp.75,200
low confidence hdp.76,200
low confidence hdp.77,199
low confidence hdp.78,199
low confidence hdp.79,199
low confidence hdp.80,198
low confidence hdp.81,197
low confidence hdp.82,193
low confidence hdp.83,192
low confidence hdp.84,191
low confidence hdp.85,189
low confidence hdp.86,186
low confidence hdp.87,185
low confidence hdp.88,182
low confidence hdp.89,170
low confidence hdp.90,169
low confidence hdp.91,168
low confidence hdp.92,167
low confidence hdp.93,164
low confidence hdp.94,160
low confidence hdp.95,152
low confidence hdp.96,150
low confidence hdp.97,149
low confidence hdp.98,147
low confidence hdp.99,145
low confidence hdp.100,141
low confidence hdp.101,141
low confidence hdp.102,140
low confidence hdp.103,138
low confidence hdp.104,119
low confidence hdp.105,117
low confidence hdp.106,116
low confidence hdp.107,112
low confidence hdp.108,111
low confidence hdp.109,107
low confidence hdp.110,100
low confidence hdp.111,89
low confidence hdp.112,80
low confidence hdp.113,74
low confidence hdp.114,65
low confidence hdp.115,63
low confidence hdp.116,62
low confidence hdp.117,55
low confidence hdp.118,54
low confidence hdp.119,47
low confidence hdp.120,46
low confidence hdp.121,45
low confidence hdp.122,41
low confidence hdp.123,41
low confidence hdp.124,41
low confidence hdp.125,40
low confidence hdp.126,37
low confidence hdp.127,36
low confidence hdp.128,36
low confidence hdp.129,35
low confidence hdp.130,28
low confidence hdp.131,26
low confidence hdp.132,24
low confidence hdp.133,23
low confidence hdp.134,23
low confidence hdp.135,22
low confidence hdp.136,20
low confidence hdp.137,20
low confidence hdp.138,20
low confidence hdp.139,19
low confidence hdp.140,17
low confidence hdp.141,17
low confidence hdp.142,16
low confidence hdp.143,15
low confidence hdp.144,15
low confidence hdp.145,13
low confidence hdp.146,13
low confidence hdp.147,12
low confidence hdp.148,12
low confidence hdp.149,11
low confidence hdp.150,11
low confidence hdp.151,11
low confidence hdp.152,10
low confidence hdp.153,10
low confidence hdp.154,10
low confidence hdp.155,9
low confidence hdp.156,8
low confidence hdp.157,8
low confidence hdp.158,8
low confidence hdp.159,8
low confidence hdp.160,8
low confidence hdp.161,7
low confidence hdp.162,7
low confidence hdp.163,6
low confidence hdp.164,6
low confidence hdp.165,6
low confidence hdp.166,6
low confidence hdp.167,6
low confidence hdp.168,6
low confidence hdp.169,6
low confidence hdp.170,5
low confidence hdp.171,5
low confidence hdp.172,4
low confidence hdp.173,4
low confidence hdp.174,4
low confidence hdp.175,4
low confidence hdp.176,4
low confidence hdp.177,4
low confidence hdp.178,4
low confidence hdp.179,4
low confidence hdp.180,4
low confidence hdp.181,3
low confidence hdp.182,2
low confidence hdp.183,2
low confidence hdp.184,2
low confidence hdp.185,2
low confidence hdp.186,2
low confidence hdp.187,2
low confidence hdp.188,2
low confidence hdp.189,2
low confidence hdp.190,2
low confidence hdp.191,2
low confidence hdp.192,2
low confidence hdp.193,2
low confidence hdp.194,2
low confidence hdp.195,2
low confidence hdp.196,2
low confidence hdp.197,2
low confidence hdp.198,2
low confidence hdp.199,2
low confidence hdp.200,2
low confidence hdp.201,2
low confidence hdp.202,2
low confidence hdp.203,2
low confidence hdp.204,2
low confidence hdp.205,2
low confidence hdp.206,2
low confidence hdp.207,2
low confidence hdp.208,2
low confidence hdp.209,2
low confidence hdp.210,2
