Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12,W.13,W.14,W.15
DEL,C,1,0,0.589920603256871,3.13381026082094e-98,0.0253663146486928,0.0838717128688603,0,8.96699561064461e-55,5.4620425642771e-38,7.92363673534748e-13,1.03644088793373e-114,7.13924768900315e-167,0.00318950043468538,0,0.000594853254613724,1.58853760176747e-64,0.0218798714830005
DEL,C,1,1,0.140133033982177,4.73497776758718e-299,0,0.252921011551289,0,1.08991750676992e-96,0.0200096727507796,0.015933857043838,2.48616691835786e-74,1.13510667576385e-241,1.1125370010275e-308,0.000504017593567896,0,1.35496111650465e-264,0.000548125395533881
DEL,C,1,2,0,0,0,0.23790743628392,0,2.45585668132735e-09,0.0236881877323577,0,0,0,0,0,0,0,0.00536506612388595
DEL,C,1,3,0.0129931762645246,7.06194214021114e-123,0.0188609020956545,0.0751937273878179,0,0.00324304373240543,0.0192131282954666,0.00475900738045896,3.62030424708202e-148,5.35351845949889e-109,0.00162213502558506,0.00156107214616502,0,0.000248605073570932,0
DEL,C,1,4,0.0157833753154809,0.00281694805652286,0.024941634644209,0.049914224902318,0,1.11253692925476e-308,0,0,7.02940918022797e-173,0,0.00267564807504738,0.000275342063107403,0.00210228395298516,0.000886474420844748,0.0019736224956142
DEL,C,1,5+,2.20210155003318e-252,8.98108136710069e-173,0.114278010339779,0.0273324788329927,0,0,1.69614126750439e-193,0,2.93987084921234e-250,0,0.010338218027531,0.00069401886183549,0.00508106289186143,0.00173515752327715,0.000613886971993924
DEL,T,1,0,0.152574552455013,0.0178596391975328,0.0528493937375793,0.0259291146830281,0,0.0406281235672682,0.196552759051016,0.0292951129972367,0.0182566036690993,6.1329250927036e-248,0.00580955379841774,5.01247121849249e-102,0.0236163552684577,3.26324714568211e-215,9.98293347447787e-202
DEL,T,1,1,0,0,0,2.401972569246e-42,0,0.765076858847904,1.97618621921051e-36,5.4735134207003e-289,0,0,0,0,0,0,0
DEL,T,1,2,0.0271366146514031,0.0451918687919146,0.0146784229633283,0.00551334446141627,0,0.00300034357467175,0.117260442978565,5.74797630025411e-79,4.70444007245224e-05,0.973278913233254,0.00313153670487433,2.64374877488963e-90,7.72376869516355e-108,5.5700540605659e-176,0.000328541557674476
DEL,T,1,3,1.15594027300264e-52,3.58784570373061e-14,0.102728192482494,3.03510388809078e-29,0,3.31759808403541e-48,4.11608057957009e-13,1.06506316829401e-93,0.965556060519804,1.37617011244882e-140,0.00888179969263186,1.6637221777283e-25,8.43461750659704e-227,3.19204100669571e-182,5.15999420696543e-35
DEL,T,1,4,5.95804263967264e-81,0.898776562757888,4.28100194090677e-78,7.00274947148865e-52,1.11253692932205e-308,8.38739732738778e-74,3.61931006291617e-41,4.2153401350939e-113,4.65144280759041e-78,1.65215559623206e-179,0.0283184861463359,1.85876089665265e-32,2.39272973294494e-248,4.27445121337913e-142,6.97708010362715e-51
DEL,T,1,5+,5.86871445055221e-134,5.02558382696116e-72,2.92077639546712e-54,1.25848653983353e-31,6.06995113978633e-140,9.83306602502589e-75,1.18190590189008e-35,1.23074917596437e-62,1.40367201330372e-99,6.68961178362397e-167,0.886070977376927,1.29347981994055e-45,5.48604120891811e-243,1.45029295532106e-147,4.73744451730479e-75
INS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737204793995841,0,0
INS,C,1,1,0,1.11267810725304e-308,0.000980987811734611,0,0.168041640377536,0,0,0,0,0,0.00018740575044982,0,0.0224159450158083,0,0.00121631154146042
INS,C,1,2,0,1.98167803131352e-242,3.02675257191339e-05,0.00083641056488991,0.100736854158073,0.000572667104364373,0.00394319543409052,7.90648475183544e-05,1.0360789421914e-169,0,1.45990009333907e-05,0,0.000258390159450932,0,0
