Data_set,Noise_level,Approach,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_Sigs,FN,FP
indel_down_samp,Realistic,mSigHdp_ds_10k,seed.1076753,0.733333333333333,1,0.991300863230109,2.72463419656344,15,0,4
indel_down_samp,Realistic,mSigHdp_ds_10k,seed.145879,0.846153846153846,1,0.987010604430804,2.83316445058465,13,0,2
indel_down_samp,Realistic,mSigHdp_ds_10k,seed.200437,0.6875,1,0.989859400363809,2.67735940036381,16,0,5
indel_down_samp,Realistic,mSigHdp_ds_10k,seed.310111,0.846153846153846,1,0.990320931226799,2.83647477738064,13,0,2
indel_down_samp,Realistic,mSigHdp_ds_10k,seed.528401,0.785714285714286,1,0.992403381391671,2.77811766710596,14,0,3
indel_down_samp,Realistic,mSigHdp_ds_1k,seed.1076753,0.846153846153846,1,0.989918984879546,2.83607283103339,13,0,2
indel_down_samp,Realistic,mSigHdp_ds_1k,seed.145879,0.6875,1,0.990446566072786,2.67794656607279,16,0,5
indel_down_samp,Realistic,mSigHdp_ds_1k,seed.200437,0.733333333333333,1,0.990801487531084,2.72413482086442,15,0,4
indel_down_samp,Realistic,mSigHdp_ds_1k,seed.310111,0.785714285714286,1,0.990622026741217,2.7763363124555,14,0,3
indel_down_samp,Realistic,mSigHdp_ds_1k,seed.528401,0.785714285714286,1,0.98319571661926,2.76891000233355,14,0,3
indel_down_samp,Realistic,mSigHdp_ds_3k,seed.1076753,0.733333333333333,1,0.991369353331377,2.72470268666471,15,0,4
indel_down_samp,Realistic,mSigHdp_ds_3k,seed.145879,0.733333333333333,1,0.991367793393614,2.72470112672695,15,0,4
indel_down_samp,Realistic,mSigHdp_ds_3k,seed.200437,0.733333333333333,1,0.990926906672275,2.72426024000561,15,0,4
indel_down_samp,Realistic,mSigHdp_ds_3k,seed.310111,0.6875,1,0.990748402575642,2.67824840257564,16,0,5
indel_down_samp,Realistic,mSigHdp_ds_3k,seed.528401,0.647058823529412,1,0.990125337984759,2.63718416151417,17,0,6
indel_down_samp,Realistic,mSigHdp_ds_500,seed.1076753,0.733333333333333,1,0.989797203843177,2.72313053717651,15,0,4
indel_down_samp,Realistic,mSigHdp_ds_500,seed.145879,0.785714285714286,1,0.989615004673407,2.77532929038769,14,0,3
indel_down_samp,Realistic,mSigHdp_ds_500,seed.200437,0.6875,1,0.990218195165444,2.67771819516544,16,0,5
indel_down_samp,Realistic,mSigHdp_ds_500,seed.310111,0.733333333333333,1,0.987933016028511,2.72126634936184,15,0,4
indel_down_samp,Realistic,mSigHdp_ds_500,seed.528401,0.846153846153846,1,0.984234376261163,2.83038822241501,13,0,2
indel_down_samp,Realistic,mSigHdp_ds_5k,seed.1076753,0.647058823529412,1,0.990685988018126,2.63774481154754,17,0,6
indel_down_samp,Realistic,mSigHdp_ds_5k,seed.145879,0.916666666666667,1,0.990923092924003,2.90758975959067,12,0,1
indel_down_samp,Realistic,mSigHdp_ds_5k,seed.200437,0.846153846153846,1,0.99264182674663,2.83879567290048,13,0,2
indel_down_samp,Realistic,mSigHdp_ds_5k,seed.310111,0.733333333333333,1,0.991300945465486,2.72463427879882,15,0,4
indel_down_samp,Realistic,mSigHdp_ds_5k,seed.528401,0.785714285714286,1,0.99008480954277,2.77579909525706,14,0,3
indel_down_samp,Realistic,mSigHdp_ds_non_hyper,seed.1076753,0.6875,1,0.986494200650993,2.67399420065099,16,0,5
indel_down_samp,Realistic,mSigHdp_ds_non_hyper,seed.145879,0.6875,1,0.987467275164847,2.67496727516485,16,0,5
indel_down_samp,Realistic,mSigHdp_ds_non_hyper,seed.200437,0.6875,1,0.981014652621426,2.66851465262143,16,0,5
indel_down_samp,Realistic,mSigHdp_ds_non_hyper,seed.310111,0.647058823529412,1,0.988642583722034,2.63570140725145,17,0,6
indel_down_samp,Realistic,mSigHdp_ds_non_hyper,seed.528401,0.611111111111111,1,0.987954092155678,2.59906520326679,18,0,7
