Data_set,Noise_level,Approach,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_Sigs,FN,FP,FP.sigs,FN.sigs
indel_set1,Realistic,mSigHdp_ds_10k,seed.1076753,0.7333333333333333,1,0.9913008632301095,2.724634196563443,15,0,4,,
indel_set1,Realistic,mSigHdp_ds_10k,seed.145879,0.8461538461538461,1,0.9870106044308039,2.83316445058465,13,0,2,,
indel_set1,Realistic,mSigHdp_ds_10k,seed.200437,0.6875,1,0.9898594003638091,2.6773594003638093,16,0,5,,
indel_set1,Realistic,mSigHdp_ds_10k,seed.310111,0.8461538461538461,1,0.9903209312267985,2.8364747773806447,13,0,2,,
indel_set1,Realistic,mSigHdp_ds_10k,seed.528401,0.7857142857142857,1,0.9924033813916712,2.7781176671059566,14,0,3,,
indel_set1,Realistic,mSigHdp_ds_1k,seed.1076753,0.8461538461538461,1,0.9899189848795458,2.836072831033392,13,0,2,,
indel_set1,Realistic,mSigHdp_ds_1k,seed.145879,0.6875,1,0.9904465660727859,2.677946566072786,16,0,5,,
indel_set1,Realistic,mSigHdp_ds_1k,seed.200437,0.7333333333333333,1,0.9908014875310842,2.7241348208644176,15,0,4,,
indel_set1,Realistic,mSigHdp_ds_1k,seed.310111,0.7857142857142857,1,0.9906220267412166,2.776336312455502,14,0,3,,
indel_set1,Realistic,mSigHdp_ds_1k,seed.528401,0.7857142857142857,1,0.9831957166192602,2.768910002333546,14,0,3,,
indel_set1,Realistic,mSigHdp_ds_3k,seed.1076753,0.7333333333333333,1,0.9913693533313764,2.7247026866647097,15,0,4,,
indel_set1,Realistic,mSigHdp_ds_3k,seed.145879,0.7333333333333333,1,0.9913677933936135,2.7247011267269468,15,0,4,,
indel_set1,Realistic,mSigHdp_ds_3k,seed.200437,0.7333333333333333,1,0.990926906672275,2.7242602400056084,15,0,4,,
indel_set1,Realistic,mSigHdp_ds_3k,seed.310111,0.6875,1,0.9907484025756426,2.6782484025756426,16,0,5,,
indel_set1,Realistic,mSigHdp_ds_3k,seed.528401,0.6470588235294118,1,0.990125337984759,2.6371841615141705,17,0,6,,
indel_set1,Realistic,mSigHdp_ds_5k,seed.1076753,0.6470588235294118,1,0.9906859880181261,2.6377448115475377,17,0,6,,
indel_set1,Realistic,mSigHdp_ds_5k,seed.145879,0.9166666666666666,1,0.9909230929240034,2.90758975959067,12,0,1,,
indel_set1,Realistic,mSigHdp_ds_5k,seed.200437,0.8461538461538461,1,0.9926418267466298,2.838795672900476,13,0,2,,
indel_set1,Realistic,mSigHdp_ds_5k,seed.310111,0.7333333333333333,1,0.9913009454654861,2.7246342787988196,15,0,4,,
indel_set1,Realistic,mSigHdp_ds_5k,seed.528401,0.7857142857142857,1,0.9900848095427702,2.7757990952570557,14,0,3,,
