Signature,NumberOfPostSamples
low confidence hdp.1,3589
low confidence hdp.2,3377
low confidence hdp.3,3145
low confidence hdp.4,2721
low confidence hdp.5,2626
low confidence hdp.6,2400
low confidence hdp.7,2176
low confidence hdp.8,2061
low confidence hdp.9,2029
low confidence hdp.10,1940
low confidence hdp.11,1910
low confidence hdp.12,1684
low confidence hdp.13,1567
low confidence hdp.14,1230
low confidence hdp.15,1004
low confidence hdp.16,1002
low confidence hdp.17,1000
low confidence hdp.18,854
low confidence hdp.19,800
low confidence hdp.20,618
low confidence hdp.21,579
low confidence hdp.22,540
low confidence hdp.23,480
low confidence hdp.24,417
low confidence hdp.25,400
low confidence hdp.26,400
low confidence hdp.27,395
low confidence hdp.28,360
low confidence hdp.29,350
low confidence hdp.30,330
low confidence hdp.31,321
low confidence hdp.32,256
low confidence hdp.33,249
low confidence hdp.34,229
low confidence hdp.35,228
low confidence hdp.36,218
low confidence hdp.37,204
low confidence hdp.38,203
low confidence hdp.39,202
low confidence hdp.40,200
low confidence hdp.41,200
low confidence hdp.42,200
low confidence hdp.43,200
low confidence hdp.44,200
low confidence hdp.45,200
low confidence hdp.46,200
low confidence hdp.47,200
low confidence hdp.48,200
low confidence hdp.49,200
low confidence hdp.50,200
low confidence hdp.51,200
low confidence hdp.52,199
low confidence hdp.53,185
low confidence hdp.54,184
low confidence hdp.55,183
low confidence hdp.56,180
low confidence hdp.57,173
low confidence hdp.58,161
low confidence hdp.59,146
low confidence hdp.60,146
low confidence hdp.61,135
low confidence hdp.62,135
low confidence hdp.63,133
low confidence hdp.64,130
low confidence hdp.65,130
low confidence hdp.66,128
low confidence hdp.67,110
low confidence hdp.68,104
low confidence hdp.69,98
low confidence hdp.70,94
low confidence hdp.71,92
low confidence hdp.72,90
low confidence hdp.73,87
low confidence hdp.74,65
low confidence hdp.75,59
low confidence hdp.76,57
low confidence hdp.77,57
low confidence hdp.78,50
low confidence hdp.79,44
low confidence hdp.80,43
low confidence hdp.81,42
low confidence hdp.82,39
low confidence hdp.83,36
low confidence hdp.84,35
low confidence hdp.85,30
low confidence hdp.86,30
low confidence hdp.87,29
low confidence hdp.88,27
low confidence hdp.89,25
low confidence hdp.90,25
low confidence hdp.91,21
low confidence hdp.92,20
low confidence hdp.93,17
low confidence hdp.94,16
low confidence hdp.95,15
low confidence hdp.96,14
low confidence hdp.97,13
low confidence hdp.98,13
low confidence hdp.99,12
low confidence hdp.100,10
low confidence hdp.101,8
low confidence hdp.102,8
low confidence hdp.103,8
low confidence hdp.104,8
low confidence hdp.105,8
low confidence hdp.106,6
low confidence hdp.107,6
low confidence hdp.108,6
low confidence hdp.109,6
low confidence hdp.110,6
low confidence hdp.111,6
low confidence hdp.112,5
low confidence hdp.113,4
low confidence hdp.114,4
low confidence hdp.115,4
low confidence hdp.116,4
low confidence hdp.117,4
low confidence hdp.118,4
low confidence hdp.119,4
low confidence hdp.120,4
low confidence hdp.121,4
low confidence hdp.122,4
low confidence hdp.123,4
low confidence hdp.124,4
low confidence hdp.125,4
low confidence hdp.126,4
low confidence hdp.127,4
low confidence hdp.128,3
low confidence hdp.129,3
low confidence hdp.130,3
low confidence hdp.131,2
low confidence hdp.132,2
low confidence hdp.133,2
low confidence hdp.134,2
low confidence hdp.135,2
low confidence hdp.136,2
low confidence hdp.137,2
low confidence hdp.138,2
low confidence hdp.139,2
low confidence hdp.140,2
low confidence hdp.141,2
low confidence hdp.142,2
low confidence hdp.143,2
low confidence hdp.144,2
low confidence hdp.145,2
low confidence hdp.146,2
low confidence hdp.147,2
low confidence hdp.148,2
low confidence hdp.149,2
low confidence hdp.150,2
low confidence hdp.151,2
low confidence hdp.152,2
low confidence hdp.153,2
low confidence hdp.154,2
low confidence hdp.155,2
low confidence hdp.156,2
low confidence hdp.157,2
low confidence hdp.158,2
low confidence hdp.159,2
low confidence hdp.160,2
low confidence hdp.161,2
low confidence hdp.162,2
low confidence hdp.163,2
low confidence hdp.164,2
low confidence hdp.165,2
low confidence hdp.166,2
low confidence hdp.167,2
low confidence hdp.168,2
low confidence hdp.169,2
low confidence hdp.170,2
low confidence hdp.171,2
low confidence hdp.172,2
low confidence hdp.173,2
low confidence hdp.174,2
low confidence hdp.175,2
