"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID10","ID11","ID12","ID13","ID14"
"signeR.1",0.999993429548356,0.00501267255739701,0.0837616717674512,0.00614867994498203,0.0108397698504764,0.0388699394646722,0.0512337638476471,0.0166892184998785,0.00322231732008338,0.0596373685508182,0.00594417086704135,0.0230338192598599,0.451824903871039
"signeR.2",0.0308666010886103,0.999495608313536,0.0360796192334005,0.00562322015901995,0.155578250840734,0.0274588989360488,0.030686192077544,0.0269571680853153,0.00451656321440985,0.0190659571025174,0.0165231201683986,0.0186924131951804,0.0909433010679521
"signeR.3",0.00102653940074071,0.998325749717315,0.028936675652055,0.00439917817212387,0.136262169454779,0.022365215879292,0.0280082104735674,0.00806049164053557,0.00198488839332811,0.0158746305540608,0.00608720538648011,0.013233732693796,0.0759024730464904
"signeR.4",0.0892458921570856,0.995682503359763,0.0388612936236371,0.00414062676660776,0.154108022162073,0.027967497082961,0.0333461952372094,0.0221526124248087,0.00300890990183522,0.0217819481080798,0.0104730546543724,0.0195857603531207,0.116713644782692
"signeR.5",0.0846303568707786,0.995184862464098,0.0532438327660156,0.0184754199661874,0.176830040866286,0.0340769777294124,0.0382933455107487,0.0457715436161473,0.0116350976158879,0.0244658895774967,0.0288669125608142,0.0269281735635482,0.116456810293664
"signeR.6",0.00506752952014389,0.0449561955281175,0.317423852693356,0.185244418465261,0.966953810186605,0.127160407955679,0.324101350126871,0.520581146081081,0.137126469038651,0.101097554055593,0.261593870521917,0.718878398617388,0.0610443809710732
"signeR.7",0.00539213100422375,0.947393463003516,0.0673994141315888,0.0200988612592505,0.277324455899103,0.0491306719270187,0.0355374475702975,0.142027084147109,0.0165733286831141,0.0219223999186172,0.0815464326658288,0.0478472751684248,0.0858320177331002
"signeR.8",0.00380974020823766,0.005612611721454,0.0693308101815334,0.0305398401748976,0.152399693512818,0.844910876221472,0.865408342688804,0.108727128004358,0.0637753618175433,0.0113692118377194,0.0411188362201842,0.0661869328115784,0.033404849001776
"signeR.9",0.0532050405931483,0.0239093495931225,0.661126842837193,0.0672796771004416,0.488957165552863,0.104358432515989,0.155695838654098,0.98040645213011,0.142076175005177,0.0165084926335188,0.246192124605063,0.260401478768726,0.0718244520356588
"signeR.10",0.0313621482303473,0.00545992880056045,0.828340767352015,0.0411012872332036,0.234333361927378,0.0355186564971827,0.0831542658552998,0.141920388337272,0.157069193950909,0.518794397305199,0.0478748380537488,0.0422866489875234,0.0338464981768183
"signeR.11",0.24605114765191,0.213143141272065,0.0564175452680032,0.0201454304394026,0.0965402009593627,0.0345906508401674,0.0434653047156034,0.0578461756239236,0.0721731788855382,0.0374691080099859,0.0259419774010594,0.035920813950563,0.967859305111124
"signeR.12",0.0162998196942177,0.0117966310318168,0.0565879117559709,0.997641226068026,0.210866770934604,0.0270403707431617,0.0515962872842793,0.0514148174677965,0.0887899420273207,0.00778608052677332,0.0317965125259847,0.0503840750594298,0.0254968515350114
