Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID1 1),signeR.2 (ID2 0.999),signeR.3 (False Positive) (ID2 0.998),signeR.4 (False Positive) (ID2 0.996),signeR.5 (False Positive) (ID2 0.995),signeR.6 (ID5 0.967),signeR.7 (False Positive) (ID2 0.947),signeR.8 (False Positive) (ID8 0.865),signeR.9 (ID9 0.98),signeR.10 (False Positive) (ID3 0.828),signeR.11 (ID14 0.968),signeR.12 (ID4 0.998)
DEL,C,1,0,3.69285676705671e-06,0.00424427431608431,0.00238021668992781,0.00213372188854896,0.0101965420474565,0.0264919157217958,0.00786775226447528,0.0303216237495799,0.32734240063711,0.00024339310737311,0.00883739107482191,0.00839526160280213
DEL,C,1,1,0.000456444161073504,5.13300642331153e-05,2.32346947333602e-05,5.72071403082248e-05,0.000126128810397751,0.0249361047679974,3.20513406794125e-05,0.00558406364241413,0.155597303438225,0.15413460647961,0.000299047640411368,0.000453403442440761
DEL,C,1,2,9.48706714964397e-07,1.6544127693261e-06,2.15925825912157e-06,2.07498525560467e-06,4.22228997992032e-06,0.0184420056311583,4.5615433165353e-06,0.00400701014491468,0.00450356590047731,0.222289553781884,0.000209920711099771,0.000216602605901595
DEL,C,1,3,0.00183088236136338,0.00191301083196463,0.00137649447166786,0.0012564505821881,0.00492955041170584,0.0122821566189205,0.00335903274129039,0.000816460335022357,0.0209388238172535,0.0614012454096662,0.000273579103060834,0.000707353290818171
DEL,C,1,4,0.000461047266444763,0.00237309044610406,0.00171697135419709,0.00296151913605382,0.00624672199856212,0.00166290686688036,0.00859809189798489,0.00131336920958211,0.0211613880755265,0.037551696751872,0.00243969653128796,0.0011304726737826
DEL,C,1,5+,0.00298279494827944,0.00551183803476488,0.0165542304505278,0.00646363049381146,0.0304119141680498,0.00121904790424966,0.0202826101315656,0.000582690959118108,0.00492603618150808,0.0252736509016823,0.00496400694063465,0.00197018755640603
DEL,T,1,0,0.000455540001367574,0.00623147816194841,0.00339769998537195,0.00612363772843607,0.0147742819408183,0.104566866537443,0.0197449965557628,0.0108721542938539,0.107179886520885,0.000454751313912313,0.0195167486115472,0.00293021795613301
DEL,T,1,1,9.61544377351177e-07,1.32165706927534e-06,1.53396503580622e-06,1.84076498266159e-06,2.27526797354357e-06,0.143586539463434,4.24044418433958e-06,5.92089911054655e-05,0.0273422635564183,4.7158170705637e-05,0.000102289436828335,0.0063235064440718
DEL,T,1,2,0.000753873615106578,0.00338801428927478,0.000907961611251962,0.00664428780715351,0.00782903787009579,0.104182166098837,0.0192449262980452,0.00955368237915426,0.0680896090152775,9.63873378002137e-05,0.011745046739642,0.000232876541782949
DEL,T,1,3,0.00173239128161579,0.00986108037045394,5.56922664528017e-05,0.0207351422389267,0.0290191757782976,0.0840015584287367,0.0554595186618953,0.0167927545469116,0.0844322809147211,4.66552527385854e-05,0.0206481447752623,0.000177779594580417
DEL,T,1,4,0.00457000065438417,0.0481295276168621,0.00918248718112281,0.0199102861090602,0.0241419130934767,0.0417666346154746,0.197942641411562,0.0120428307788312,0.0595918496996523,7.72160338979305e-05,0.0234969860967143,0.000303873483643191
DEL,T,1,5+,6.05417990203907e-06,0.826064086231669,0.933780816960639,0.823240038637579,0.664995817752026,0.00417465912196407,0.514086973169038,3.37778457918392e-05,6.80449784726949e-05,0.00043473965411386,0.106445733088905,0.00159973169957334
INS,C,1,0,8.75833561218912e-07,1.29008946896206e-06,1.48257188435308e-06,1.76716724781527e-06,2.22205934373887e-06,0.000581727165872283,3.54650498895278e-06,0.00219084198229375,3.87346638996954e-05,0.00241058074269268,0.480680536376271,0.000188640535519493
INS,C,1,1,2.62668875036982e-06,0.000163391933567843,0.000138539613463056,0.000179091734636164,0.000313565075994958,0.000870914681447553,0.00059045974686458,0.00176653384195444,1.28079118105095e-05,0.0411431400843645,0.0162422355108719,8.0978979275106e-05
INS,C,1,2,2.55359964641425e-06,1.7785737601439e-05,1.75479648300923e-05,8.91104882789408e-06,1.82257407966247e-05,0.0025383352861543,1.89663877328298e-05,0.000561659796361792,2.01508081530372e-05,0.0251517232776222,0.000849290987983169,0.000110477184164252
INS,C,1,3,0.000772164777502178,0.000424164187829656,8.77155529777058e-05,0.000263964930509802,0.000963114259661274,0.000219951754833313,0.00116721144227019,6.81824749464486e-05,2.54847307501047e-05,0.0169351980721704,0.00163466115424592,0.000406347456541127
INS,C,1,4,0.00177964367888569,0.00199596656649395,0.000439771440841825,0.00168258856828745,0.00393406170516879,2.48733860639315e-05,0.00829711772915974,0.000458061686755989,7.10382938661577e-05,0.0100585542596015,0.00239549637104196,8.24221114581459e-05
INS,C,1,5+,0.023048828870882,0.00817974983776172,0.00273421776346515,0.00731332476721039,0.0218092972119822,1.86930660550254e-05,0.0341110205510139,2.56941839575362e-05,9.00156879258205e-05,0.00972424202073385,0.00118952784346183,0.000218145081936713
INS,T,1,0,0.00217729748557122,0.00159477068955137,0.00035422393185255,0.000157368983622882,0.00308628188232687,0.010084297347922,0.00273689540609667,0.00503992969428991,0.0182786679774078,0.0102188595876317,0.0297211507443803,0.00169356524544091
INS,T,1,1,5.97352850615398e-06,2.50633454964979e-06,2.20396738210939e-06,5.55387345767475e-06,4.78980636211603e-06,0.0107826768590558,2.02761021438486e-05,0.00227146801371049,0.00430413033287266,0.127736708343964,0.00173214303307391,0.00100750427396072
INS,T,1,2,8.66996474358545e-05,0.000671911858363373,7.90691960062679e-05,0.000269395710051072,0.000620612854945725,0.0241360166201213,0.00231766861662913,2.29369619569588e-05,3.6100360814436e-05,0.0908597815309797,0.00254293519602971,0.000135589389952696
INS,T,1,3,0.00370278285009784,0.00131274426608938,6.57959366291575e-05,0.00101346454034399,0.00252691982801149,0.015375921441695,0.00214137858201093,0.000355105298446737,3.60972549911929e-05,0.0601459811604914,0.00082303149256528,0.000480021668631116
INS,T,1,4,0.0150234571938764,0.00361150618153013,0.000175569336601188,0.00304103232863572,0.0108432232774013,0.010870579686821,0.00643103605686004,0.000898509765753885,3.2707806368554e-05,0.0220890959228207,0.00549247826172632,0.000928967489098859
INS,T,1,5+,0.90113328132808,0.0246279597781886,0.000664508252483056,0.0732932402917014,0.054906528893461,3.01127918321335e-05,0.000162624049766055,0.00110422070102397,0.020257896118743,0.00898515803334944,0.125583946194706,0.00417557318359407
DEL,repeats,2,0,0.000409766667760826,8.87280082917856e-05,0.000115901130746236,0.0001523802074205,0.000632750934573726,0.0289558084147545,9.35768798489039e-05,0.00260293339745909,0.0165369055570485,0.000697949638065362,0.000596284643660659,0.071318258814555
DEL,repeats,2,1,0.00161240070593071,0.00186062071407136,0.00223337380424545,0.000830959497444508,0.00690146361544894,0.0215753859066081,0.00596964295157853,0.00353762305168797,0.00782843820610192,0.00758910024069614,0.00605866208658224,0.2242404966031
DEL,repeats,2,2,0.000520067588361844,0.00139274509806182,0.00161815848276064,0.000943256495315073,0.00317537909245997,0.0032905162779045,0.00207179681430339,0.00106806855607183,0.00310174899812362,0.0128870669721907,0.00369251061837764,0.0503968412189577
DEL,repeats,2,3,0.000404706522024209,0.000414224801684654,0.000530473273112298,0.000403759730831489,0.00154618720012629,1.92701871814512e-05,0.000971447921604068,0.000201458222659721,0.000723685326798406,0.00802231548697851,0.00040400942102087,0.0110853728296877
DEL,repeats,2,4,0.000103515496537539,0.000551954844878519,0.000582054814434182,0.000162035630664054,0.00182817820251196,0.000730908280498736,0.00152129312123861,0.000118389835778844,0.000962559695465898,0.00267315660354794,0.000229014171959591,0.00308309148838799
DEL,repeats,2,5+,8.58971843540115e-07,1.28796616393534e-06,1.53446392765931e-06,1.63610687750572e-06,2.58718248958222e-06,0.0222993818925311,3.69346347479311e-06,1.43568180719524e-05,2.5649264326699e-05,0.00243351043602785,8.39231820558411e-05,0.00087443829299412
DEL,repeats,3,0,8.47869954405898e-05,2.00155621600367e-05,4.11031793345734e-06,3.68127906141858e-05,1.73039715030013e-05,0.017801405505946,1.1403118301946e-05,0.00447497101277237,0.00369520562276825,0.00100579262543771,0.00111549166945811,0.00473510930599891
DEL,repeats,3,1,0.00428373794691352,0.00322106822634259,0.00310405279130581,0.00477583386974622,0.0108924998484309,0.00413832665156791,0.00834974520219438,0.00375417234157247,0.00182571901223382,0.000136135822486964,0.005344359089855,0.10031164183339
DEL,repeats,3,2,0.000597028238338975,0.00228045406024777,0.00139490856823849,0.00063636021653357,0.00330564254803768,0.000719846167821485,0.00528225181443709,0.000539289038886793,0.000404405335403628,9.08279050383019e-05,0.00185984745107866,0.0191285049586635
DEL,repeats,3,3,0.000304279462288363,0.00040563796431257,0.000295083194577231,0.000206987580055764,0.000544557268023421,0.000662932322284626,0.000837651409936409,3.46835539862452e-05,4.78308811929717e-05,6.93114087432097e-05,0.000616737761798499,0.00468742557315519
DEL,repeats,3,4,9.16750303836914e-07,1.45448605504179e-06,1.41657553924715e-06,1.88121823048305e-06,2.21797073892447e-06,0.00593302007843692,4.05399825412618e-06,7.524881015608e-06,1.58214310651976e-05,0.000781514218547047,4.56379092927368e-05,0.000365988286490382
DEL,repeats,3,5+,7.37185572392399e-07,1.15198945759065e-06,1.40683189995466e-06,1.90858831529198e-06,2.66058224300953e-06,0.00848202572623122,3.75863309066907e-06,1.70968814481541e-05,1.41912108122988e-05,0.000645736571920986,3.39693700585094e-05,0.000103635138842886
DEL,repeats,4,0,3.12072567878025e-05,4.00971180083354e-06,8.98062938897288e-06,5.51322906241946e-05,5.0992173051597e-05,0.0111469653293748,3.00072731768508e-05,0.00353213778247706,0.00262307452883697,0.000173560530867334,0.000114197507833581,0.00864377929191877
DEL,repeats,4,1,0.000755340919163004,0.00215086413729461,0.00113263213893939,0.000396454387889048,0.00324421109491208,0.00179098641375842,0.00462106476655094,0.0022215560961732,0.0022419554078431,0.000102648599810344,0.00106927560455643,0.0661251502362384
DEL,repeats,4,2,3.48352877702005e-06,0.000482702179012188,2.86377019422187e-05,0.000294273793980031,0.000915781598774673,6.19451127316791e-05,0.00141852683032108,0.000450804558301208,0.000294580522425144,6.23775598732264e-05,0.000533329811654442,0.0140722976188815
