"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.998103129061035,0.99893381693911,0.998970874040411,0.999002024693682,0.999022796434506
"falseNeg",0,0,0,0,0
"falsePos",0,0,0,0,1
"truePos",11,11,11,11,11
"TPR",1,1,1,1,1
"PPV",0.916666666666667,1,1,1,1
