"","mean","stdev"
"averCosSim",0.998806528233749,0.000394643242486103
"falseNeg",0,0
"falsePos",0.2,0.447213595499958
"truePos",11,0
"TPR",1,0
"PPV",0.983333333333333,0.0372677996249965
