"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.916685928272154
"SBS96B","SBS2",0.998459660850604
"SBS96C","SBS7b",0.978299203989535
"SBS96E","SBS4",0.992159079561871
"SBS96F","SBS40",0.93546818265819
"SBS96G","SBS3",0.918753797000711
"SBS96H","SBS44",0.993742588890072
"SBS96I","SBS1",0.999641479058321
"SBS96J","SBS17b",0.999361698025292
"SBS96K","SBS7c",0.986065998973053
"SBS96L","SBS18",0.990351988074384
"SBS96M","SBS35",0.965258219334097
"SBS96N","SBS17a",0.999652217932389
"SBS96O","SBS7d",0.967353670630683
"SBS96P","SBS13",0.998426159441435
"SBS96Q","SBS28",0.968053840644098
