Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID8 0.976),hdp.2 (ID2 0.999),hdp.3 (ID9 0.998),hdp.4 (ID6 0.995),hdp.5 (ID11 0.999),hdp.6 (ID1 1),hdp.7 (ID14 0.918),hdp.8 (ID4 0.998),hdp.9 (False Positive) (ID5 0.921),hdp.10 (False Positive) (ID8 0.969),hdp.11 (ID13 0.999),hdp.12 (ID12 0.993),hdp.13 (ID10 0.987),hdp.14 (ID5 0.96),hdp.15 (ID3 0.967),hdp.16 (False Positive) (ID3 0.963),hdp.17 (False Positive) (ID1 0.782)
DEL,C,1,0,0.0403676071077887,0.00388061375861236,0.324091792137707,0.031983324837038,0.00299837794307487,0.000361377099239751,0.0128485904764055,0.00844184978746698,0.0183869540196387,0.0383579221574285,0.0510244062150194,0.0478362092322071,0.010788727911804,0.0202266666493766,0.103769484708134,0.106992387460838,0.00299499835217948
DEL,C,1,1,0.0233625641023165,0.000230707398775649,0.0952419719609225,0.00566079389858524,0.00123262830516513,0.000627720787635952,0.00084840396913496,0.00237963502247643,0.0218041590556747,0.0218786746507055,0.0144821268339858,0.011286722394975,0.0232998144252213,0.0293590601924371,0.16340819914248,0.307538838931228,0.000477292029157699
DEL,C,1,2,0.00272924745646209,1.91442221098288e-05,0.00268804518891873,0.00778277535672981,0.000203911443352,1.33706548522258e-05,0.00036430789186635,0.001464705486087,0.0306236881050339,0.00303383138507487,0.00622953694492694,0.00192972006591948,0.0167658894991509,0.0258182575883891,0.243277147753171,0.146408978039356,2.89759331748204e-05
DEL,C,1,3,0.00594352518573884,0.00232413541506559,0.00929480568253171,0.000952452977825834,0.000468691414744667,0.0015791311599034,0.00104475007228432,0.00123433775497167,0.013214474203233,0.0058027174043097,0.00560599188135865,0.00564592452567554,0.00727010061912863,0.0132344692930781,0.0629147174411604,0.0543456915902707,0.00319334898569761
DEL,C,1,4,0.00136134282935144,0.0033004193044064,0.011343460678727,0.0031196677018515,0.000261693433427968,0.000769447139333503,0.00289652361035978,0.00165386247234933,0.0020819182882154,0.000722092246750438,0.00328286587018272,0.00304717580267904,0.00411692849169594,0.00234174349542522,0.0420990157000812,0.0380918772397301,0.00251374874095332
DEL,C,1,5+,0.0003268770970451,0.0137543248322583,0.000990954471776813,0.00175204242071768,0.000703355772797566,0.00322823165587723,0.00580991834693835,0.00231424331595423,0.00150223246564359,0.000885176701696063,0.00133953459411187,0.0341194517149753,0.00580457470301405,0.00228045048862756,0.0211524992194724,0.0220141720759184,0.0109663508874139
DEL,T,1,0,0.0344177896333829,0.00685829963613168,0.0982635013681117,0.00371165018661931,0.000733583851083415,0.00117467913339904,0.0250016057867772,0.00427655995363996,0.091691314518437,0.0383936651109373,0.0476728785576569,0.0232502411082029,0.0322033475225104,0.0469638330565671,0.04462023385905,0.0295002091380524,0.00662832034934787
DEL,T,1,1,0.00820251296491268,3.11027405724375e-05,0.045099693506063,0.000238810261203017,0.00108363724381657,1.32274576827933e-05,0.000781955970123883,0.000790543379137389,0.071361909912199,0.0107928429073336,0.53645140435445,0.00405976811356445,0.00123697017776644,0.142149394275454,0.0110081589354948,0.0131014276782593,2.62448744746821e-05
DEL,T,1,2,0.00992930638013329,0.00668703749191993,0.0793919946208129,0.0120772563822919,0.000720362971866206,0.000683763437291998,0.0117136643939442,0.000872199859051935,0.216501806583105,0.00737362888649494,0.0212208414087765,0.0211039586487004,0.0029257864696563,0.121168890613042,0.0148050849229357,0.0179070437054146,0.00605295006044389
DEL,T,1,3,0.00717898106675045,0.0172557430726411,0.118297905577252,0.0225004784207713,0.00164242557647813,0.00244456229554562,0.0242936722815943,0.00120976874485753,0.0782097651574635,0.0107802164776606,0.0594415462713191,0.0169345111593328,0.00740348980430793,0.0824180901227051,0.0193517422993768,0.01461003908042,0.0143363928295525
DEL,T,1,4,0.0024518514801123,0.0428399753281809,0.0887546365895905,0.0181873355920752,0.00127885139800488,0.00393354779054297,0.0194319176066499,0.001327258726888,0.0493558180081064,0.000566913317626387,0.017257045043264,0.0391327779144886,0.0110865134173139,0.0589513016930093,0.0130221412985361,0.0158755032403271,0.0371803087963917
DEL,T,1,5+,0.0086813070967879,0.793023265581575,0.0020600366956511,0.00272616293635041,0.00642832137258218,0.000581036225339737,0.070987161168625,0.00604068361984539,0.0257000003852502,0.00930001792208369,0.00852548556197985,0.00582225043436761,0.00300067162624818,0.0319601589739855,0.00731214952340718,0.00722187999658955,0.357042830463131
INS,C,1,0,0.00336075592089859,1.73077661382818e-05,6.80526361051025e-05,0.00235744347816779,0.000290172056996985,1.09538217745163e-05,0.57666649572293,0.00017312504193695,0.000385434234247197,0.00263834905148511,0.00203344372189945,0.00137705097325687,0.000455551369267288,0.000301137247399784,0.00242799035375116,0.00175052316742941,1.1425746577824e-05
INS,C,1,1,0.0021920297424844,0.000196004416214726,0.000269474355024587,0.00156314207966315,0.166272849831118,2.0944109403649e-05,0.0134326535577059,7.75542534965715e-05,0.000913060821101891,0.00183990178784894,0.00161456549314607,0.00250219669458053,0.00211628572743519,0.00180705382905505,0.00191245538150932,0.000751055859446337,5.36154248407385e-05
INS,C,1,2,0.00167068686267486,3.97775624420588e-05,0.000667672634121811,0.000220990319857032,0.0939777708035627,1.89492509635225e-05,0.00116045601920642,0.000103176537961272,0.00264592104342522,0.00101666797160257,0.00168822587417608,0.00389439460713034,0.00118490159232365,0.00290328964246892,0.000965844522714429,0.00272263540347664,4.24840438713127e-05
INS,C,1,3,0.000171602428107729,0.000536670078172056,0.000151194614351201,0.000183189765275617,0.0381365508138182,0.000897044957542736,0.00160089128023017,0.000393492210271168,0.000501199253056223,0.000104402101864959,0.000181120309059515,0.00129028619792249,0.00258353790241996,0.000548079515930875,0.00653129328858289,0.00619097517098162,0.000695002652642973
