Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.96),ID83D (ID8 0.992),ID83E (ID3 0.992),ID83F (ID6 0.999),ID83G (ID9 0.995),ID83H (ID14 1),ID83I (ID4 0.996)
DEL,C,1,0,0.00373391,4.19e-05,0.00942554,0.04526872,0.10040259,0.03098017,0.31854473,0.00720246,0.01351627
DEL,C,1,1,2.35e-06,0.00044219,0.00928846,0.02328456,0.21485033,0.00319607,0.09645238,0.00013306,0.0035445
DEL,C,1,2,0,0,0.01158615,0.00055801,0.19013426,0.0058097,0.0015154,5.51e-06,0.00127469
DEL,C,1,3,0.00262797,0.00197239,0.00873008,0.00494939,0.06833585,0.00039274,0.01085835,0.0001893,0.00092141
DEL,C,1,4,0.0038609,0.00065095,0.00042831,0.00069744,0.04320696,0.00183384,0.01273575,0.0017091,0.0012462
DEL,C,1,5+,0.01488245,0.00351229,0.00047407,0.00082107,0.02345813,0.00082191,0.00033755,0.00242919,0.00219075
DEL,T,1,0,0.00771364,0.00139948,0.10717029,0.03939906,0.0350631,0.00424545,0.10546679,0.01766898,0.00573126
DEL,T,1,1,0,0,0.18072022,0.05044896,0.00535636,0.00011,0.01875378,3.72e-06,0.02943267
DEL,T,1,2,0.0068524,0.00110176,0.11956978,0.01056028,0.01509545,0.01201916,0.08854743,0.01073774,0.00069098
DEL,T,1,3,0.02001431,0.00230408,0.09758422,0.01375845,0.01302508,0.02252037,0.11153647,0.01665959,0.00212828
DEL,T,1,4,0.04683781,0.00429236,0.05217425,0.00328126,0.01053007,0.01760908,0.09144999,0.01359254,0.00086967
DEL,T,1,5+,0.81579652,0.00034497,0.01079529,0.00191264,0.00661585,0.00123992,0.02641857,0.04312493,0.00167605
INS,C,1,0,0,1e-08,9.3e-07,2.4e-07,1.9e-07,9e-08,2.5e-07,0.46098324,1e-07
INS,C,1,1,0.00015982,0,0.00541483,0.00175973,0.00671302,0.00155091,0.0016914,0.01198571,4.592e-05
INS,C,1,2,1.114e-05,0,0.00563338,0.00122679,0.00466472,1.934e-05,0.001282,0.00043279,2.64e-06
INS,C,1,3,0.0005264,0.00052193,0.00042622,5.977e-05,0.00857794,0,0.00036773,0.00158661,0.00020371
INS,C,1,4,0.00304523,0.00146081,9.69e-06,3.445e-05,0.00787505,4.507e-05,0.00016638,0.00175033,0
INS,C,1,5+,0.00910878,0.02447142,1.424e-05,0.00191047,0.00688967,3.519e-05,0.00048136,0.00254192,0.00045018
INS,T,1,0,0.00136398,0.00215094,0.01186207,0.00679324,0.01512841,0.00570183,0.01206541,0.03237189,0.00373007
INS,T,1,1,1e-08,0,0.01540228,0.00508047,0.05997599,0.00022372,0.00989203,0.00252157,0.00027678
INS,T,1,2,0.00069568,3.249e-05,0.03042593,0.00030927,0.05169025,8.39e-06,0.00542799,0.00174276,1.282e-05
INS,T,1,3,0.0011535,0.00408157,0.02104223,0.00137851,0.03141376,0.00053648,0.00347227,0.00093004,0.00011806
INS,T,1,4,0.00348875,0.0164295,0.01446198,0.00225488,0.00787616,0.00093751,0.00230939,0.00504405,0.00056119
INS,T,1,5+,0.00203532,0.90019897,0.00042554,0.02124141,0.00806205,0.00816281,0.02093018,0.24273713,0.00717746
DEL,repeats,2,0,0.00010272,0.00045269,0.02927375,0.01024459,0.00697365,0.00142059,0.01258303,0.00021868,0.06984251
DEL,repeats,2,1,0.0035258,0.00052424,0.01642579,0.00951487,0.01027244,0.00107929,0.00272635,0.00576106,0.22443325
DEL,repeats,2,2,0.00189347,0.00018269,0.00233128,0.00024582,0.01242758,0.00174471,0.00032272,0.00244118,0.05220769
DEL,repeats,2,3,0.00081005,0.00018488,0,1.527e-05,0.00612281,3.239e-05,2.022e-05,0.00041095,0.01065779
DEL,repeats,2,4,0.0008785,0,0.00013918,0,0.00369063,7.2e-07,5.766e-05,4.959e-05,0.0032198
DEL,repeats,2,5+,0,1e-08,0.0237379,0.00011249,0.00037202,0,0.00225336,0,0.00105926
DEL,repeats,3,0,1.302e-05,5.401e-05,0.01830514,0.01154402,0.00078905,0.0013782,0.00321833,0.00116668,0.00407998
DEL,repeats,3,1,0.00492046,0.00450377,0.0026628,0.00115279,0.00016166,0.00503846,0.0031798,0.00459233,0.09345471
DEL,repeats,3,2,0.00267149,0.000202,0.00010939,1.966e-05,0,0.00033802,0.00039588,0.0011324,0.02118872
DEL,repeats,3,3,0.00057417,8.276e-05,5.88e-05,5.89e-06,0,0,2.028e-05,0.00046982,0.00391966
DEL,repeats,3,4,0,5e-08,0.00628837,3.477e-05,6.143e-05,1e-08,0.00077097,1.14e-06,8.562e-05
DEL,repeats,3,5+,0,2e-08,0.00918344,4.726e-05,0.00012815,0,0.0009447,1e-08,0.00039656
DEL,repeats,4,0,1.292e-05,2.184e-05,0.01133768,0.00705368,0.00026338,0.00245532,0.00181237,1.242e-05,0.00680322
DEL,repeats,4,1,0.00209431,0.00057508,0.00044467,0.00139159,0.00059907,0.00257641,0.00367015,0.00037598,0.06158143
DEL,repeats,4,2,0.00045322,0,0,0,0,0.00010616,7.69e-06,0.00050295,0.01057979
DEL,repeats,4,3,1.33e-06,0,0.00409225,9.26e-06,3.985e-05,1.01e-06,0.00048677,2.97e-06,0.00382017
DEL,repeats,4,4,0,3e-08,0.00496344,2.939e-05,6.437e-05,1e-08,0.00059241,1.97e-06,0.00012364
DEL,repeats,4,5+,0.00016336,0,0.00120804,9.8e-07,0,0,0.0001564,0,0.00023841
DEL,repeats,5+,0,0,0,0.01681218,0.24433262,0.00130971,0.02691422,0.00094635,0.00356776,0.00286592
DEL,repeats,5+,1,0.00303196,1.9e-07,8.672e-05,4.799e-05,0,0.00756555,4.462e-05,0.00039508,0.01226547
DEL,repeats,5+,2,0.00040962,4e-08,5.88e-06,0,0,8.266e-05,7.84e-06,1.741e-05,0.00243355
DEL,repeats,5+,3,8.823e-05,0,0,0,0,8.66e-06,1.01e-06,8.37e-06,0.00057456
DEL,repeats,5+,4,4.555e-05,1e-08,0,2e-08,0,0,5.1e-07,0,4.247e-05
DEL,repeats,5+,5+,2.158e-05,5e-08,9.33e-05,0,0,0,1.273e-05,4.248e-05,6.448e-05
INS,repeats,2,0,0.00036427,0.00034996,0.00824078,0.00201248,0.00247512,0.00205558,0.00092989,0.02418264,0.00109973
INS,repeats,2,1,0.00021782,2.65e-06,0.01959665,0.00148188,0.00314726,2.046e-05,0.00302703,4.99e-06,0.00017185
INS,repeats,2,2,0.00112046,9.993e-05,0.00764064,0.00011812,0.00138966,0.00054454,0.00092327,0.00125705,6.095e-05
INS,repeats,2,3,0.00047425,0.0003256,0.0012606,0.0001063,0.00096709,0.00013112,0.00017973,0.00102092,0.0001218
INS,repeats,2,4,0.0020026,0.00268231,0,0,2.63e-05,0,0.00016052,0.00312497,2.052e-05
INS,repeats,2,5+,0.01393588,0.01814307,0.00078433,0.00159369,0,0.00053262,0.00048816,0.00071878,0.00030298
INS,repeats,3,0,4.11e-05,0,0.00424947,4.198e-05,0.00010236,0.00118429,0.00053082,0.00672611,3.185e-05
INS,repeats,3,1,0.00130796,0.00016348,0.00729862,0.00042347,0.00042186,7.8e-06,0.00075043,0.00276869,0.00046673
INS,repeats,3,2,0.00018658,9e-08,0.00078927,1.25e-06,4.46e-06,0.00048258,0.00010376,0.00014945,0.00041395
INS,repeats,3,3,3.062e-05,1.455e-05,0,4e-08,0,1.104e-05,1.19e-06,0.00019847,0
INS,repeats,3,4,0.00010693,1.13e-06,0,0,0,0,1.07e-06,0.00057314,0
INS,repeats,3,5+,0.00220987,0.00046696,0,1.026e-05,0,0,3.715e-05,0.00245394,0
INS,repeats,4,0,5.78e-06,5e-08,0.00301953,0.00012741,2e-07,0.00154983,0.00030256,0.0060855,7.306e-05
INS,repeats,4,1,0.00130445,0.00065219,0.00421504,0.0011002,0.00030591,0.00041357,0.00041673,0.00140021,0.00125054
INS,repeats,4,2,2.24e-05,1.176e-05,5.35e-06,4.4e-07,0,0.00015405,1.89e-06,3.266e-05,7.446e-05
INS,repeats,4,3,0.00012371,4.41e-06,0,0,0,3.815e-05,2.14e-06,0.00094746,0
INS,repeats,4,4,0.00031723,3.676e-05,0,6.7e-07,0,0,7.34e-06,0.00170476,4.492e-05
INS,repeats,4,5+,0.0025561,0.00068115,0.00043639,0.00022989,0,1.108e-05,0.00012493,0.0003838,8.849e-05
