Signature,NumberOfPostSamples
low confidence hdp.1,3583
low confidence hdp.2,3200
low confidence hdp.3,2474
low confidence hdp.4,2200
low confidence hdp.5,1648
low confidence hdp.6,1512
low confidence hdp.7,1399
low confidence hdp.8,1280
low confidence hdp.9,1198
low confidence hdp.10,1035
low confidence hdp.11,800
low confidence hdp.12,793
low confidence hdp.13,597
low confidence hdp.14,400
low confidence hdp.15,383
low confidence hdp.16,200
low confidence hdp.17,59
low confidence hdp.18,38
low confidence hdp.19,2
low confidence hdp.20,2
