Approach,Noise_level,Run,PPV,TPR,aver_Sim_TP_only,Composite,N_sigs,FN,FP
mSigHdp,Noiseless,seed.145879,1,0.956521739130435,0.999479215859216,2.956000954989651,22,1,0
mSigHdp,Noiseless,seed.200437,1,0.956521739130435,0.999456427150412,2.955978166280847,22,1,0
mSigHdp,Noiseless,seed.310111,1,0.956521739130435,0.99948580176267,2.956007540893105,22,1,0
mSigHdp,Noiseless,seed.528401,1,0.956521739130435,0.999505657341688,2.956027396472123,22,1,0
mSigHdp,Noiseless,seed.1076753,1,0.956521739130435,0.999450307082449,2.9559720462128842,22,1,0
mSigHdp,Moderate,seed.145879,0.88,0.956521739130435,0.996677845518691,2.833199584649126,25,1,3
mSigHdp,Moderate,seed.200437,0.846153846153846,0.956521739130435,0.99689886553028,2.799574450814561,26,1,4
mSigHdp,Moderate,seed.310111,0.88,0.956521739130435,0.996850836412267,2.833372575542702,25,1,3
mSigHdp,Moderate,seed.528401,0.916666666666667,0.956521739130435,0.996922055558353,2.870110461355455,24,1,2
mSigHdp,Moderate,seed.1076753,0.916666666666667,0.956521739130435,0.996829696462298,2.8700181022594,24,1,2
mSigHdp,Realistic,seed.145879,0.8,0.869565217391304,0.988867848582342,2.658433065973646,25,3,5
mSigHdp,Realistic,seed.200437,0.740740740740741,0.869565217391304,0.987666403067243,2.597972361199288,27,3,7
mSigHdp,Realistic,seed.310111,0.769230769230769,0.869565217391304,0.988858908309509,2.627654894931582,26,3,6
mSigHdp,Realistic,seed.528401,0.8,0.869565217391304,0.988542522774846,2.65810774016615,25,3,5
mSigHdp,Realistic,seed.1076753,0.769230769230769,0.869565217391304,0.988321177158316,2.627117163780389,26,3,6
signeR,Noiseless,seed.145879,0.75,0.782608695652174,0.988280387888535,2.520889083540709,24,5,6
signeR,Noiseless,seed.200437,0.653846153846154,0.739130434782609,0.988770397228349,2.381746985857112,26,6,9
signeR,Noiseless,seed.310111,0.833333333333333,0.652173913043478,0.98384810055856,2.4693553469353713,18,8,3
signeR,Noiseless,seed.528401,0.739130434782609,0.739130434782609,0.992136668038395,2.470397537603613,23,6,6
signeR,Noiseless,seed.1076753,0.708333333333333,0.739130434782609,0.990958652570315,2.438422420686257,24,6,7
signeR,Moderate,seed.145879,0.68,0.739130434782609,0.990167901755001,2.40929833653761,25,6,8
signeR,Moderate,seed.200437,0.6,0.782608695652174,0.989537436492394,2.372146132144568,30,5,12
signeR,Moderate,seed.310111,0.633333333333333,0.826086956521739,0.987070755663116,2.4464910455181883,30,4,11
signeR,Moderate,seed.528401,0.625,0.652173913043478,0.984028335249623,2.261202248293101,24,8,9
signeR,Moderate,seed.1076753,0.586206896551724,0.739130434782609,0.986570485588735,2.311907816923068,29,6,12
signeR,Realistic,seed.145879,0.5,0.608695652173913,0.980215590638122,2.088911242812035,28,9,14
signeR,Realistic,seed.200437,0.580645161290323,0.782608695652174,0.978711925453491,2.3419657823959876,31,5,13
signeR,Realistic,seed.310111,0.516129032258065,0.695652173913043,0.982419340613673,2.194200546784781,31,7,15
signeR,Realistic,seed.528401,0.592592592592593,0.695652173913043,0.982826882548284,2.27107164905392,27,7,11
signeR,Realistic,seed.1076753,0.612903225806452,0.826086956521739,0.977969351111328,2.416959533439519,31,4,12
SigProfilerExtractor,Noiseless,seed.145879,0.954545454545455,0.91304347826087,0.983241914992667,2.850830847798992,22,2,1
SigProfilerExtractor,Noiseless,seed.200437,0.954545454545455,0.91304347826087,0.983856899125491,2.851445831931816,22,2,1
SigProfilerExtractor,Noiseless,seed.310111,0.954545454545455,0.91304347826087,0.984092011145643,2.851680943951968,22,2,1
SigProfilerExtractor,Noiseless,seed.528401,0.904761904761905,0.826086956521739,0.988896378606927,2.719745239890571,21,4,2
SigProfilerExtractor,Noiseless,seed.1076753,0.904761904761905,0.826086956521739,0.988577299366958,2.719426160650602,21,4,2
SigProfilerExtractor,Moderate,seed.145879,1,0.782608695652174,0.976405846677839,2.759014542330013,18,5,0
SigProfilerExtractor,Moderate,seed.200437,0.9,0.782608695652174,0.979820908884301,2.662429604536475,20,5,2
SigProfilerExtractor,Moderate,seed.310111,1,0.782608695652174,0.976783453408035,2.7593921490602087,18,5,0
SigProfilerExtractor,Moderate,seed.528401,0.904761904761905,0.826086956521739,0.978781800166382,2.709630661450026,21,4,2
SigProfilerExtractor,Moderate,seed.1076753,0.904761904761905,0.826086956521739,0.977702914646199,2.708551775929843,21,4,2
SigProfilerExtractor,Realistic,seed.145879,0.9375,0.652173913043478,0.974234572746486,2.563908485789964,16,8,1
SigProfilerExtractor,Realistic,seed.200437,0.9375,0.652173913043478,0.972979174284524,2.562653087328002,16,8,1
SigProfilerExtractor,Realistic,seed.310111,0.944444444444444,0.739130434782609,0.975789489367511,2.659364368594564,18,6,1
SigProfilerExtractor,Realistic,seed.528401,0.941176470588235,0.695652173913043,0.975665627350435,2.612494271851713,17,7,1
SigProfilerExtractor,Realistic,seed.1076753,0.941176470588235,0.695652173913043,0.975715399448146,2.6125440439494243,17,7,1
SignatureAnalyzer,Noiseless,seed.145879,0.954545454545455,0.91304347826087,0.977064304606761,2.844653237413086,22,2,1
SignatureAnalyzer,Noiseless,seed.200437,0.954545454545455,0.91304347826087,0.977046648900166,2.8446355817064912,22,2,1
