prog,noise,seed,ex.sig,gt.sig,sim
mSigHdp,Noiseless,145879,hdp.1,SBS5,0.999
mSigHdp,Noiseless,145879,hdp.2,SBS40,1
mSigHdp,Noiseless,145879,hdp.3,SBS7d,1
mSigHdp,Noiseless,145879,hdp.4,SBS13,1
mSigHdp,Noiseless,145879,hdp.5,SBS16,1
mSigHdp,Noiseless,145879,hdp.6,SBS12,1
mSigHdp,Noiseless,145879,hdp.7,SBS17b,1
mSigHdp,Noiseless,145879,hdp.8,SBS3,1
mSigHdp,Noiseless,145879,hdp.9,SBS7a,1
mSigHdp,Noiseless,145879,hdp.10,SBS44,0.999
mSigHdp,Noiseless,145879,hdp.11,SBS22,0.999
mSigHdp,Noiseless,145879,hdp.12,SBS2,1
mSigHdp,Noiseless,145879,hdp.13,SBS29,0.999
mSigHdp,Noiseless,145879,hdp.14,SBS17a,0.999
mSigHdp,Noiseless,145879,hdp.15,SBS7b,1
mSigHdp,Noiseless,145879,hdp.16,SBS18,0.999
mSigHdp,Noiseless,145879,hdp.17,SBS7c,1
mSigHdp,Noiseless,145879,hdp.18,SBS28,0.999
mSigHdp,Noiseless,145879,hdp.19,SBS41,0.999
mSigHdp,Noiseless,145879,hdp.20,SBS4,1
mSigHdp,Noiseless,145879,hdp.21,SBS1,1
mSigHdp,Noiseless,145879,hdp.22,SBS35,0.998
signeR,Noiseless,145879,signeR.10,SBS1,1
signeR,Noiseless,145879,signeR.20,SBS2,1
signeR,Noiseless,145879,signeR.13,SBS3,0.985
signeR,Noiseless,145879,signeR.3,SBS4,1
signeR,Noiseless,145879,signeR.1,SBS5,1
signeR,Noiseless,145879,signeR.5,SBS7a,1
signeR,Noiseless,145879,signeR.12,SBS7b,0.999
signeR,Noiseless,145879,signeR.16,SBS7c,0.997
signeR,Noiseless,145879,signeR.22,SBS7d,0.955
signeR,Noiseless,145879,signeR.19,SBS12,0.937
signeR,Noiseless,145879,signeR.21,SBS13,1
signeR,Noiseless,145879,signeR.17,SBS17a,0.998
signeR,Noiseless,145879,signeR.8,SBS17b,1
signeR,Noiseless,145879,signeR.15,SBS18,0.998
signeR,Noiseless,145879,signeR.23,SBS28,0.976
signeR,Noiseless,145879,signeR.24,SBS38,0.986
signeR,Noiseless,145879,signeR.2,SBS40,0.999
signeR,Noiseless,145879,signeR.7,SBS44,0.96
SigProfilerExtractor,Noiseless,145879,SBS96A,SBS7a,0.987
SigProfilerExtractor,Noiseless,145879,SBS96B,SBS7b,0.999
SigProfilerExtractor,Noiseless,145879,SBS96C,SBS4,0.983
SigProfilerExtractor,Noiseless,145879,SBS96D,SBS2,1
SigProfilerExtractor,Noiseless,145879,SBS96F,SBS40,0.936
SigProfilerExtractor,Noiseless,145879,SBS96G,SBS3,0.944
SigProfilerExtractor,Noiseless,145879,SBS96H,SBS17b,1
SigProfilerExtractor,Noiseless,145879,SBS96I,SBS1,1
SigProfilerExtractor,Noiseless,145879,SBS96J,SBS44,0.999
SigProfilerExtractor,Noiseless,145879,SBS96K,SBS7c,1
SigProfilerExtractor,Noiseless,145879,SBS96L,SBS12,0.995
SigProfilerExtractor,Noiseless,145879,SBS96M,SBS18,0.995
SigProfilerExtractor,Noiseless,145879,SBS96N,SBS16,0.981
SigProfilerExtractor,Noiseless,145879,SBS96O,SBS17a,1
SigProfilerExtractor,Noiseless,145879,SBS96P,SBS29,0.916
SigProfilerExtractor,Noiseless,145879,SBS96Q,SBS7d,0.999
SigProfilerExtractor,Noiseless,145879,SBS96R,SBS13,1
SigProfilerExtractor,Noiseless,145879,SBS96S,SBS22,0.999
SigProfilerExtractor,Noiseless,145879,SBS96T,SBS35,0.943
SigProfilerExtractor,Noiseless,145879,SBS96U,SBS41,0.985
SigProfilerExtractor,Noiseless,145879,SBS96V,SBS28,0.989
SignatureAnalyzer,Noiseless,145879,W.1,SBS7c,0.999
SignatureAnalyzer,Noiseless,145879,W.2,SBS18,0.99
SignatureAnalyzer,Noiseless,145879,W.3,SBS7d,1
SignatureAnalyzer,Noiseless,145879,W.4,SBS22,0.998
SignatureAnalyzer,Noiseless,145879,W.5,SBS41,0.921
SignatureAnalyzer,Noiseless,145879,W.6,SBS1,1
SignatureAnalyzer,Noiseless,145879,W.7,SBS13,1
SignatureAnalyzer,Noiseless,145879,W.8,SBS35,0.93
SignatureAnalyzer,Noiseless,145879,W.9,SBS7b,1
SignatureAnalyzer,Noiseless,145879,W.10,SBS16,0.975
SignatureAnalyzer,Noiseless,145879,W.11,SBS17b,1
SignatureAnalyzer,Noiseless,145879,W.12,SBS2,1
SignatureAnalyzer,Noiseless,145879,W.13,SBS17a,1
SignatureAnalyzer,Noiseless,145879,W.14,SBS40,0.926
SignatureAnalyzer,Noiseless,145879,W.16,SBS5,0.939
SignatureAnalyzer,Noiseless,145879,W.17,SBS3,0.913
SignatureAnalyzer,Noiseless,145879,W.18,SBS28,0.979
SignatureAnalyzer,Noiseless,145879,W.19,SBS7a,1
