Approach,Noise_level,Run,CPU_time
mSigHdp,Noiseless,seed.145879,6558289.12
mSigHdp,Noiseless,seed.200437,6415796.623
mSigHdp,Noiseless,seed.310111,4521641.276
mSigHdp,Noiseless,seed.528401,5001828.582
mSigHdp,Noiseless,seed.1076753,6825712.496
mSigHdp,Moderate,seed.145879,12280424.61
mSigHdp,Moderate,seed.200437,12038797.09
mSigHdp,Moderate,seed.310111,8825779.456
mSigHdp,Moderate,seed.528401,9060065.306
mSigHdp,Moderate,seed.1076753,9021055.564
mSigHdp,Realistic,seed.145879,17777271.4
mSigHdp,Realistic,seed.200437,17756133.68
mSigHdp,Realistic,seed.310111,17459401.5
mSigHdp,Realistic,seed.528401,18103805.22
mSigHdp,Realistic,seed.1076753,17875397.18
signeR,Noiseless,seed.145879,3193658.433
signeR,Noiseless,seed.200437,3653572.386
signeR,Noiseless,seed.310111,3034905.497
signeR,Noiseless,seed.528401,3444822.743
signeR,Noiseless,seed.1076753,3211545.692
signeR,Moderate,seed.145879,4267672.531
signeR,Moderate,seed.200437,4084314.992
signeR,Moderate,seed.310111,4306211.548
signeR,Moderate,seed.528401,3823645.053
signeR,Moderate,seed.1076753,4138385.447
signeR,Realistic,seed.145879,4072954.083
signeR,Realistic,seed.200437,4106450.776
signeR,Realistic,seed.310111,4023129.604
signeR,Realistic,seed.528401,3519467.009
signeR,Realistic,seed.1076753,4007599.722
SignatureAnalyzer,Noiseless,seed.145879,2953163.058
SignatureAnalyzer,Noiseless,seed.200437,2782454.993
SignatureAnalyzer,Noiseless,seed.310111,2803906.806
SignatureAnalyzer,Noiseless,seed.528401,2729284.39
SignatureAnalyzer,Noiseless,seed.1076753,2932796.351
SignatureAnalyzer,Moderate,seed.145879,3329984.929
SignatureAnalyzer,Moderate,seed.200437,3135480.673
SignatureAnalyzer,Moderate,seed.310111,3068528.608
SignatureAnalyzer,Moderate,seed.528401,3389296.796
SignatureAnalyzer,Moderate,seed.1076753,3267629.117
SignatureAnalyzer,Realistic,seed.145879,4245677.486
SignatureAnalyzer,Realistic,seed.200437,4232091.226
SignatureAnalyzer,Realistic,seed.310111,4122607.682
SignatureAnalyzer,Realistic,seed.528401,4233571.47
SignatureAnalyzer,Realistic,seed.1076753,4016281.778
NR_hdp_gb_20,Realistic,seed.145879,14125877.71
NR_hdp_gb_20,Realistic,seed.200437,14113375.15
NR_hdp_gb_20,Realistic,seed.310111,14020604.48
NR_hdp_gb_20,Realistic,seed.528401,14494105.14
NR_hdp_gb_20,Realistic,seed.1076753,14086166.97
mSigHdp_ds_3k,Realistic,seed.145879,1378118.505
mSigHdp_ds_3k,Realistic,seed.200437,1459552.914
mSigHdp_ds_3k,Realistic,seed.310111,1414006.838
mSigHdp_ds_3k,Realistic,seed.528401,1616929.555
mSigHdp_ds_3k,Realistic,seed.1076753,1694469.415
SigProfilerExtractor,Noiseless,seed.145879,986251.59
SigProfilerExtractor,Noiseless,seed.200437,937621.67
SigProfilerExtractor,Noiseless,seed.310111,963624.09
SigProfilerExtractor,Noiseless,seed.528401,993836.06
SigProfilerExtractor,Noiseless,seed.1076753,942478.37
SigProfilerExtractor,Moderate,seed.145879,672820.02
SigProfilerExtractor,Moderate,seed.200437,680567.67
SigProfilerExtractor,Moderate,seed.310111,671289.88
SigProfilerExtractor,Moderate,seed.528401,673874.87
SigProfilerExtractor,Moderate,seed.1076753,674398.06
SigProfilerExtractor,Realistic,seed.145879,647702.69
SigProfilerExtractor,Realistic,seed.200437,650540.22
SigProfilerExtractor,Realistic,seed.310111,672238.73
SigProfilerExtractor,Realistic,seed.528401,674590.03
SigProfilerExtractor,Realistic,seed.1076753,673146.93
