Signature,NumberOfPostSamples
low confidence hdp.1,3200
low confidence hdp.2,3000
low confidence hdp.3,2820
low confidence hdp.4,2778
low confidence hdp.5,2396
low confidence hdp.6,1197
low confidence hdp.7,1000
low confidence hdp.8,998
low confidence hdp.9,881
low confidence hdp.10,853
low confidence hdp.11,797
low confidence hdp.12,600
low confidence hdp.13,397
low confidence hdp.14,391
low confidence hdp.15,200
low confidence hdp.16,200
low confidence hdp.17,25
low confidence hdp.18,11
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
