"ex.sig","gt.sig","sim"
"W.1","SBS7b",0.999631258495955
"W.2","SBS7d",0.999615758524973
"W.3","SBS17a",0.999804519894028
"W.4","SBS4",0.99899052667134
"W.7","SBS28",0.977028130297353
"W.8","SBS5",0.909941492726576
"W.9","SBS36",0.990986748949811
"W.10","SBS7a",0.999998309033755
"W.11","SBS17b",0.999994374039698
"W.12","SBS44",0.99800433064568
"W.14","SBS13",0.99998358700514
"W.15","SBS40",0.919800212284646
"W.16","SBS1",0.999977404983528
"W.17","SBS38",0.979193297862131
"W.18","SBS7c",0.999205269011853
"W.19","SBS22",0.999077586264224
"W.20","SBS2",0.999636192340286
"W.21","SBS34",0.98561781127552
"W.22","SBS26",0.993383262152394
