"ex.sig","ref.sig","sim"
"hdp.1","SBS40",0.998415409756783
"hdp.2","SBS3",0.998266988665218
"hdp.3","SBS28",0.992477014013031
"hdp.4","SBS5",0.999834545588683
"hdp.5","SBS7c",0.999225189386601
"hdp.6","SBS17a",0.999040900217544
"hdp.7","SBS13",0.999615497827805
"hdp.8","SBS18",0.99903897852231
"hdp.9","SBS2",0.99979197350066
"hdp.10","SBS17b",0.999278054862106
"hdp.11","SBS7d",0.99785634909477
"hdp.12","SBS7a",0.999641071745497
"hdp.13","SBS7b",0.999721921454369
"hdp.14","SBS44",0.998319431949001
"hdp.15","SBS22",0.994593187781616
"hdp.16","SBS4",0.999807621604428
"hdp.17","SBS41",0.997102541534669
"hdp.18","SBS1",0.999655760569131
"hdp.19","SBS12",0.998076134861049
"hdp.20","SBS16",0.995846555367003
"hdp.21","SBS29",0.982189686904458
