Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17,low confidence hdp.18
DEL,C,1,0,0.0140666694185728,0.0673372389058221,0.00749141095829876,0.0191623974477479,0.0134352185646495,0.0199120064162999,0.0256085823672227,0.00897177773203277,0.0178627246110723,0.173460038737548,0.00259903939784433,0.00857802078854311,0.297201283478372,0.00557567504536938,0.0219027443086383,0.0162891161598492,0.0263499060793277,0.0467190753811573
DEL,C,1,1,0.0323398133272323,0.319189509402399,0.00276470530503437,0.00979703074606619,0.0181947881044576,0.000824282605169845,0.00040393924689402,0.00801164121758776,0.0222316617534131,0.141009780490803,0.000466303402572985,0.0536533226266323,0.0823651923200211,0.0177392246058829,0.012024615028388,0.0159871248586718,0.0072465499082509,0.00386570037279208
DEL,C,1,2,0.0210354723632174,0.135957080081006,0.000950700113156577,0.0241891645489324,0.0233754281233171,4.30746307412113e-05,5.55805930660346e-05,0.00200133925353179,0.0256576299931933,0.0480330150825023,1.21973061177791e-05,0.0144540464140916,0.00279136496187214,0.0181429249240716,0.0662077413536025,0.0328814512277911,0.00989152976688129,0.0125812407244842
DEL,C,1,3,0.0119735776905538,0.0555365433734862,0.00491338726276831,0.0166496547285754,0.00814982771709103,0.00405892447702747,0.0103500511984704,0.00373057249721946,0.0119426622296396,0.0919191947360868,0.00332214870238589,0.0181838713134111,0.00877310883600551,0.0180448144881772,0.00769429710761279,0.00921687272048741,0.0119197819737456,0.0154391821406217
DEL,C,1,4,0.00119172128566288,0.0404369699408652,0.00718212704558516,0.00412780878547408,0.00206742537107285,0.0311377000897489,0.0197210597982857,0.0031414733099555,0.00341433658997159,0.0543934553322263,0.00253661101317761,0.00154700074467638,0.00992386308870956,0.00569254977228193,0.00725080831667527,0.00655419332108182,0.0063127721256474,0.00631030315436427
DEL,C,1,5+,0.00140106872899297,0.0220795324235448,0.0031278906115352,0.00346570176252565,0.00115060538428399,0.130862750474933,0.0798846898683313,0.00155156983442291,0.00266977679087703,0.0212593156852747,0.00793023639704203,0.00300108649504295,0.00176140401424866,0.00446268452669757,0.00581763927648772,0.0057476555776934,0.00528127341230632,0.0169626302508769
DEL,T,1,0,0.0736200430165329,0.034807668810632,0.0338506984358781,0.0189611763819273,0.0664787839207783,0.0556340201411311,0.0443730127174025,0.0235515786323078,0.0755816104511268,0.0263504566109644,0.00699575907849781,0.0205101372293427,0.0714509726460095,0.397999726577474,0.0594265643250147,0.137439187422431,0.251351263314477,0.00846360061252849
DEL,T,1,1,0.0858455402859805,0.0204525508159808,0.0012049921414572,0.0212678277164887,0.101031042779703,3.66033247143626e-05,5.53795782629024e-05,0.0073772059910723,0.0845148069783636,0.0375948139994899,1.12230803895219e-05,0.043829427060373,0.033202069624964,0.062266887191763,0.171276304720681,0.236768545764572,0.234006883896676,0.167689515763948
DEL,T,1,2,0.214804284863248,0.00877264552763572,0.108571843106232,0.0249279150096902,0.175749673980997,0.0690894831974561,0.0213010361509042,0.0161539040928209,0.0854094597971038,0.0208751150617585,0.00369438086863836,0.29420413898998,0.0528421204274598,0.0125865502923208,0.0107539029347754,0.0130506891171419,0.0103041292522177,0.00607804620732279
DEL,T,1,3,0.0589907968334996,0.00984753560650857,0.548353574656832,0.0138397371189894,0.171998837078669,0.192184644157038,0.0920202550556228,0.0124065437949281,0.0909790963594949,0.015750294907765,0.00841840142495711,0.00658475678652475,0.0884187191008622,0.0453061126018298,0.287309778320961,0.218297972116137,0.0767999652547802,0.160863523455983
DEL,T,1,4,0.0316486552421435,0.0152723418522309,0.052636320805102,0.483551822669813,0.0287762537748323,0.0109306425642874,0.364776437366401,0.0217805105484395,0.0421497436227802,0.0109455346813462,0.039503372457719,0.0301258218229515,0.0503029857481227,0.014469412865334,0.00476260278436268,0.00458633943576731,0.00467106048925613,0.0639257722543489
