Type,Subtype,Indel_size,Repeat_MH_size,signeR.1 (ID2 1),signeR.2 (ID1 1),signeR.3 (False Positive) (ID2 0.998),signeR.4 (ID5 0.973),signeR.5 (False Positive) (ID8 0.866),signeR.6 (ID3 0.98),signeR.7 (False Positive) (ID5 0.509),signeR.8 (False Positive) (ID14 0.865),signeR.9 (ID4 0.997)
DEL,C,1,0,0.00323167363034835,2.33710768171777e-06,0.00286189106021525,0.032771764333988,0.0510854071417773,0.176273961303317,0.0404543318497343,0.00358682606736564,0.0197617565433277
DEL,C,1,1,2.26053617255088e-05,0.000717915726570924,3.95925299370001e-05,0.0254305971666195,0.0118600681905607,0.199595831719253,6.52744153988105e-05,0.000120470679971724,0.0013343007771189
DEL,C,1,2,8.27305136993495e-07,5.82099694738169e-07,1.28436862861599e-06,0.017007029740422,0.00328371644075196,0.150111052196656,6.72353639935268e-06,6.66697352400303e-05,9.77443520224403e-05
DEL,C,1,3,0.0013763328259537,0.00190168790289122,0.00203170780868093,0.0118293546269832,0.00141156062778398,0.0529888092748247,0.0107922838416396,0.000119658851350474,0.000486309732749832
DEL,C,1,4,0.00320974775152078,0.000496632747220161,0.00205454774622668,0.00181424735818717,0.00196120627542379,0.0373968867449492,0.0183695060679141,0.0003176506356596,0.00122566895101602
DEL,C,1,5+,0.0113350836184801,0.00252171320265621,0.0105229017814028,0.000920239355070279,0.000522151247568014,0.018923091057737,0.0616741678937827,0.000947331779181323,0.00184032965233724
DEL,T,1,0,0.00709114286619041,0.00040173468459069,0.00423762273530194,0.103529060708662,0.0154438074098175,0.0484084064255308,0.0520629303288794,0.0111836130312588,0.00611260467516188
DEL,T,1,1,6.21784362942996e-07,4.86759471192216e-07,8.06513833658542e-07,0.137732772406844,0.000103672027138681,0.00767493585635157,5.37255138034569e-06,7.35602852798397e-05,0.00565543930807425
DEL,T,1,2,0.00567481986732659,0.000846737345457538,0.00167930732231464,0.102712912998658,0.0117047714519092,0.0269437102149934,0.0386470681801221,0.00480981631012596,0.000244274692990077
DEL,T,1,3,0.0152872369733309,0.00184104595371605,0.00475683496352703,0.0855102946390471,0.0199051667398277,0.026161629179766,0.133982757511132,0.00517321082802381,0.000245073402813464
DEL,T,1,4,0.0626357120570107,0.00244650259788678,2.00853860536935e-05,0.0429531940864929,0.0144092811223896,0.0201274249600154,0.234573221570189,0.000522045870940079,0.000287208357409382
DEL,T,1,5+,0.83672211065329,4.7295525496393e-06,0.921763745697331,0.0120291306567454,3.16101946760379e-05,0.00144409323265168,0.00287856710466179,0.0012541781548608,0.000575415639586675
INS,C,1,0,7.80580617467889e-07,5.43830685263364e-07,8.27338563291799e-07,0.00037113557306063,0.00177576853589795,0.00131103629193967,5.35742744883411e-06,0.360157539459593,0.000151565915520419
INS,C,1,1,0.000213688261908576,1.25353153736822e-06,0.00014777289715202,0.00273833924638989,0.00148024048538857,0.00185384209993073,0.000854091333498647,0.0919290235659585,4.56267267320205e-05
INS,C,1,2,1.28918998509419e-05,1.03307201430564e-06,1.59276339671962e-05,0.00387959186494811,0.000409057538454489,0.00197550019309973,2.91201034489738e-05,0.0435663696986432,4.79086418520557e-05
INS,C,1,3,0.000297256550799385,0.000723500057466728,0.000272047269205383,0.000682530645218072,1.34509420914663e-05,0.00598093080487391,0.002844514158388,0.0180855903174139,0.000257401604591083
INS,C,1,4,0.00226141286496165,0.00173338688488598,0.000958850588919745,9.66058481471374e-05,0.00034300388133692,0.00533884278294437,0.0146575319250323,0.00623964785703222,6.12014112584789e-05
INS,C,1,5+,0.00933733219313029,0.0228268778569249,0.00417125153765898,5.83743946704374e-06,8.48950745962342e-06,0.00560379852441544,0.0703486945321133,0.000352907198917478,0.000116384503519778
INS,T,1,0,0.000860623517250094,0.00218592021506223,0.000797261182775736,0.00982894478771978,0.00561917903729945,0.0164666660744797,0.0092399994744966,0.0225765600493637,0.00198411012882108
INS,T,1,1,3.07220561795105e-06,1.19718901234014e-05,1.4568397305802e-06,0.0141555174315028,0.001587090823625,0.0457294113065327,1.32752643141585e-05,0.125134247910247,0.000134740710074793
INS,T,1,2,0.000678608228092698,1.76939786096528e-05,0.000193107172354635,0.025593156304101,6.21161267930711e-06,0.0347005459813829,0.00296119209511275,0.0685166158674985,4.66410651661103e-05
