Signature,NumberOfPostSamples
hdp.1,7585
hdp.2,4600
hdp.3,4143
hdp.4,4116
hdp.5,4000
hdp.6,4000
hdp.7,4000
hdp.8,4000
hdp.9,4000
hdp.10,3999
hdp.11,3989
hdp.12,3989
hdp.13,3800
