Signature,NumberOfPostSamples
low confidence hdp.1,3374
low confidence hdp.2,3267
low confidence hdp.3,2147
low confidence hdp.4,1707
low confidence hdp.5,1256
low confidence hdp.6,1000
low confidence hdp.7,958
low confidence hdp.8,800
low confidence hdp.9,800
low confidence hdp.10,751
low confidence hdp.11,714
low confidence hdp.12,663
low confidence hdp.13,599
low confidence hdp.14,585
low confidence hdp.15,569
low confidence hdp.16,437
low confidence hdp.17,400
low confidence hdp.18,399
low confidence hdp.19,398
low confidence hdp.20,398
low confidence hdp.21,394
low confidence hdp.22,377
low confidence hdp.23,345
low confidence hdp.24,292
low confidence hdp.25,277
low confidence hdp.26,246
low confidence hdp.27,227
low confidence hdp.28,204
low confidence hdp.29,202
low confidence hdp.30,199
low confidence hdp.31,199
low confidence hdp.32,198
low confidence hdp.33,197
low confidence hdp.34,196
low confidence hdp.35,196
low confidence hdp.36,194
low confidence hdp.37,188
low confidence hdp.38,188
low confidence hdp.39,187
low confidence hdp.40,157
low confidence hdp.41,153
low confidence hdp.42,153
low confidence hdp.43,144
low confidence hdp.44,138
low confidence hdp.45,136
low confidence hdp.46,132
low confidence hdp.47,130
low confidence hdp.48,117
low confidence hdp.49,112
low confidence hdp.50,107
low confidence hdp.51,100
low confidence hdp.52,91
low confidence hdp.53,87
low confidence hdp.54,72
low confidence hdp.55,61
low confidence hdp.56,61
low confidence hdp.57,45
low confidence hdp.58,44
low confidence hdp.59,43
low confidence hdp.60,42
low confidence hdp.61,41
low confidence hdp.62,34
low confidence hdp.63,32
low confidence hdp.64,30
low confidence hdp.65,21
low confidence hdp.66,20
low confidence hdp.67,19
low confidence hdp.68,16
low confidence hdp.69,13
low confidence hdp.70,5
low confidence hdp.71,4
low confidence hdp.72,4
low confidence hdp.73,4
low confidence hdp.74,2
low confidence hdp.75,2
low confidence hdp.76,2
low confidence hdp.77,2
low confidence hdp.78,2
low confidence hdp.79,2
low confidence hdp.80,2
low confidence hdp.81,2
low confidence hdp.82,2
low confidence hdp.83,2
