Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7
DEL,C,1,0,0.00252217265905941,0.0211639282058415,0.0181313226268207,0.0215005879200779,0.220922087012521,0.0243684882786384,0.0244897959183673
DEL,C,1,1,0.000199001469287541,0.0217710380773553,0.022083287392914,0.0265445504246942,0.0664570689813622,0.014946025526033,0.0261224489795918
DEL,C,1,2,5.63104308755045e-06,0.0205699951562979,0.0201737265129919,0.0242452993789854,0.000527909774415309,0.00172621675022729,0.0218775510204082
DEL,C,1,3,0.00222249139195454,0.010035370006381,0.01116610394365,0.0130608458926139,0.00792320709333846,0.0040050153418654,0.0114285714285714
DEL,C,1,4,0.00236574960041041,0.00241745880108001,0.00236809780028969,0.00276950491978973,0.00897073486560758,0.00104060223400658,0.00146938775510204
DEL,C,1,5+,0.00916483162085453,0.00741586660175862,0.00283743740827107,0.00286539123259389,0.000693607109369224,0.00186396120779233,0.0033469387755102
DEL,T,1,0,0.00469129721233728,0.0762154703210386,0.0777230123517424,0.0933430653374815,0.070560254612819,0.0209275836083294,0.0829387755102041
DEL,T,1,1,1.10100106000625e-05,0.0766603100701422,0.0804879784354947,0.0969974981891185,0.0296558152647461,0.00627118234569187,0.0809795918367347
DEL,T,1,2,0.0041217670092863,0.085114949470548,0.0872209788762855,0.104860312819507,0.0575500425990021,0.00571814937614493,0.0925714285714286
DEL,T,1,3,0.0115158612274032,0.0699250019216199,0.0685481774640215,0.081969441853992,0.0759482510224797,0.00704065656988431,0.0753469387755102
DEL,T,1,4,0.0263463800644356,0.0508278826433193,0.0410980262920335,0.0485309052544604,0.0640051906521275,0.00277503954138113,0.0457142857142857
DEL,T,1,5+,0.420057099752684,0.243560377296336,0.023763540271336,0.0288205490395479,0.000855296752318415,0.00604306188485546,0.124408163265306
INS,C,1,0,2.46790119432716e-06,9.02856320177253e-06,3.367338496301e-05,2.82864622772287e-05,2.69482738248652e-05,0.000930376592745479,0
INS,C,1,1,6.57327719263335e-05,9.02856320177253e-06,0.000425480379938906,0.000517203922243323,3.45490690062375e-05,0.000471428902255871,0
INS,C,1,2,7.50941269509435e-06,1.68370502951974e-05,0.00242369289101067,0.0028934037339774,3.0264984449464e-05,3.93985238886884e-05,0
INS,C,1,3,0.000407319570513798,6.34439576340772e-06,6.18268021702236e-05,3.47930335032256e-05,1.22994685662205e-05,1.82456268390364e-05,0
INS,C,1,4,0.0023728585382,5.70995618706695e-05,0.000129948581895768,5.72578267887729e-05,6.64724087680009e-05,0.000451479013569233,8.16326530612245e-05
INS,C,1,5+,0.0165772988958037,0.00400404577237528,0.00650748840565569,0.00274738257762134,0.00905102690197807,0.010523466031505,0.00612244897959184
INS,T,1,0,0.00179900645875763,0.00545520429564396,0.00546397725191237,0.00609980778903696,0.00960574675394222,0.00373273444903671,0.00636734693877551
