Type,Subtype,Indel_size,Repeat_MH_size,hdp.1,hdp.2,hdp.3,hdp.4,hdp.5,hdp.6,hdp.7,hdp.8,hdp.9,hdp.10,hdp.11,hdp.12,hdp.13
DEL,C,1,0,0.00460646150663218,0.000417734958706527,0.0232473071847003,0.00172109247451694,0.00719150382114256,0.012847895164071,0.0412626071103044,0.0308469674663533,0.0624780770990279,0.333043757017073,0.124687872752266,0.0483171653907709,0.0233379093075138
DEL,C,1,1,5.15208328599174e-05,0.000617054538620626,0.0288285010474738,0.000391455209586851,0.0024342034936751,0.00208964111761104,0.02463184480665,0.00571701916346072,0.0173849737814407,0.0996435349356223,0.205771156793469,0.0141983401199194,0.027468633703483
DEL,C,1,2,1.95694333001243e-06,4.67967991810253e-06,0.0264948207432241,0.000207336050151413,0.00186252801079884,0.000537081751680708,0.0033183616131258,0.00805591931243863,0.00574522453065028,0.00187076063779,0.173080399772763,0.00285601536518505,0.0232488299514782
DEL,C,1,3,0.00245035258045646,0.00191709401042739,0.0141120039631205,0.000494321563884709,0.00118652269660985,0.000556337434833795,0.00547603934746041,0.00109798528946227,0.00572349048065877,0.0107991817823736,0.0631090750723966,0.00340194090962428,0.0165910300616367
DEL,C,1,4,0.00372147378372649,0.000822008750803606,0.00288839756231645,0.000379651080810649,0.00100988077158882,0.00225466272172849,0.00131941207902218,0.00249186706351646,0.00422936627136164,0.0128871408083395,0.0433671434834484,0.00319620123313882,0.00303288748086668
DEL,C,1,5+,0.0141054939990017,0.0040336328016955,0.00262325596386573,0.000690472097356212,0.00231505351594864,0.00276664616855251,0.000905287868267687,0.00134485059241543,0.000950254968248431,0.000293629798283047,0.0219727504315603,0.0287007670998082,0.00184244331443998
DEL,T,1,0,0.00760790190511205,0.00168810978360185,0.101939453103626,0.00149273623782822,0.005947444739018,0.0193909223675973,0.0348593151792145,0.00437383013296158,0.0539276493116285,0.105325166675263,0.0381964444005259,0.0414090158218087,0.0247876537776482
DEL,T,1,1,3.86882376597798e-06,6.06899680443976e-06,0.106174507416758,0.000437585997338983,0.00148039264633667,0.000758142587215161,0.0107201013526135,0.000474577328544024,0.482266008023512,0.0445465465821541,0.0140732032829407,0.00439355352302882,0.00117897850673894
DEL,T,1,2,0.00676031380186447,0.00124734346481378,0.114642525072562,0.00106754773188842,0.0016518464091574,0.0115853895067153,0.0093713311244046,0.0116238239430141,0.0258009936281032,0.0861149318395568,0.0174101495440165,0.0101661878271678,0.00343374458302703
DEL,T,1,3,0.0194162536771756,0.00342088115907226,0.0894390522199406,0.00126328164905017,0.000741784989538021,0.0187113205958987,0.0104950779158544,0.022117934316519,0.062317564557035,0.112959611004078,0.0208315247182057,0.0205338393663218,0.00374684528988495
DEL,T,1,4,0.0451496142939005,0.00705134955518333,0.0526556804665116,0.00226448638979533,0.00112620892233694,0.0153874481150224,0.00188612780623618,0.0175845866870398,0.0230803092787688,0.093970997440487,0.0162684401018246,0.038937919491647,0.00480322943534713
DEL,T,1,5+,0.777462391936373,0.0515172514895703,0.031332646636539,0.00467895465110006,0.00375018583508181,0.0713875289729119,0.0102796505679341,0.00751933299668243,0.0064738116136576,0.00175414061822008,0.00807669399663295,0.00758144951742863,0.00375081417208456
