Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.97),ID83D (ID8 0.998),ID83E (ID3 0.988),ID83F (ID6 0.998),ID83G (ID9 0.996),ID83H (ID4 0.999),ID83I (ID11 0.992),ID83J (ID14 1)
DEL,C,1,0,0.00377481,0,0.00448134,0.03185737,0.08947996,0.02715069,0.33986284,0.00927705,0.00960173,0.0076744
DEL,C,1,1,1.898e-05,0.00019499,0.01138612,0.0201333,0.21983329,0.00114945,0.10547881,0.00145178,0.00330174,0.00015318
DEL,C,1,2,0,0,0.01463346,0.00153551,0.19508624,0.0056069,0.00076961,8.501e-05,0.01006466,3.17e-06
DEL,C,1,3,0.00239323,0.00182482,0.01021486,0.00434723,0.07265349,0.00012525,0.01155351,0.00067605,0.00191041,0.00026834
DEL,C,1,4,0.00375803,0.00038593,0.00019943,0.00028798,0.04563073,0.00211346,0.01507759,0.00077912,0.00276403,0.00178475
DEL,C,1,5+,0.01446167,0.00333706,0.00117233,0.00033602,0.02525233,0.00127389,0.0004452,0.00201671,0.00345384,0.00207684
DEL,T,1,0,0.00787779,0.00118935,0.11337445,0.03449531,0.03201868,0.00153459,0.10341224,0.00385411,0.00103133,0.01741743
DEL,T,1,1,0,0,0.16766234,0.01127175,0.00651999,2.699e-05,0.026705,0.01343707,0.00015188,2.558e-05
DEL,T,1,2,0.0070791,0.00075356,0.12813973,0.00597497,0.01384419,0.01209042,0.08211784,0.00025753,0.0004685,0.01063506
DEL,T,1,3,0.02026899,0.00221081,0.10055781,0.00644487,0.01229451,0.02344876,0.10847427,0.00030039,0.00040496,0.01684263
DEL,T,1,4,0.04736228,0.00432797,0.05384233,0.00069986,0.00964243,0.01878407,0.08891571,0.00025074,0.00233882,0.01256047
DEL,T,1,5+,0.82010162,0.00010497,0.0105631,0.00336828,0.00630188,0.00944214,0.01061484,0.0052502,0.02995594,0.03049203
INS,C,1,0,0,0,1.76e-06,2.7e-06,9.6e-07,4.9e-06,5.07e-06,1.13e-06,6.93e-06,0.46974706
INS,C,1,1,0.00013749,2.3e-07,2.416e-05,0.00022907,0.00589919,0.0014192,0,2.154e-05,0.13274997,0.01219042
INS,C,1,2,6.22e-06,1e-08,0.00210865,0.0001085,0.00461362,1.57e-06,8.03e-06,1.451e-05,0.0807136,8.565e-05
INS,C,1,3,0.00047007,0.00039278,0,0,0.00709039,0.00019171,0,0.00016939,0.02957667,0.00167495
INS,C,1,4,0.00281631,0.00161161,0,0,0.00761751,0.00074966,0,1.364e-05,0.01040499,0.00151127
INS,C,1,5+,0.00893918,0.02465733,2.991e-05,5.212e-05,0.00755574,0.00035857,0.00095431,0.00035334,0.00420929,0.00255289
INS,T,1,0,0.00120563,0.00183783,0.0096377,0.00369966,0.01525121,0.00581373,0.02120021,0.00143671,0.01885252,0.03323638
INS,T,1,1,0,0,0.00717868,0.00193996,0.0559425,2.657e-05,0.00693477,0.00029477,0.26945222,0.00120144
INS,T,1,2,0.00062868,7.2e-07,0.02717409,8.641e-05,0.05238769,3.497e-05,2.536e-05,7.57e-06,0.14136993,0.00092252
INS,T,1,3,0.00111466,0.00428282,0.01818314,0.0002055,0.03186009,0.00038966,0.0003599,9.541e-05,0.09377247,0.00052081
INS,T,1,4,0.00351285,0.01691667,0.01287901,0.0003061,0.00814441,0.00120977,0.00121627,0.00026891,0.0416603,0.00455003
INS,T,1,5+,0.00250299,0.90412676,0.00048156,0.00919825,0.00974392,0.01410936,0.02750249,0.00553703,0.04119488,0.2445692
DEL,repeats,2,0,6.564e-05,6.819e-05,0.03010997,0.00912593,0.00631549,0.00094599,0.01187361,0.07315714,0.00012663,8.057e-05
DEL,repeats,2,1,0.00324026,5.734e-05,0.01670007,0.00961458,0.01058245,0.0008374,0.00047515,0.23421569,0.00186787,0.00529808
DEL,repeats,2,2,0.00173119,9.3e-07,0.00246642,3.749e-05,0.01315531,0.00194018,0.00043045,0.05381596,0.00143409,0.0024843
DEL,repeats,2,3,0.00071467,1.595e-05,0,0,0.00672208,0.00016192,0,0.0111817,0.0004784,0.00065118
DEL,repeats,2,4,0.00072686,0,0.00045802,0,0.00389283,3.495e-05,0,0.00261991,0.00068042,3.642e-05
DEL,repeats,2,5+,0,1e-07,0.02842628,0.00035773,0.00043203,0,4.483e-05,0.00032731,0.00329894,0
DEL,repeats,3,0,1.546e-05,2.534e-05,0.01990033,0.01244045,0.00087596,0.0005064,0.00129888,0.00464486,3.54e-05,0.00088436
DEL,repeats,3,1,0.00475804,0.00466923,0.002196,0.00055049,0.00016984,0.00568801,0.00351606,0.09711463,0.00330474,0.00474076
DEL,repeats,3,2,0.00235681,0.00018883,6.823e-05,6.1e-07,0,0.00101097,0.00037344,0.02078986,0.00261497,0.00117699
DEL,repeats,3,3,0.00044053,2.717e-05,5.52e-05,0,0,7.883e-05,0,0.00409459,0.00051254,0.0005241
DEL,repeats,3,4,0,8e-08,0.00775479,7.45e-06,5.775e-05,1e-08,5.79e-06,2.773e-05,0.00049618,0
DEL,repeats,3,5+,0,5e-08,0.01124223,1.217e-05,0.00012428,1e-08,2.319e-05,8.783e-05,0.0009373,0
DEL,repeats,4,0,7.37e-06,9.9e-07,0.0123629,0.00752187,0.00026767,0.00212306,0.00039609,0.0071472,7.72e-06,6.31e-06
DEL,repeats,4,1,0.00205716,0.00038787,0.00019628,0.00120021,0.0003536,0.00283568,0.0034981,0.06419269,0.0009315,0.00022149
DEL,repeats,4,2,0.00035012,0,0,2e-08,0,0.00025113,0,0.01038786,1.941e-05,0.00050794
DEL,repeats,4,3,1.5e-07,2e-08,0.00486078,4.83e-06,4.14e-06,1.237e-05,3.98e-06,0.00335881,1.1e-07,0
DEL,repeats,4,4,0,8e-08,0.00606773,1.099e-05,1.706e-05,2e-08,8.01e-06,3.128e-05,8.616e-05,1e-08
