Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,3028
low confidence hdp.3,1797
low confidence hdp.4,1394
low confidence hdp.5,1200
low confidence hdp.6,1184
low confidence hdp.7,1086
low confidence hdp.8,998
low confidence hdp.9,863
low confidence hdp.10,585
low confidence hdp.11,400
low confidence hdp.12,400
low confidence hdp.13,398
low confidence hdp.14,392
low confidence hdp.15,200
low confidence hdp.16,31
low confidence hdp.17,4
low confidence hdp.18,2
low confidence hdp.19,2
