Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8
DEL,C,1,0,5.76506390943469e-06,0.00345768208018576,0.00512606562946712,0.00656546023980786,0.0232207496138565,0.0647578372837606,0.141731610830057,0.00925414687976389
DEL,C,1,1,0.000648548795232885,2.97850140854999e-05,2.00345475764826e-05,3.41442230865845e-05,0.0110293304707709,0.0162938043521334,0.191759084879512,0.000387241510425247
DEL,C,1,2,8.60690383197294e-07,1.59182974798622e-06,2.4255068864195e-06,2.05922083814351e-06,0.00522790103279282,0.00337537261013669,0.149293111592535,8.57067167765895e-05
DEL,C,1,3,0.00173836873103362,0.00239664544046267,0.00359317779200463,0.00175684888662145,0.00593503060724377,0.00174573247315055,0.059214810233358,0.000692427840263686
DEL,C,1,4,0.00072531944865671,0.00335116858183375,0.0047986859178881,0.00351356886016826,0.000688863863055371,0.00214000605574857,0.0345314648686804,0.00160640252255227
DEL,C,1,5+,0.00333391420018235,0.0130826153266088,0.0203784993095927,0.0116300644047109,0.000586257496972291,0.000478207859993723,0.0177946195123708,0.00356184720143701
DEL,T,1,0,0.0013751460001743,0.00561411528165092,0.00883647481361053,0.0110765986466853,0.0929836728185364,0.0191555213442802,0.0527139437051492,0.0150210689518551
DEL,T,1,1,8.23919967270722e-07,1.72941387992601e-06,2.12387118776736e-06,2.38267630340932e-06,0.14368696313368,1.54935703530267e-05,0.00821320506473161,0.000160016866788325
DEL,T,1,2,0.000654519667777554,0.00600492504337448,0.00770769511214156,0.0097398633430416,0.0963746060687541,0.0135116606516445,0.0332320193836076,0.00936399213749519
DEL,T,1,3,0.00241810434966582,0.0167659747870935,0.0257961774396001,0.0207037494372596,0.0802283500174607,0.0233594133764591,0.0310532422623567,0.0184159272428215
DEL,T,1,4,0.00253539806087902,0.0353793120691531,0.0557273769041236,0.057730715795564,0.0420056012567341,0.0183345877363699,0.0246393298108313,0.0141479961411249
DEL,T,1,5+,1.6016213511784e-05,0.828200812883904,0.762422178135188,0.815417175666987,0.00645327054073951,8.23862753160881e-06,0.00551267038165991,0.0703136584052941
INS,C,1,0,8.67709803511395e-07,1.46559665434097e-06,2.08604099119782e-06,2.09465317411922e-06,0.000369278995389914,0.00195589702586062,0.0016580898661544,0.411247139063507
INS,C,1,1,3.85451985717079e-06,0.000166823914128358,0.000337664219321923,0.000169369611749647,0.00462817946038457,0.0013260852214169,0.00594082029629958,0.00981499604663788
INS,C,1,2,1.52394694598512e-06,2.08674121605584e-05,3.4356944430428e-05,9.58806276293232e-06,0.0044614758827328,0.000239978279008453,0.0049091175286247,0.000559861842567632
INS,C,1,3,0.000746656369319013,0.000402961682171661,0.000642082732353733,0.000492820392040963,0.000339085298295288,1.06533809012989e-05,0.00676737494983598,0.00175943419899266
INS,C,1,4,0.00190185288578398,0.00265470217325071,0.00384672601113438,0.00224624934928684,2.72420268693085e-06,0.000124795420311931,0.0058007716606543,0.0012778957412906
INS,C,1,5+,0.0237023978739803,0.0087485553167927,0.0123376859742532,0.00629747176723829,2.85222016663101e-06,5.57052550201476e-06,0.00490628730126797,0.0034003535420634
INS,T,1,0,0.00216328118139185,0.00138523279317412,0.00177244013718702,0.00112259387732123,0.0100602411852923,0.00563775962514608,0.0139122717903981,0.0296065989738347
INS,T,1,1,1.7283608840272e-06,2.29980355432265e-06,6.91700089015492e-06,7.84755184833605e-06,0.0119302257172509,0.00135312861951213,0.0524154086900298,0.0026172254153283
INS,T,1,2,2.48802256982676e-05,0.000681110196794402,0.000736776639903264,0.000688552244172689,0.0209558945808545,4.21725270229827e-06,0.0458665675513237,0.00130697098797672
INS,T,1,3,0.0039487923818068,0.00141800660879309,0.00154713606080377,0.000644680759573915,0.0147557465226633,7.12173036887274e-06,0.0271345157145481,0.000839712580147762
INS,T,1,4,0.0171529688285568,0.00298248079887225,0.004827899175808,0.002326011955311,0.0107790160706566,0.000278077033776773,0.00720095567485113,0.00605637422450473
INS,T,1,5+,0.898173890941677,0.0170907687922023,0.00573176554365328,3.5318766225706e-05,6.64243119040382e-06,0.0079383075471172,1.46221366696118e-05,0.267461626341354
DEL,repeats,2,0,0.000488223482559938,0.000191048525469733,0.000233052858936579,0.000178296719092129,0.0325391244432604,0.0047734782110092,0.00667861506158237,0.00128402630637768
DEL,repeats,2,1,0.000981194766632499,0.00308251275974906,0.00617385934983235,0.0023418226851738,0.0394113467015528,0.00534777690267547,0.0047244325464622,0.00692694641273037
DEL,repeats,2,2,0.000334330182678118,0.00167926799955896,0.00277908098018065,0.00131447272614404,0.00807195677827964,0.00160138252784568,0.00716238337220774,0.00228376248015277
DEL,repeats,2,3,0.000342630085063822,0.000577112477740426,0.00114298797751339,0.000605882049223336,0.00113131496417913,0.000351865499353718,0.0041625929510022,0.000535199401994382
DEL,repeats,2,4,4.63014582755574e-06,0.000854627714156374,0.00126365634308391,0.000764598359214951,0.000706403158710558,0.000143138344322513,0.00237499706426479,3.56048943577174e-05
DEL,repeats,2,5+,8.80860224260298e-07,1.62614500808031e-06,1.93298254411332e-06,2.23028601619473e-06,0.0180607412116088,3.55006176302416e-06,0.000726240619492138,3.88282330673302e-05
DEL,repeats,3,0,0.000104766582777308,5.61501060002445e-06,1.3145606059067e-05,9.4623595997123e-06,0.0170047918881762,0.00453790187127735,0.0024668613030118,0.000931007863864586
DEL,repeats,3,1,0.00429644607036037,0.0043650674896611,0.0071694572222833,0.00384818475620898,0.0114497318386057,0.00477583772999296,5.58901276574202e-06,0.00508538054298815
DEL,repeats,3,2,0.000506339936656854,0.00220320685678343,0.00270910378943624,0.00221597805083936,0.00241906680789188,0.000757104978119683,6.89184353174263e-06,0.00140673350292311
DEL,repeats,3,3,0.000421130822507887,0.000357231487416246,0.000720494185620542,0.000135643663123471,0.000826905055770684,0.000179732457665039,6.7496295006738e-06,0.000378007565950384
DEL,repeats,3,4,9.8088432611717e-07,1.68029459437595e-06,2.31495953186938e-06,2.2762003663491e-06,0.00501853110149895,3.03413088980349e-06,9.44776227882327e-06,5.83580182608545e-05
