Data_set,Noise_level,Approach,Run,cpu_time
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.1076753,1309975.298
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.145879,1310338.471
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.200437,1305008.8720000002
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.310111,1305288.183
sens_SBS35_20_1066,Realistic,mSigHdp_ds_3k,seed.528401,1314677.221
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.1076753,342536.9699999999
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.145879,343012.9
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.200437,344403.64999999997
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.310111,344525.49000000005
sens_SBS35_20_1066,Realistic,SigProfilerExtractor,seed.528401,342214.81000000006
