Type,Subtype,Indel_size,Repeat_MH_size,hdp.1 (ID2 0.998),hdp.2 (ID5 0.977),hdp.3 (ID8 0.999),hdp.4 (False Positive) (ID5 0.58),hdp.5 (ID14 0.914),hdp.6 (ID3 0.977),hdp.7 (ID1 1),hdp.8 (ID13 0.999),hdp.9 (ID9 0.997),hdp.10 (ID4 0.998),hdp.11 (ID6 1),hdp.12 (False Positive) (ID5 0.975),hdp.13 (ID11 0.999),hdp.14 (ID12 0.993),hdp.15 (ID10 0.987),hdp.16 (False Positive) (ID3 0.967)
DEL,C,1,0,0.00434704745806767,0.0196092960141342,0.0386856728818343,0.0163791860887023,0.0129068321565097,0.134625442183804,0.000250250962664058,0.0506550126737106,0.325492548674904,0.00834140738827353,0.0290650692527863,0.0199065845793286,0.00282585240689855,0.0487154959844443,0.0105723381615847,0.102933175524521
DEL,C,1,1,0.000111602630778501,0.0267265690821864,0.0219961124877275,0.020493523551911,0.00165889084839748,0.149902734082431,0.000741612312530344,0.0145897310036192,0.095099087520355,0.00236102741057944,0.00569440451508544,0.0287451486627734,0.00124333614592785,0.011457648955687,0.023699855129004,0.304952150658051
DEL,C,1,2,1.8619834123629e-06,0.0278484939731552,0.0029224759779697,0.00887970487906752,0.000934804595503483,0.206071026224073,6.19787986267143e-06,0.00646553535003789,0.00261754158615265,0.00147057423221806,0.0078685027098128,0.0260675088108715,0.000203520541175562,0.00195395364435775,0.0175739150898036,0.158774225892577
DEL,C,1,3,0.00225876449969796,0.0131932214222799,0.00576433590648047,0.00967540195548331,0.000566742905135982,0.0657632830563667,0.00170471365724809,0.00566907460983412,0.00944819433686742,0.00123594548894207,0.000913198151271238,0.0158905015479085,0.000399320821596884,0.00561446251342904,0.00740519080675085,0.0537639962291376
DEL,C,1,4,0.00329781349033496,0.00221422100937612,0.00101772211954155,0.0113201605911077,0.00262453044910611,0.0469230874475075,0.000778871791253371,0.00325972463027969,0.0113373088041147,0.00165379468840111,0.00285916427644543,0.00273429436951053,0.000243456364980204,0.00312002897787104,0.00402577968819509,0.0380063921774125
DEL,C,1,5+,0.013407720358512,0.00201149726142732,0.000595895259416127,0.00325230440138705,0.00516033541600177,0.0244293475328628,0.00323293495779885,0.00139283049972215,0.00119452677341489,0.00236208419763745,0.00166304800904661,0.00246613236811908,0.000774358367444975,0.034454975725477,0.00666129036041058,0.0217355726382814
DEL,T,1,0,0.00706145481529928,0.0687738434152114,0.0357503384866058,0.0840105085350674,0.0233589010244481,0.0419700438167498,0.00100824805989142,0.0490364705493053,0.0965438016486606,0.00461863279605435,0.00403460513854083,0.144845404296202,0.000674643529431823,0.0247159972633383,0.0345069343405242,0.0303911905537413
DEL,T,1,1,2.11999080380466e-06,0.109785313535433,0.00948276628680127,0.00472165484683822,0.000570210595850801,0.0102536201158297,5.83124153806855e-06,0.528273433357225,0.0449226299601702,0.000803389336259019,0.000250598000212345,0.0946111776448831,0.0010401772970978,0.00400560111256752,0.00110255975244494,0.0138331394841184
DEL,T,1,2,0.00551308525103819,0.154345603570528,0.00869503085954642,0.0166810176118694,0.0123114620924151,0.0111778659296555,0.000762150263356675,0.0217948521483107,0.07861883955044,0.0010452614741618,0.0119001412676658,0.0880396427937869,0.000707370450625883,0.0218193676693942,0.00291403356660196,0.0186394288650134
DEL,T,1,3,0.0154544681864164,0.0818392461617682,0.00869623367788487,0.386451385472246,0.0212586280323677,0.0109867251981817,0.00275908933084624,0.0591496357321249,0.114868043482486,0.00125251282771613,0.0205665912245219,0.0832724970811712,0.00161215008900313,0.016362094981547,0.00776560920482007,0.017318868796305
DEL,T,1,4,0.0404875347542553,0.0549166335474328,0.0012676718533889,0.0499924221318606,0.0202260545166385,0.0110365330961556,0.00435847174584866,0.0172439047430417,0.0883169787687855,0.00134260392441176,0.0176313233246576,0.0499138835719433,0.0012199758092676,0.0371968076806792,0.00983019680720899,0.0168091971856851
DEL,T,1,5+,0.789649440255738,0.0293164320553968,0.00858438007890362,0.035948608636181,0.0690011202137854,0.00767754202738561,0.000553049658128122,0.00850257362974115,0.00191153709333402,0.00565532989176684,0.00453652137841945,0.0229598711716365,0.00663905008415022,0.00569348184646575,0.00293553357950197,0.00703803786231045
