"ex.sig","ref.sig","sim"
"SBS96A","SBS7a",0.903903459282554
"SBS96B","SBS2",0.997373774728792
"SBS96C","SBS7b",0.990305960863828
"SBS96D","SBS4",0.97996051324323
"SBS96F","SBS3",0.926707231289702
"SBS96G","SBS40",0.923306495061473
"SBS96H","SBS44",0.998955112559213
"SBS96I","SBS17b",0.999308357456506
"SBS96J","SBS1",0.999897327737837
"SBS96K","SBS12",0.994075905332501
"SBS96L","SBS18",0.989434319086212
"SBS96M","SBS7c",0.999241560247896
"SBS96N","SBS16",0.950720789666145
"SBS96O","SBS17a",0.999837785975064
"SBS96Q","SBS7d",0.993918221905614
"SBS96R","SBS13",0.999900752359606
"SBS96S","SBS22",0.99250497992472
"SBS96T","SBS41",0.952558267624123
"SBS96U","SBS28",0.984444563932763
