Signature,NumberOfPostSamples
low confidence hdp.1,3071
low confidence hdp.2,2642
low confidence hdp.3,1996
low confidence hdp.4,1593
low confidence hdp.5,1398
low confidence hdp.6,1200
low confidence hdp.7,971
low confidence hdp.8,948
low confidence hdp.9,800
low confidence hdp.10,789
low confidence hdp.11,588
low confidence hdp.12,400
low confidence hdp.13,399
low confidence hdp.14,200
low confidence hdp.15,198
low confidence hdp.16,60
low confidence hdp.17,2
low confidence hdp.18,2
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
