Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3
DEL,C,1,0,0.0255461157392561,0.0233368800520891,0.244883780975009
DEL,C,1,1,0.0350284919177557,0.0243860074004669,0.0735044479972099
DEL,C,1,2,0.0306813659244202,0.0232455652781527,0.00125732322873491
DEL,C,1,3,0.0145990981276186,0.0106302307484635,0.00847579113876636
DEL,C,1,4,0.00549010831946104,0.0022104130603948,0.00966283882454053
DEL,C,1,5+,0.0043640737485228,0.00679302513935429,0.000680232456416355
DEL,T,1,0,0.0699436267479973,0.0838517762708634,0.0777713431028905
DEL,T,1,1,0.0704208426743547,0.0849822928742715,0.0327359332190945
DEL,T,1,2,0.0765484651820915,0.0932919373024822,0.0633919230298174
DEL,T,1,3,0.0608830425145868,0.0749714145055504,0.0835244644438136
DEL,T,1,4,0.0369360876667908,0.0515253537454938,0.0704270172053282
DEL,T,1,5+,0.0209423267980271,0.194061760548842,0.00123402693457598
INS,C,1,0,0.000331311648296613,9.92551890612841e-07,1.97196846822419e-05
INS,C,1,1,0.000549659096975921,9.92551890612841e-07,1.9236359077285e-05
INS,C,1,2,0.0022751780936281,9.92551890612841e-07,3.12228340802164e-05
INS,C,1,3,0.000666391448694917,0,1.58530798425867e-05
INS,C,1,4,0.000812474312163346,1.68733821404183e-05,7.2885501227502e-05
INS,C,1,5+,0.00764823260763635,0.00318807667264845,0.00731503636590184
INS,T,1,0,0.00629554636656246,0.00598905810795788,0.0102041635020923
INS,T,1,1,0.0120461840079928,0.0102580237894837,0.00750672330082775
INS,T,1,2,0.0225847321459529,0.0250520097190681,0.00133890859085163
INS,T,1,3,0.0152582390087624,0.0155364147437628,0.0023397792535964
INS,T,1,4,0.0123417785747568,0.00998308691578396,0.00567414593707313
INS,T,1,5+,0.247455753969599,0.0283810287601836,0.253840867751191
DEL,repeats,2,0,0.019053955768127,0.0217726182724833,0.0105161985126525
DEL,repeats,2,1,0.0170083849331313,0.0204445838428433,0.00277283899563779
DEL,repeats,2,2,0.0042657356937931,0.000874438215629913,0.000234606248646084
DEL,repeats,2,3,0.000626415105189529,3.27542123902238e-05,2.64862431516387e-05
DEL,repeats,2,4,0.000447704687741048,0,1.33397866968107e-05
DEL,repeats,2,5+,0.0143173260714078,0.0181388858009497,2.14596568600868e-05
DEL,repeats,3,0,0.0112566222036327,0.013369673966555,0.00153117551650349
DEL,repeats,3,1,0.00509949738654989,0.00711957471136591,0.00469067499610681
DEL,repeats,3,2,6.45139785183006e-05,4.3672283186965e-05,0.00039381370291889
DEL,repeats,3,3,3.4734861790476e-06,0,2.43596104898283e-05
DEL,repeats,3,4,0.00373862300453465,0.000520097190681129,1.16964796399572e-05
DEL,repeats,3,5+,0.00563057467185847,0.00634637678857851,1.82697078673712e-05
DEL,repeats,4,0,0.0072141539865,0.0102947482094364,0.00051338845758523
DEL,repeats,4,1,0.00227387442015216,0.000417864345948006,0.00354635329381083
DEL,repeats,4,2,7.94705064100866e-07,2.87840048277724e-05,3.59594250087941e-05
DEL,repeats,4,3,0.0024611390786277,9.92551890612841e-07,1.5176423995647e-05
DEL,repeats,4,4,0.00294964160274939,0,9.56984697814682e-06
DEL,repeats,4,5+,6.45050492479175e-05,0,7.15321895336227e-06
DEL,repeats,5+,0,0.0123380907860886,0.0156704092489955,0.000222329778280179
DEL,repeats,5+,1,4.53606935464315e-06,5.16126983118677e-05,6.04157006196138e-05
DEL,repeats,5+,2,1.43761253168808e-06,0,1.19864750029314e-05
DEL,repeats,5+,3,1.96443948429428e-07,0,1.93330241982764e-07
DEL,repeats,5+,4,8.9292703831558e-09,0,0
DEL,repeats,5+,5+,7.8577579371771e-07,0,2.31996290379317e-06
INS,repeats,2,0,0.00461419154122538,0.00449030475313249,0.000313098326891086
INS,repeats,2,1,0.0123309652283228,0.0155225190172942,0.000742388129213814
INS,repeats,2,2,0.00505059177266135,0.00535481744985628,5.47124584811222e-05
INS,repeats,2,3,0.000363733829057851,0,1.69163961734919e-05
INS,repeats,2,4,0.000156672978142852,1.38957264685798e-05,4.91058814636221e-05
INS,repeats,2,5+,0.00558797312286043,0.00490916165097111,0.00501247318388712
INS,repeats,3,0,0.00274440232299255,2.97765567183852e-06,2.1266326618104e-05
INS,repeats,3,1,0.00444666949956699,0.00432157093172831,6.80522451779329e-05
INS,repeats,3,2,8.85783622009055e-06,0,1.19864750029314e-05
INS,repeats,3,3,1.6965613727996e-07,0,0
INS,repeats,3,4,0,0,7.73320967931056e-07
INS,repeats,3,5+,2.85736652260986e-06,0,1.12131540350003e-05
INS,repeats,4,0,0.00167996185915731,0,1.66264008105177e-05
INS,repeats,4,1,0.00273399079372579,8.93296701551557e-06,0.000101981702645908
INS,repeats,4,2,7.14341630652464e-07,0,4.25326532362081e-06
INS,repeats,4,3,9.82219742147137e-08,0,3.86660483965528e-07
INS,repeats,4,4,1.78585407663116e-08,0,2.60995826676731e-06
INS,repeats,4,5+,5.62633326842647e-05,9.92551890612841e-07,3.21894852901302e-05
INS,repeats,5+,0,0.00318282056953512,4.3672283186965e-05,3.00628526283198e-05
INS,repeats,5+,1,0.00361984584989791,0.000508186567993775,0.00106138302848537
INS,repeats,5+,2,4.01817167242011e-07,0,6.86322359038812e-06
INS,repeats,5+,3,9.82219742147137e-08,0,8.69986088922438e-07
INS,repeats,5+,4,0,0,6.76655846939674e-07
INS,repeats,5+,5+,1.36617836862284e-06,0,2.7066233877587e-06
DEL,MH,2,1,0.0195503517672674,0.0229160380504693,0.00349183416557169
DEL,MH,3,1,0.00862849683956958,0.0112892852038305,0.00183818394077212
DEL,MH,3,2,0.00626985685567012,0.00985604027378551,0.00141005411990129
DEL,MH,4,1,0.0057460658549942,0.00956025981038289,0.000926825180065371
DEL,MH,4,2,0.00425850298478275,0.0045836046308501,0.00214992895596933
DEL,MH,4,3,0.00259788192527535,0.000127046641998444,0.0013224755202831
DEL,MH,5+,1,0.00595172481045905,0.00928433038479252,0.00015737081697397
DEL,MH,5+,2,0.00520797909243485,0.00549973002588575,0.000125374661925823
DEL,MH,5+,3,0.00479244656588431,0.00474539058901999,0.000111068224019098
DEL,MH,5+,4,0.00136400855591973,7.84115993584145e-05,0.000137844462533711
DEL,MH,5+,5+,0.000578902457480757,6.15382172179962e-05,0.000159014124030823
