Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID4 1),W.2 (ID3 0.995),W.3 (ID9 0.994),W.4 (False Positive) (ID14 0.889),W.5 (ID2 1),W.6 (ID5 0.998),W.7 (ID11 0.997),W.8 (ID6 0.996),W.9 (ID13 0.985),W.10 (ID8 0.999),W.11 (ID1 1)
DEL,C,1,0,0.00687597354455778,0.125559258544671,0.372053587668165,0.00794928672477392,0.0048177330964835,0.021074114835267,2.57321464074924e-169,0.0267254151172646,1.2696864461948e-63,0.0411376567699547,4.01923537764564e-27
DEL,C,1,1,2.89992625059384e-56,0.22600056563764,0.106232791204398,0,1.98328573249145e-05,0.0267126381998042,6.40001304913188e-252,0.00099113345133115,1.30483646020746e-243,0.0250974274297002,0.000727554199558503
DEL,C,1,2,0,0.193089650756998,6.21647852523385e-235,0.000382511056063665,0,0.0257721695794497,1.11975773257178e-299,0.00713194809960888,0.00462274922925693,0.00313750332670181,0
DEL,C,1,3,0.000112074856547289,0.0696572670849294,0.0105906812590808,0,0.00248106333524309,0.0139358970876803,1.66881700475662e-308,5.22614811975423e-06,0.00336896603568535,0.00563201742216419,0.0018638083934839
DEL,C,1,4,0.00059696512762132,0.0477467301109626,0.0134768355683906,0.00208859120673236,0.00385513836472054,0.00251437079482503,0,0.00214487237059994,0.00283443211611346,0.00101751672205608,0.000692783795034575
DEL,C,1,5+,0.00208886843313225,0.0244842005246884,0,0.000881001713063578,0.0145943835588079,0.00237258882021704,1.63684363403347e-279,0.000861212196746906,0.000808955495814706,0.000964756806621413,0.00346886133524946
DEL,T,1,0,0.00331451647087346,0.0360791640522841,0.112965093905463,0.022910068307481,0.00789298592730866,0.105968837812583,2.54265900988386e-240,2.12881949969275e-05,0.0341683155093196,0.0347141651381469,0.00134287502305188
DEL,T,1,1,0,0.00166362340167661,8.72768755353304e-46,0,0,0.114030907612799,8.49596340556934e-241,1.09018285797549e-291,0.708673347075804,8.43620098047314e-30,0
DEL,T,1,2,0,0.0144235589255955,0.0935659309749894,0.0129593328194849,0.00700970956932899,0.119489330161894,1.43655237016901e-236,0.0112410533841973,4.69458338763218e-94,0.00862093349660559,0.00101774129250578
DEL,T,1,3,0,0.0166065318458074,0.121459616920122,0.0202652991438176,0.0202267583911423,0.0935799256894199,2.17533879307582e-239,0.0229133596164582,0.047397198219018,0.0085000533622005,0.00229761256019825
