Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9,W.10,W.11,W.12
DEL,C,1,0,0.0247886294996284,1.65635442929829e-71,0.0219713982377997,0.380978541789267,8.25683428102187e-95,0,0.00333247912600355,0.0366962946529379,4.31201338081117e-98,0.00478104705223083,0.114543940907541,0.00148253102468479
DEL,C,1,1,0.000632324030529055,1.11253703898227e-308,0.0280428557553066,0.10834765762646,0.000631614489087966,0,1.71033253242134e-198,0.0214959220649963,0,3.08721489584733e-05,0.236512703485202,0
DEL,C,1,2,0.00744952713680945,0.00257725939576281,0.0270008497675469,0,0,0,0,1.27330739557766e-28,0,0,0.207177657142879,5.18286953246774e-146
DEL,C,1,3,1.19104998230125e-78,0.00249175500668982,0.0144378333360135,0.0106502190786048,0.00188221872035901,0,0.000304684740259737,0.00471030715352248,2.67844476894827e-275,0.00248196089522914,0.0741018734779193,0
DEL,C,1,4,0.00208306348370151,0.00248178444127182,0.00274575808024282,0.0139431619358495,0.000615741190271518,0,0.000467256552317927,0.000411199024100411,0,0.00388773341068433,0.0505060110573087,0.00187505062870972
DEL,C,1,5+,0.00102274634447124,0.000394382247321775,0.00267773922601743,4.19777101101022e-211,0.00336303247319815,0.0189992491384894,0.0019273734143156,0.000498384808283248,7.40676174988104e-188,0.0146347805546642,0.0259941296171455,0.000414811364630761
DEL,T,1,0,2.32403609854713e-102,0.0284535289857271,0.106799268042073,0.114409322412872,0.00124972238729756,0,0.00351795586845694,0.0345589360470892,0.000257583036521931,0.007905014515926,0.0313394151232377,0.0212464249647972
DEL,T,1,1,1.11253712976512e-308,0.729280457584274,0.113022371537826,6.5884574254036e-33,0,0,0,9.69466785931462e-30,0,0,3.9335672580259e-11,0
DEL,T,1,2,0.0110230856588525,5.91191254168023e-254,0.119762962400768,0.0932974924027317,0.000855652371228738,0,3.26423692371081e-133,0.00789950572280618,3.20135132176032e-117,0.00705647153503838,0.00924221193649881,0.0119647007005619
DEL,T,1,3,0.0223259390676991,0.0441879282690329,0.0939663045074244,0.122885142757877,0.00225159971723813,0,0,0.00792358533072515,4.25536648634263e-111,0.0202478437558555,0.010047699194243,0.0185343173456033
DEL,T,1,4,0.0178747799957715,1.25166890903238e-134,0.0553955899561485,0.10505297719009,0.00436213276044132,0,2.36863058689434e-202,7.62486593450061e-35,0.000293502224077625,0.047127075939354,0.00802891727710846,0.00932511620368307
DEL,T,1,5+,3.02102142799083e-12,6.86761557141929e-137,0.0321976795483011,7.95101031927182e-73,6.10128388162858e-23,0,4.6619540652523e-118,0.0113565912126725,7.92614194963719e-104,0.814999232746984,0.0067725026462714,2.15296864904589e-182
INS,C,1,0,1.11253692927061e-308,0,0,0,0,0,0,0,0,0,0,0.712906340489223
INS,C,1,1,0.00190081875264228,0.000946246551539399,0,0,0,0,0,3.6628922878688e-118,0.178007396289695,0.000209365735236362,0,0.0181969692490049
INS,C,1,2,0,0,0.0029417202522507,0,0,0,0,0,0.100065042806162,1.93142248281283e-05,0.000767385473208877,0
INS,C,1,3,0,0,0,0,0.000610336166114204,0,0.000214658762292234,0,0.0379734100606449,0.000478006572993516,0.00687504060995595,0.00198005611640783
INS,C,1,4,0.000162234711039026,0,0,0,0.00173572592059715,0.0010809130201797,0,0,0.0120799853417488,0.00293158643094251,0.00843650983856838,0.00119196643613797
INS,C,1,5+,0,0.000221812367827768,0.000373384756872594,2.57353121352736e-68,0.0244127320383423,6.20558689418499e-12,7.18390455350249e-05,7.25091676077152e-129,0.00155990188651414,0.00904625768966103,0.00780226997222413,0
INS,T,1,0,0.00633924560074944,0.0575121519517277,0.00653175150135122,0.0106226628948486,0.00232225932408014,1.13744486050711e-133,3.91295834074331e-122,0.00331719827225706,0.000385564888871636,0.00132232856126073,0.0197387554822449,0.0491601711104891
INS,T,1,1,2.68257052805207e-103,6.21391993551507e-228,0.0121651388155153,0.011332784333723,0,4.99768582210483e-239,7.64173701379306e-253,0.0024357022617966,0.328454656407178,0,0.0452839922745824,0.000768509412492412
INS,T,1,2,0.000130439266050908,0,0.0300170398206824,4.17403122017994e-97,6.77303734086846e-05,0,0,0,0.169107325061182,0.000672473202035689,0.0445440698839641,0.00100969982650116
INS,T,1,3,0.000595655169049755,0.00901547802354408,0.0190252863963193,0.000198047795625196,0.00427221705973852,0,0,1.68275467850975e-33,0.1122641028128,0.00108669329528964,0.0273396026199596,0
INS,T,1,4,0.00101828365596183,0.0145939550382158,0.0115943302599042,8.19345038816495e-35,0.0168518712895206,0,4.59059353388311e-155,8.29084156275338e-45,0.050182212538221,0.00348541469453614,0.00591830202067874,1.02681430038913e-185
INS,T,1,5+,4.61574696353459e-18,7.97824678003453e-142,1.16177394513931e-11,5.73748484146163e-33,0.900544355266801,0,3.03995588429625e-110,6.40979612542354e-05,4.79771763178931e-137,0.00316272021712723,1.25033720294861e-18,4.44872401055932e-144
DEL,repeats,2,0,0.000808915709987074,0.0241915973619046,0.0292720019844396,0.0118877606784173,0.000183377400952731,0,0.0747118008830452,0.009415402745777,0,0.000105996617825054,0.00597984372690159,0
