Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14
DEL,C,1,0,0.0158382996421177,0.00937999769509609,0.0138045398710086,0.205017408772658,0.0205188157171068,0.019005495623085,0.0188353657875724,0.0163587691576504,0.0236755117212105,0.00283718863021042,0.0164070124167082,0.00743183643377174,0.00116279069767442,0.00560089614338294
DEL,C,1,1,0.0304383431958313,0.000728680605026375,0.00751179720806208,0.11888340148485,0.0285232130220435,0.0162591182043209,0.0322543647525526,0.025249684644244,0.0102933707488977,0.00503314718435534,0.0211461838336131,0.000585857787958977,0.0022093023255814,0.0331253000480077
DEL,C,1,2,0.0151277871769786,8.18508437821154e-05,0.00673218793485634,0.111829605226475,0.0248454325476176,0.0328630973910971,0.0234568492874321,0.0181305403222506,0.0017891090064068,0.000458869670835228,0.0196699586155983,5.92440459733797e-05,0,0.0137622019523124
DEL,C,1,3,0.0124494072084617,0.0052242836985919,0.00124600544029313,0.0595288979561024,0.0140750788644637,0.0126482388075951,0.0140455212816712,0.0133276601505866,0.00374853165663181,0.0171970103071797,0.00901769895232832,0.00292928893979488,0.0124418604651163,0.0121619459113458
DEL,C,1,4,0.00579984205979291,0.0160025831571377,0.00137810124679212,0.0495438003975715,0.00251523723480622,0.00254022976370584,0.00294026740411225,0.00238191012816158,0.0016342590753551,0.0031654373596249,0.002012151312391,0.0129546980528457,0.000755813953488372,0.00128020483277324
DEL,C,1,5+,0.0018852555364038,0.0318373027194001,0.00107421169360008,0.0268810940841509,0.0024176881481133,0.00320962989050679,0.00144656403174293,0.00298326154165576,0.000828372649941266,0.0139806816716766,0.0025432204898062,0.0287794409995129,0.0106395348837209,0.00464074251880301
DEL,T,1,0,0.0709939721867489,0.0397123745494611,0.0114230640807793,0.0410127631863128,0.0448774523356897,0.211488148676276,0.0660427820637725,0.107770141669829,0.0241180008966116,0.00823251206123238,0.0469285724445592,0.0318140526877049,0.00343023255813954,0.00656104976796287
DEL,T,1,1,0.00824444007160575,0.000109993264646668,0.00255647450824086,0.0114185044227056,0.140081263086763,0.0392209644719956,0.0634704017390456,0.0981024588868326,0.00482879258195768,0.000357935307010104,0.095455903183605,6.58267177481996e-05,0,0.00496079372699632
DEL,T,1,2,0.0174860345122978,0.0192826615833263,0.013480473566562,0.0101301314170332,0.122512632594233,0.118242401448087,0.0825748056285678,0.0742342069014514,0.00706890289923334,0.00481685926187294,0.0982869306956111,0.0226443909053807,0.000988372093023256,0.00544087053928629
DEL,T,1,3,0.289684537825797,0.0914136185732843,0.0111968950820589,0.0151867657258871,0.0802990898975052,0.0179412537768563,0.166297408498427,0.0536558870609171,0.00278240428103666,0.00611967592435521,0.0628539868523258,0.0880958963624156,0.00604651162790698,0.261961913906225
DEL,T,1,4,0.0485068956780901,0.4823558912343,0.015730654793122,0.0175218958509863,0.0582201134672786,0.0443810636352424,0.0497692196297616,0.0431916277584855,0.00118893252146477,0.0224922475623079,0.0308349699408879,0.37914872888608,0.0341279069767442,0.0028804608737398
DEL,T,1,5+,0.0383741595533026,0.0172837569576933,0.017150857708597,0.00686442288665991,0.0322206082590344,0.0249413031473279,0.0361051222095023,0.0153045610326444,0.00557814424097288,0.0163937763362353,0.0208668417238308,0.207215924799558,0.0220348837209302,0.00976156184989598
INS,C,1,0,0.000876547203561269,6.98605870053164e-05,0.00101389996060799,0.00324204547409933,0.000325829941207935,0.00147812384640767,0.00043282881180874,0.000300675706747092,0.0011694964788133,0.000223921613864141,0.000154380574829999,4.60787024237397e-05,0,0.00224035845735318
INS,C,1,1,0.000680445132557185,0.00135098484104536,0.00226336531311987,0.0021876150917643,0.00172607411876556,0.00130950751398438,0.00095083923913535,0.00114092932884677,0.00116516947661716,0.000520787389820388,0.00148822874136119,0.00111905420171939,0.000348837209302326,0.00192030724915987
INS,C,1,2,0.00255326833369118,8.15535646884758e-05,0.000597253689213349,0.00131426452452753,0.00274271850664342,0.00126727714770248,0.00285021080599959,0.00317368328336531,0.000783471135348629,0.000407978394957014,0.00235123350079289,3.29133588740998e-05,0.000290697674418605,0.00400064010241639
INS,C,1,3,0.00198086289731024,0.00144457820902625,0.000513268872619289,0.00547298923007008,0.000600311682325202,0.000771863688921358,0.00115167111138852,0.000214252385959476,0.000192090523723322,0.00446401308245065,0.00056479005802975,0.00173124267677765,0.00226744186046512,0.0072011521843495
