Signature,NumberOfPostSamples
low confidence hdp.1,3400
low confidence hdp.2,2257
low confidence hdp.3,1993
low confidence hdp.4,1683
low confidence hdp.5,1493
low confidence hdp.6,1202
low confidence hdp.7,1100
low confidence hdp.8,800
low confidence hdp.9,800
low confidence hdp.10,781
low confidence hdp.11,597
low confidence hdp.12,475
low confidence hdp.13,400
low confidence hdp.14,393
low confidence hdp.15,122
low confidence hdp.16,54
low confidence hdp.17,43
low confidence hdp.18,8
low confidence hdp.19,2
low confidence hdp.20,2
low confidence hdp.21,2
low confidence hdp.22,2
