"ex.sig","ref.sig","sim"
"W.32","SBS1",0.996408122601698
"W.7","SBS2",0.975009774080419
"W.26","SBS4",0.998435135776
"W.25","SBS7a",0.995403487736737
"W.12","SBS7b",0.997269382210275
"W.29","SBS7c",0.998991711149403
"W.15","SBS7d",0.988077117488134
"W.28","SBS12",0.981312944323688
"W.11","SBS13",0.998853003738386
"W.18","SBS17a",0.999574281330153
"W.17","SBS17b",0.999793893629079
"W.5","SBS18",0.980511664554972
"W.2","SBS22",0.985347251487524
"W.37","SBS28",0.978594318052496
"W.20","SBS44",0.961372079410448
