"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.988027306435684,0.990182570825392,0.990282803369793,0.990558832009983,0.993805747466299
"falseNeg",2,2,2,2,2
"falsePos",0,0,0,0,0
"truePos",9,9,9,9,9
"TPR",0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818,0.818181818181818
"PPV",1,1,1,1,1
