"","ID1","ID2","ID3","ID4","ID5","ID6","ID8","ID9","ID11","ID13","ID14"
"hdp.1",0.0348377470993959,0.999557298430289,0.0392877248937016,0.00819971562024457,0.16416614233893,0.0289418071869377,0.0319438278353729,0.0328238802004325,0.0194153970281286,0.02095662780162,0.0933711398185747
"hdp.2",0.998665536350223,0.0567166797403164,0.0865441224291781,0.00714103060998039,0.0209411708481346,0.0405784189310421,0.0532343965758972,0.0195091028119133,0.0609586062251996,0.0245818074840001,0.455337637330438
"hdp.3",0.0453435793322403,0.0272732878969726,0.076984177230601,0.0288980288951497,0.130570686526806,0.999964786329083,0.478792050107805,0.112556221445665,0.0114669386754384,0.0531428488761068,0.0463378684604592
"hdp.4",0.010222557352068,0.164746248044574,0.365087301086441,0.211876987493986,0.999970973367126,0.131296419722075,0.19745242833364,0.546447028009184,0.134371534069949,0.605254364320226,0.0722299930708509
"hdp.5",0.0670527117179933,0.0345537194463625,0.233448541661418,0.0321676222316952,0.227033878803159,0.0630817223872353,0.116624167118826,0.0945195490137898,0.992015239224165,0.0767718830702886,0.0606733484576616
"hdp.6",0.0378112867597523,0.0207031440792577,0.157339858638533,0.0375875772790651,0.604805076852374,0.0525626135103361,0.102328585518444,0.304328023929463,0.0226193388920846,0.999887305988494,0.0455245022887226
"hdp.7",0.0140876714545691,0.0352464841792185,0.571666134803756,0.0541947494011173,0.546380102735791,0.111920465369445,0.141830812648291,0.999971019735406,0.0295442776366343,0.305628666010574,0.057821321910332
"hdp.8",0.0595283975543139,0.029268631663476,0.118750453965699,0.0485424667603904,0.197463893369309,0.472832200907359,0.999944391433388,0.143621861838426,0.0213113017855223,0.105184414496627,0.0641227467835607
"hdp.9",0.0472853854347083,0.016582148751525,0.0687711593302036,0.999104653684671,0.217383957817293,0.0339855468380629,0.0566485140307271,0.057200688676067,0.0101064906838116,0.0412772137171225,0.0405186724793412
"hdp.10",0.0897074910164101,0.0385018386728417,0.999958127490306,0.0648463506041473,0.371848721917836,0.0765044375960738,0.117841010002079,0.574774274757624,0.185577641830747,0.16021127045437,0.0764410474336905
"hdp.11",0.427927337491899,0.0785110337330908,0.071112044553324,0.0210456839070983,0.0740646687222035,0.0430591286075785,0.0596582264036953,0.0590758219512622,0.0443434982854138,0.0391593795723304,0.999640282411367
