Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17
DEL,C,1,0,0.0336827141774071,0.0456347908770903,0.200778272659012,0.0186979952361282,0.0168168284404216,0.0144268599027455,0.00261257990154272,0.0102550256248281,0.324323202470591,0.00834230098945785,0.0291414973457807,0.0638843261738177,0.0309463156901594,0.324043864913525,0.011456394099957,0.0524599075835825,0.0056791868769347
DEL,C,1,1,0.00101663191811979,0.000837024511081146,0.121025262134051,0.022547679718272,0.023976746263324,0.0071472846453998,0.00160098626157886,0.00233323484161513,0.00358634201416273,0.00105707238565048,0.00223320519860882,0.0125324679015363,0.00169827342202095,0.0116427519231818,0.00171845911499356,0.000634230316209115,0.00029249031125844
DEL,C,1,2,0.00017555913570887,1.86851275727085e-05,0.118775403377552,0.0307528698330962,0.0204958613708093,0.00665134450061641,0.000111461068844098,0.000229247964787513,0.00537121130361872,0,0.0014277869302581,0.281380901769323,0.000110073277353209,0.0510011457253533,0,9.06043308870164e-05,2.437419260487e-05
DEL,C,1,3,0.0272791887793783,0.0148977560199848,0.0607749576132,0.0133623162298353,0.0133289168105758,0.00132290611945842,0.0206886943011307,0.0120329709517357,0.124177092240385,0.00475206414810441,0.076697785099762,0.119533030583769,0.00556656288329088,0.0620437557968247,0.00515537734498067,0.0397753012594002,0.00212055475662369
DEL,C,1,4,0.00556766489764974,0.0163939503093254,0.0500714570430699,0.00195472269606881,0.00271401774548919,0.0012857929161071,0.00157312099436784,0.0145343209675283,0.0208871215454478,0.0237507975658766,0.00468606992494966,0.0421613818111548,0.0376607856087052,0.0538709149435321,0.00687383645997422,0.00298994291927154,0.00750725132229995
DEL,C,1,5+,0.00545560083396513,0.207168583795358,0.0268988949526468,0.00218105855633269,0.00293241231465492,0.00108256819775591,0.00468643130367231,0.448740155073512,0.0110869438886906,0.163360537868904,0.0210873146622735,0.0162268461945062,0.00677736893417618,0.0350046374597632,0.0279249606186453,0.0010872519706442,0.00916469641943111
DEL,T,1,0,0.0416383150113723,0.0583870444245829,0.0413235722581677,0.160640374213202,0.107382718990055,0.0119654164804771,0.0173744163070921,0.0138007274802083,0.0124733307321285,0.0461683506813832,0.0276038806516566,0.0438551121670086,0.115435418435701,0.042533689781221,0.204210224831734,0.01123493702999,0.0372681404928462
DEL,T,1,1,0.000110168688400303,6.12456959327668e-05,0.0109983966508,0.0398445993095382,0.0996917465610671,0.00227019070499822,0.000104705852550516,0.000585855910012532,0.00292635546294528,9.52317464549982e-05,0.000402709134175362,0.00737738926811524,3.14495078152027e-05,0.0126357138960118,0.000572819704997852,9.06043308870164e-05,4.87483852097399e-05
DEL,T,1,2,0.0479248009855952,0.0181695564600541,0.00942319990331231,0.167858693611052,0.0776573870064908,0.0141368381765565,0.00789093703294012,0.108062396201616,0.0725487103281669,0.026998200119992,0.205747757642321,0.0164996618222947,0.0134132150831839,0.00445196137268809,0.00315050837748819,0.0752921989671106,0.0188899992687742
DEL,T,1,3,0.0163881254738438,0.0591863526596376,0.0138740029597543,0.0443194121037652,0.0605675876853451,0.0155429497035284,0.0050216589122413,0.00864519547209797,0.0080153083673012,0.00918986353290733,0.276148636280432,0.00884945692639093,0.317136836808504,0.0105079382399476,0.00572819704997852,0.010963124037329,0.114583079435494
