Type,Subtype,Indel_size,Repeat_MH_size,low confidence hdp.1,low confidence hdp.2,low confidence hdp.3,low confidence hdp.4,low confidence hdp.5,low confidence hdp.6,low confidence hdp.7,low confidence hdp.8,low confidence hdp.9,low confidence hdp.10,low confidence hdp.11,low confidence hdp.12,low confidence hdp.13,low confidence hdp.14,low confidence hdp.15,low confidence hdp.16,low confidence hdp.17
DEL,C,1,0,0.1422085147974,0.0190690167026447,0.00291808474297979,0.0211334210222128,0.0145600307647715,0.00590315024298276,0.0081217689327938,0.0177590510825496,0.00903554697515055,0.170359958294932,0.0430603625812242,0.0133821066402246,0.00226865671641791,0.0125156445556946,0.0383478531425016,0.148577471798275,0.0182584269662921
DEL,C,1,1,0.140695804082833,0.000631150308660513,0.000401662094039819,0.0220814621382995,0.0180954444509813,0.0185088965007233,0.00761981563502235,0.00165424052458321,0.0553701869982705,0.141745603120217,0.00326946051340059,0.00154152536017532,0.00167164179104478,0.00250312891113892,0.00344845467745281,0.00441688785666888,0.0212546816479401
DEL,C,1,2,0.21934656056932,1.6066867780109e-05,6.09987358255023e-06,0.0261005656233523,0.0249659564270965,0.014550776488371,0.00214655893414012,5.9672002890777e-05,0.0154424641264279,0.0585899734402446,0.0262960526720232,0.000108323403687995,0,0.00143035937779367,0.0961937357394731,0.301903616456536,0.026685393258427
DEL,C,1,3,0.0719239705110038,0.00470338627324207,0.00308654818391301,0.0128670799087474,0.00814912495940361,0.017473527882068,0.00358636031058017,0.0228676375522544,0.0263637574322323,0.0903596356251626,0.0174425872078131,0.00518285823799485,0.0128955223880597,0.0192204541391025,0.0186683260734287,0.0859323158593232,0.0111423220973783
DEL,C,1,4,0.0432309544286015,0.0309748180868852,0.00263230809586583,0.00354643918979601,0.00191825429054246,0.00503539096656752,0.00319138066643215,0.0291398280783295,0.00176706616283463,0.0547199528902136,0.00428175352099688,0.013423769487797,0.00525373134328358,0.00920793849454675,0.00347438290811035,0.0414731254147313,0.00112359550561798
DEL,C,1,5+,0.025700903122276,0.200792525592165,0.00789688783416971,0.00305105413577968,0.00121495018661187,0.00442564849578234,0.0015019740982041,0.00270844590898694,0.00279124883244988,0.0221581364207452,0.0131700549793955,0.360533617751706,0.00680597014925373,0.0209190059002324,0.0085044596556731,0.0288238221632382,0.00599250936329588
DEL,T,1,0,0.0279042709264059,0.0605803352642175,0.00683864482559541,0.0748833372293437,0.0643438594577996,0.415528700814277,0.0239952419581756,0.0190419991447013,0.0234529224764837,0.0259023157606032,0.0109415759393936,0.0271058486305422,0.00513432835820896,0.00867155372787413,0.195187720389961,0.0192020570670206,0.00402621722846442
DEL,T,1,1,0.00768039623614453,2.01887343833831e-05,5.20068903054083e-06,0.0935261226418216,0.105582189340141,0.0384561859021243,0.0074739840302964,4.97266690756475e-05,0.0236445320604055,0.0357957742360289,0.149714857141686,0.000116655973202456,0,0.00223493652780261,0.158239991702966,0.0159049435965494,0.174812734082397
DEL,T,1,2,0.011656713846066,0.0574581474918274,0.00530099671266026,0.0753099960166159,0.175967796478027,0.021252864596031,0.0154997509662487,0.0617472625468674,0.313072393996414,0.021331698473167,0.0133237431890508,0.0970327719959004,0.0216119402985075,0.00902914357232255,0.010034225264468,0.0180615461181155,0.0603932584269663
DEL,T,1,3,0.016219463304123,0.125459020318111,0.0087721589375527,0.0836883160942038,0.165824557577045,0.0327661026866254,0.0103853588726074,0.00743247947117345,0.00948490089300032,0.0175516221214327,0.130231290509651,0.0291223304530418,0.00608955223880597,0.0110852851779009,0.0377515038373781,0.00698822163238222,0.00421348314606742
DEL,T,1,4,0.0138836240059511,0.00553289089721932,0.0323880503841052,0.0471279967230543,0.0232846559267385,0.0223694983503177,0.0200449883643294,0.0122195001475225,0.0281045508861604,0.0103633463275139,0.0707641992536901,0.00496621143061886,0.0138507462686567,0.0494367959949937,0.00907488073013898,0.00514266755142668,0.229119850187266
DEL,T,1,5+,0.00770884833189525,0.0123480187869633,0.371887353440133,0.0238433146396455,0.0176763509690281,0.0431555963235653,0.0122285972119649,0.0111155680940431,0.0290807179153602,0.00757063947098291,0.0298237093776447,0.0123905308680038,0.00943283582089552,0.0138566064723762,0.00687098112424808,0.00601360318513603,0.00589887640449438
INS,C,1,0,0.00271257798081332,1.74127834056679e-05,6.37934986222883e-06,0.000561385366843033,0.000790499654900768,0.00169844133469859,0.000933733707375399,3.31511127170984e-05,0.000780027667880345,0.00205258307234055,0.000817621275366239,8.33256951446118e-05,0,0.00107276953334525,0.00350031113876789,0.00418878566688786,0.000468164794007491
INS,C,1,1,0.00125113745486489,0.00302915135477343,0.000150728848316224,0.00119274583646124,0.000924473729649788,0.00233688055650365,0.00220438870842799,0.00140560717920497,0.00269838839579745,0.000948649122842398,0.00158811149977152,0.0068243744323437,0.00191044776119403,0.00259252637225103,0.0074673304293715,0.00223954877239549,0.00299625468164794
INS,C,1,2,0.00224308790564687,0.000127441385795106,1.56142182342172e-05,0.00270954448047777,0.00177021796017894,0.0044987871178507,0.000753387099023088,6.96173367059065e-05,0.0017575536302995,0.000880485133998705,0.00249179817254473,0.000241644515919374,0.000358208955223881,0.000893974611121044,0.00287803360298693,0.00420952222959522,0.00346441947565543
INS,C,1,3,0.00564257968046772,0.00551884290287755,0.000920467278264051,0.000536542929665125,0.00114143424484492,0.000473369415053554,0.00017348932286363,0.00294050369800662,0.000390919789419708,0.00577740222601807,0.00385962323847697,0.00577447067352159,0.00549253731343284,0.005989629894511,0.00108898568761668,0.00279943596549436,9.36329588014981e-05
INS,C,1,4,0.00836274336205059,0.0282970348301093,0.00271556772492486,0.000244530151897135,0.00043621690885793,0.000836015082809173,0.000998192190969001,0.0312349784020501,0.000964389607965885,0.00413904647049689,0.00115368616047918,0.0283557340577114,0.0194626865671642,0.00661541212229573,0.00111491391827422,0.0106378566688786,0.000280898876404494
INS,C,1,5+,0.0104662543735377,0.0682478483435732,0.0217522767823714,0.00605329623959088,0.000250059429770752,0.000913978822305655,0.00387025192981157,0.00666005854486506,0.00117774212339657,0.0107449033301537,0.0234825338472667,0.015031955404088,0.0201791044776119,0.291614518147685,0.000751918689068658,0.012649303251493,0.000187265917602996
INS,T,1,0,0.0177153406244192,0.00449661998526559,0.00258558087701783,0.00469152783190893,0.00405385174269133,0.00305607700684252,0.00900110150862566,0.00402454508385574,0.00985679561734977,0.0263209797867556,0.00600511064526507,0.00477456233178625,0.0285373134328358,0.00911854103343465,0.00305953121758971,0.0174394492368945,0.00552434456928839
INS,T,1,1,0.0414188486839633,3.51620457177255e-05,2.51832430275605e-05,0.0120262372661696,0.011961526816578,0.0122789080403725,0.00179775167894921,5.63568916190672e-05,0.0143693598609177,0.0257050838638898,0.0162735322263684,0.000216646807375991,0.000835820895522388,0.000625782227784731,0.0169829910806887,0.0336554412740544,0.0139513108614232
INS,T,1,2,0.0465892165855713,0.00564291949960876,0.000682122616268588,0.023925240968955,0.0283934159945243,0.025752921481626,0.00148163081792101,0.00835408040470878,0.0514840909688016,0.0758846697575742,0.0358247216706523,0.00795760388631042,0.0031044776119403,0.00768818165564098,0.0575088155984236,0.0674560384870604,0.050561797752809
INS,T,1,3,0.0249152532371463,0.00310351319308556,0.00394053048547004,0.0191473151690446,0.018915455710352,0.0215969716547207,0.000880018304380731,0.0248301834251067,0.0156399624209667,0.0287397930476765,0.0216229065104375,0.00299139245569156,0.00346268656716418,0.0283389951725371,0.0105527898776188,0.0149510617120106,0.0135767790262172
INS,T,1,4,0.00577358740109485,0.0161486321543617,0.013846937828527,0.014449731153802,0.00973744238182085,0.0104992015700424,0.0017047211724861,0.0405670166319132,0.0101385477714854,0.00804859406731295,0.0131598090987518,0.00900750764513253,0.00811940298507463,0.141784373323798,0.00816739265712508,0.00358742534837425,0.00552434456928839
