"ex.sig","gt.sig","sim"
"W.3","SBS38",0.979343937569557
"W.5","SBS34",0.985619186311581
"W.6","SBS22",0.999058041822576
"W.9","SBS17b",0.999994658221965
"W.10","SBS1",0.999977591280249
"W.11","SBS26",0.993244493088909
"W.12","SBS36",0.990994292225263
"W.13","SBS2",0.999642599151191
"W.14","SBS17a",0.999806303514053
"W.15","SBS7d",0.999617264923926
"W.16","SBS7c",0.999218038071491
"W.17","SBS13",0.999983491857547
"W.18","SBS40",0.919193365549289
"W.19","SBS4",0.998995794419342
"W.20","SBS5",0.921931217738068
"W.21","SBS44",0.998286391579276
"W.23","SBS7a",0.99999828057633
"W.24","SBS7b",0.99963324622752
"W.25","SBS28",0.977010718705811
