Signature,NumberOfPostSamples
low confidence hdp.1,2214
low confidence hdp.2,2198
low confidence hdp.3,2190
low confidence hdp.4,2055
low confidence hdp.5,1682
low confidence hdp.6,1636
low confidence hdp.7,1526
low confidence hdp.8,1402
low confidence hdp.9,1400
low confidence hdp.10,1200
low confidence hdp.11,1200
low confidence hdp.12,1200
low confidence hdp.13,912
low confidence hdp.14,801
low confidence hdp.15,800
low confidence hdp.16,750
low confidence hdp.17,604
low confidence hdp.18,600
low confidence hdp.19,575
low confidence hdp.20,573
low confidence hdp.21,514
low confidence hdp.22,455
low confidence hdp.23,449
low confidence hdp.24,395
low confidence hdp.25,386
low confidence hdp.26,373
low confidence hdp.27,367
low confidence hdp.28,358
low confidence hdp.29,330
low confidence hdp.30,318
low confidence hdp.31,316
low confidence hdp.32,305
low confidence hdp.33,303
low confidence hdp.34,243
low confidence hdp.35,235
low confidence hdp.36,228
low confidence hdp.37,225
low confidence hdp.38,216
low confidence hdp.39,215
low confidence hdp.40,201
low confidence hdp.41,200
low confidence hdp.42,200
low confidence hdp.43,199
low confidence hdp.44,199
low confidence hdp.45,195
low confidence hdp.46,175
low confidence hdp.47,140
low confidence hdp.48,133
low confidence hdp.49,129
low confidence hdp.50,128
low confidence hdp.51,126
low confidence hdp.52,84
low confidence hdp.53,80
low confidence hdp.54,59
low confidence hdp.55,55
low confidence hdp.56,53
low confidence hdp.57,49
low confidence hdp.58,46
low confidence hdp.59,40
low confidence hdp.60,40
low confidence hdp.61,39
low confidence hdp.62,38
low confidence hdp.63,35
low confidence hdp.64,35
low confidence hdp.65,34
low confidence hdp.66,32
low confidence hdp.67,32
low confidence hdp.68,27
low confidence hdp.69,26
low confidence hdp.70,18
low confidence hdp.71,18
low confidence hdp.72,17
low confidence hdp.73,14
low confidence hdp.74,14
low confidence hdp.75,11
low confidence hdp.76,10
low confidence hdp.77,7
low confidence hdp.78,6
low confidence hdp.79,6
low confidence hdp.80,5
low confidence hdp.81,4
low confidence hdp.82,4
low confidence hdp.83,4
low confidence hdp.84,4
low confidence hdp.85,4
low confidence hdp.86,4
low confidence hdp.87,4
low confidence hdp.88,4
low confidence hdp.89,2
low confidence hdp.90,2
low confidence hdp.91,2
low confidence hdp.92,2
low confidence hdp.93,2
low confidence hdp.94,2
low confidence hdp.95,2
low confidence hdp.96,2
low confidence hdp.97,2
low confidence hdp.98,2
low confidence hdp.99,2
low confidence hdp.100,2
low confidence hdp.101,2
low confidence hdp.102,2
low confidence hdp.103,2
low confidence hdp.104,2
low confidence hdp.105,2
low confidence hdp.106,2
low confidence hdp.107,2
low confidence hdp.108,2
low confidence hdp.109,2
low confidence hdp.110,2
low confidence hdp.111,2
