"ex.sig","gt.sig","sim"
"signeR.1","SBS5",0.999336836436941
"signeR.2","SBS40",0.941729805305423
"signeR.3","SBS7a",0.997891229473104
"signeR.6","SBS7b",0.999973330131043
"signeR.7","SBS18",0.982792659948911
"signeR.8","SBS4",0.922353955118035
"signeR.9","SBS1",0.999454851960584
"signeR.10","SBS44",0.97915794200879
"signeR.11","SBS17b",0.999642448922233
"signeR.12","SBS13",0.999991432069809
"signeR.13","SBS2",0.999988474921167
"signeR.14","SBS7c",0.996494238653068
"signeR.15","SBS26",0.984159369811043
"signeR.16","SBS17a",0.998313209905289
"signeR.17","SBS7d",0.999763225225587
