"","min","lower-hinge","median","upper-hinge","max"
"averCosSim",0.991222877454787,0.991965798561941,0.993460907205606,0.993478650627401,0.993487468091011
"falseNeg",1,1,1,1,1
"falsePos",2,2,2,2,2
"truePos",10,10,10,10,10
"TPR",0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909
"PPV",0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333
