Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I
DEL,C,1,0,0.00277324,8.34e-06,0.00731112,0.03876425,0.10759645,0.0273287,0.32541967,0.00649362,0.01063674
DEL,C,1,1,3.58e-06,0.00028243,0.00825488,0.02037921,0.22106304,0.00309879,0.09012267,5.244e-05,0.00319439
DEL,C,1,2,0,0,0.00900742,0.00124756,0.19363602,0.00396291,0.00084434,0,0.00062213
DEL,C,1,3,0.00251329,0.0015335,0.00762335,0.00539867,0.07078729,5.32e-05,0.01189021,0.0005699,0.00120871
DEL,C,1,4,0.00368482,0.00082915,0.00019014,0.00081544,0.04273054,0.00176574,0.01042987,0.00169062,0.00229427
DEL,C,1,5+,0.01483333,0.00308341,8.878e-05,0.00205656,0.02339123,0.00073114,0.00206696,0.00314126,0.00262214
DEL,T,1,0,0.00751296,0.00147115,0.10817176,0.04243182,0.03512402,0.00447199,0.09875604,0.0159226,0.00821073
DEL,T,1,1,0,0,0.19040739,0.03585634,0.00413102,6.365e-05,0.01322565,0,0.03136292
DEL,T,1,2,0.00683477,0.00109898,0.11974793,0.01311434,0.01708189,0.01152231,0.08513521,0.00920705,0.00182437
DEL,T,1,3,0.02023557,0.00218788,0.09846835,0.01456864,0.01326664,0.02146562,0.1095762,0.01814869,0.0037852
DEL,T,1,4,0.0474089,0.00366732,0.05053734,0.00823658,0.01088838,0.01699189,0.08921183,0.01332634,0.00187666
DEL,T,1,5+,0.81890199,0.00091009,0.0043573,0.00915482,0.00084776,0.00010721,0.01522593,0.05043138,0.00249073
INS,C,1,0,0,0,1.6e-07,1.3e-07,1.2e-07,1.7e-06,1.87e-06,0.45290132,5.61e-06
INS,C,1,1,0.00023731,0,0.00660952,0.00229836,0.00472931,0.0012809,0.00140517,0.01077176,0.00011102
INS,C,1,2,1.449e-05,4e-08,0.00605414,0.0014907,0.00440378,0.00013862,0.00116629,0.00050768,9.639e-05
INS,C,1,3,0.00046893,0.00066892,0.00089213,0.00058595,0.00798907,4.034e-05,0.00070853,0.00182829,5.387e-05
INS,C,1,4,0.00287188,0.0015971,0,0.00119795,0.00747774,0.00010921,0.00102643,0.00117592,0.00013756
INS,C,1,5+,0.00855941,0.02207579,0,0.00605287,0.00600357,3.76e-06,0.00779068,0.00151437,0.00205921
INS,T,1,0,0.00124617,0.00209316,0.01244959,0.00666249,0.01501084,0.00520183,0.01107995,0.03173685,0.00430354
INS,T,1,1,2.4e-07,8e-08,0.01656198,0.00577786,0.05855637,0.00028553,0.00814739,0.00280114,0.00074593
INS,T,1,2,0.00067865,0.00012674,0.03048949,0.00187641,0.05171126,0,0.0039453,0.00156733,0.00043371
