Type,Subtype,Indel_size,Repeat_MH_size,signeR.1,signeR.2,signeR.3,signeR.4,signeR.5,signeR.6,signeR.7,signeR.8,signeR.9,signeR.10,signeR.11,signeR.12
DEL,C,1,0,0.00501708484726931,7.72920770605209e-07,0.000770845097944784,0.0328525585646258,0.034267187461539,0.00207472871194826,0.00236785088789326,0.30986056776057,0.00327834254449996,0.000386805558765359,0.00966623336715875,0.00869913704544379
DEL,C,1,1,8.02242230332711e-05,0.000419378854590805,0.000664611410205802,0.0282778842835786,0.00815044959668968,1.28105972977069e-05,9.24163295754892e-06,0.142713831818583,1.10536802581389e-05,0.167141468183854,0.000835347770861135,0.00111734788574186
DEL,C,1,2,4.43004010020302e-07,3.93374769015142e-07,1.94077876411123e-06,0.021107421534695,0.00498189416077827,2.88787446760481e-06,2.68825713243413e-06,0.00595324568616378,5.60094281282355e-06,0.208842680786345,0.000295017589258656,0.0002324701402096
DEL,C,1,3,0.00258564865737417,0.00187366178081128,0.00190715317115992,0.0126286818223246,0.00139658477807373,0.00205710961135964,0.00155031704577392,0.0209070670295718,0.00196018160668031,0.0660143508412638,0.000593853194291893,0.00037187682131186
DEL,C,1,4,0.00402341069893889,5.86745904968568e-06,0.0014106120343764,0.00274730638543575,0.00159151523790161,0.00234074624659447,0.00238113720708229,0.0193967663239461,0.00332183056604587,0.0405516874741993,0.00235738950989592,0.000740802759213745
DEL,C,1,5+,0.0146734591717342,0.00336539896536339,0.0053183702479299,0.00202692031526054,0.000757347169868597,0.00990922281521923,0.0110615913521625,0.00274051709607987,0.0140613019152757,0.0259336421666119,0.00320579469535466,0.00197328011095749
DEL,T,1,0,0.00777930053438047,0.00131462692255087,0.0024095580497032,0.098281966551711,0.0122051152197078,0.00526523359537911,0.0068495838796229,0.111162853781118,0.00835031295236105,0.000213574895717638,0.0164052884936554,0.00495841942285726
DEL,T,1,1,4.26802334411862e-07,3.55680415813748e-07,1.90084086580442e-06,0.134663756722867,0.00128141684059921,3.19686570067673e-06,3.14119179529974e-06,0.034711813493499,6.0942245461576e-06,1.35860991307473e-05,0.000185259167197591,0.0140207714856417
DEL,T,1,2,0.00720322762002062,1.03087196798972e-06,0.00234692470701841,0.100128166942857,0.0101154299441076,0.0046172517308497,0.00475501867586084,0.0734855218988012,0.00654312373925834,1.89407887080412e-05,0.011216451589739,0.000149144650900364
DEL,T,1,3,0.0203909028492129,0.00112671353036486,0.00592454861490816,0.0809221468582366,0.0183205971018962,0.0131667036331873,0.0149989430738096,0.0861467085465274,0.01982102243031,1.48468602627011e-05,0.0185086158407354,0.000198117945422238
DEL,T,1,4,0.0470871360661936,0.00304900545026118,0.0126595839728322,0.0444780019917251,0.0129857678756953,0.0304384633293907,0.0361914548036266,0.0670244581495532,0.0478649000513339,1.51021053496427e-05,0.0166825108268033,0.000194335180088888
DEL,T,1,5+,0.811497840027545,1.97669688981432e-06,0.140784017581347,0.0171830711173564,0.00267290608518896,0.48667104988803,0.611155945597665,7.73234870682102e-06,0.831746628024944,0.00890139700345033,0.0856904714973989,0.000254556125717311
INS,C,1,0,4.93855027491037e-07,3.77595650944811e-07,1.89466792403748e-06,0.00070960213971991,0.00226983910410773,2.76861532948305e-06,2.51441108707525e-06,4.34809805287193e-06,5.33660906041642e-06,0.00251284256140061,0.420137361541456,0.000107934161765043
INS,C,1,1,0.000253987481811434,5.94660250830688e-07,1.23164547330027e-05,0.000886573922134548,0.00183965725667978,1.44358754116344e-05,1.56900219338357e-05,2.53333850110588e-06,1.30379988599673e-05,0.0407780857070331,0.0118361642116646,0.000133755817832878
INS,C,1,2,2.02422649589341e-05,5.51881712808555e-07,3.49547434707336e-06,0.00256686221175304,0.000345850915286918,5.98783482167151e-06,2.06636111324814e-05,2.64474123499117e-06,2.32682492877318e-05,0.0254757609182383,0.000485992110239423,5.71215351166077e-05
INS,C,1,3,0.000563789597474664,0.000305590331659921,0.000919783176971846,0.0001260413196663,1.63780124529614e-06,0.000573857245934196,1.60696261099732e-05,2.9711213738449e-06,3.02662559433189e-05,0.0166640604989557,0.00190433947915688,0.000334023021924936
INS,C,1,4,0.00292649645450729,0.00172414046538256,0.00198572411162882,2.28135609304169e-06,0.000134549153469354,0.00247959880686506,0.00258600722813991,4.92409691379228e-06,0.00268898006741704,0.0114946880371445,0.00165294498645484,6.31424187023507e-05
INS,C,1,5+,0.00897320617698271,0.024739691030364,0.0216685859579539,3.77460354202787e-06,3.47496173304266e-06,0.0153092636365686,0.0131362568779984,0.00198795504649862,0.00919351491793583,0.00818111906633387,0.00274428862872355,0.000244659126940666
INS,T,1,0,0.00147761389046722,0.00188496095788452,0.00210978132727459,0.0103637479755844,0.00517520382077403,0.00138001903298877,0.00103365408742178,0.0166001023647224,0.000621518638028686,0.00985342365586329,0.0301951887478259,0.00148008932102657
INS,T,1,1,1.97284839336118e-06,1.71431435971887e-06,1.99267881181354e-05,0.0113551525010312,0.00239350560552521,5.86858430437452e-06,5.50569759064778e-06,0.00568406771231146,1.08972969630037e-05,0.12783288487536,0.00292157919107691,0.000919742728603489
INS,T,1,2,0.000734383808600598,8.01931626750217e-07,0.000302720074371066,0.0242160356760921,0.000634292341714878,0.000452007047453774,1.2791753564086e-05,2.15769936279769e-05,3.45349483896869e-05,0.0924955184266993,0.00196404047320148,7.16457104553636e-05
INS,T,1,3,0.00103121848995393,0.00436399744492435,0.00370034013169577,0.0159859866783304,0.000829089339459178,0.0024971526744989,0.00219872456047471,6.51600635775156e-06,0.00120551235823646,0.0581750636190338,0.001079485753394,0.000137583208880182
INS,T,1,4,0.00335451945028836,0.0169390444348321,0.0143832047143335,0.0104262391721035,0.00100528537089177,0.00910562419498196,0.0079325216099209,6.47156934321418e-06,0.0038989916012467,0.018593468076892,0.00456994275282143,0.000199685207872953
